"Model(Codename)","ReleaseDate&Price","Architecture&Fab","Transistors&DieSize","Core","Fillrate","Processingpower(GFLOPS)","Memory","Memory","Memory","Processingpower(GFLOPS)","Core","Fillrate","Processingpower(GFLOPS)","Memory","TBP(W)","Businterface","Graphicoutputports"
"Model(Codename)","ReleaseDate&Price","Architecture&Fab","Transistors&DieSize","Config","Clock(MHz)","Texture(GT/s)","Pixel(GP/s)","TBP(W)","Businterface","Graphicoutputports","Half","Single","Double","Bustype&width","Size(GiB)","Clock(MT/s)","Band-width(GB/s)"
"RadeonProWX2100(Lexa)","June2017$149USD","GCN4gen14nm","2200×10103mm","512:32:168CU","1219","39.0","19.5","SP","1,250","78","GDDR564-bit","2","6000","48","<35","PCIe3.0×8","1×DP1.42×mini-DP1.4"
"RadeonProWX3100","June2017$200USD","GCN4gen14nm","2200×10103mm","512:32:168CU","1219","39.0","19.5","SP","1,250","78","GDDR5128-bit","4","6000","96","<50","PCIe3.0×8","1×DP1.42×mini-DP1.4"
"RadeonProWX4100(Polaris11)","November2016$399USD","GCN4gen14nm","3000×10123mm","1024:64:1616CU","9251170","59.274.9","14.818.7","SP","1,8902,400","118150","GDDR5128-bit","4","7000","112","50","PCIe3.0×8","4×mini-DP1.4"
"RadeonProWX5100(Polaris10)","November2016$499USD","GCN4gen14nm","5700×10232mm","1792:112:3228CU","9261090","103.7122.1","29.634.9","SP","3,3203,910","208244","GDDR5256-bit","8","6600","211.2","75","PCIe3.0×16","4×DisplayPort1.4"
"RadeonProWX7100(Polaris10)","November2016$799USD","GCN4gen14nm","5700×10232mm","2304:144:3236CU","9001240","115.2158.7","28.839.7","SP","4,1505,710","259357","GDDR5256-bit","8","8000","256","130","PCIe3.0×16","4×DisplayPort1.4"
"RadeonProWX9100(Vega)","September2017$2,199USD","GCN5gen14nm","12500×10484mm","4096:256:6464CU","1500","384.0","96.0","24,576(2×SP)","12,288","768(1?16×SP)","HBM22048-bit","16","1890","483.84","<250","PCIe3.0×16","6×mini-DP1.4"
"RadeonProSSG(Fiji)","July2016prototypeonly","GCN3gen28nm","8900×10596mm","4096:256:6464CU","1000?","256?","64.0?","8,192?","8,192?","512?","HBM+SSG4096-bit","4+1TBSSD","1000","512","200?","PCIe3.0×16","Unknown"
"RadeonProSSG(Vega)","September2017$6,999USD","GCN5gen14nm","12500×10484mm","4096:256:6464CU","1500","384.0","96.0","24,600","12,290","768","HBM2+SSG2048-bit","16+2TBSSD","1890","483.84","<300","PCIe3.0×16","6×mini-DP1.4"
"RadeonProDuo(Polaris10)","April2017$999USD","GCN4gen14nm","2×5700×10232mm","2×","5700×10232mm","2×2304:128:3236CU","2×","2304:128:3236CU","1243","2×179.0","2×39.78","SP","2×5,728","(1?16×SP)","GDDR5256-bit","2×16","7000","224","<250","PCIe3.0×16","3×DP1.41×HDMI2.0"
"2×","5700×10232mm"
"2×","2304:128:3236CU"
"RadeonProV340(Vega)","Q42018TBA","GCN5gen14nm","12500×10484mm","3584:224:6456CU","8521000","224","64","14,336(2×SP)","7,168","448(1?16×SP)","HBM22048-bit","16","2000","512","230","PCIe3.0×16","nooutputs"
"RadeonProV340MxGPU(Vega)","Q42018TBA","GCN5gen14nm","2×12500×10484mm","2×","12500×10484mm","2×3584:224:6456CU","2×","3584:224:6456CU","8521000","2×224","2×64","2×14,336(2×SP)","2×7,168","2×448(1?16×SP)","HBM22048-bit","2×16","2000","512","300","PCIe3.0×16","nooutputs"
"2×","12500×10484mm"
"2×","3584:224:6456CU"
