"Function","Year","Designer","Derivedfrom","Reference"
"BLAKE","2008","Jean-PhilippeAumassonLucaHenzenWilliMeierRaphaelC.-W.Phan","ChaCha20","WebsiteSpecification"
"BLAKE2","2012","Jean-PhilippeAumassonSamuelNevesZookoWilcox-O'HearnChristianWinnerlein","BLAKE","WebsiteSpecificationRFC7693"
"BLAKE3","2020","JackO'ConnorJean-PhilippeAumassonSamuelNevesZookoWilcox-O'Hearn","BLAKE2","WebsiteSpecification"
"GOSTR34.11-94","1994","FAPSIandVNIIstandart","GOST28147-89","RFC5831"
"HAVAL","1992","YuliangZhengJosefPieprzykJenniferSeberry","","WebsiteSpecification"
"KangarooTwelve","2016","GuidoBertoniJoanDaemenMichaëlPeetersGillesVanAssche","Keccak","WebsiteSpecification"
"MD2","1989","RonaldRivest","","RFC1319"
"MD4","1990","RonaldRivest","","RFC1320"
"MD5","1992","RonaldRivest","MD4","RFC1321"
"MD6","2008","RonaldRivest","","WebsiteSpecification"
"RIPEMD","1992","TheRIPEConsortium","MD4",""
"RIPEMD-128RIPEMD-256RIPEMD-160RIPEMD-320","1996","HansDobbertinAntoonBosselaersBartPreneel","RIPEMD","WebsiteSpecification"
"SHA-0","1993","NSA","","SHA-0"
"SHA-1","1995","NSA","SHA-0","Specification"
"SHA-256SHA-384SHA-512","2002","NSA","Specification",""
"SHA-224","2004","","NSA","Specification"
"SHA-3(Keccak)","2008","GuidoBertoniJoanDaemenMichaëlPeetersGillesVanAssche","RadioGatún","WebsiteSpecification"
"Streebog","2012","FSB,InfoTeCSJSC","","RFC6986"
"Tiger","1995","RossAndersonEliBiham","","WebsiteSpecification"
"Whirlpool","2004","VincentRijmenPauloBarreto","","Website"
