"","","MSHTML","Tasman","Gecko","WebKit","KHTML","Presto"
"InterfaceCSS2Properties","InterfaceCSS2Properties","InterfaceCSS2Properties","InterfaceCSS2Properties","InterfaceCSS2Properties","InterfaceCSS2Properties","InterfaceCSS2Properties","InterfaceCSS2Properties"
"DOM2","Supportthisinterface","4.0","Yes","1.0","?","?","1.0"
"DOM2","PleaserefertoComparisonofbrowserengines(CSSsupport)forthecomparisonofCSSproperties.","PleaserefertoComparisonofbrowserengines(CSSsupport)forthecomparisonofCSSproperties.","PleaserefertoComparisonofbrowserengines(CSSsupport)forthecomparisonofCSSproperties.","PleaserefertoComparisonofbrowserengines(CSSsupport)forthecomparisonofCSSproperties.","PleaserefertoComparisonofbrowserengines(CSSsupport)forthecomparisonofCSSproperties.","PleaserefertoComparisonofbrowserengines(CSSsupport)forthecomparisonofCSSproperties.","Properties","PleaserefertoComparisonofbrowserengines(CSSsupport)forthecomparisonofCSSproperties."
