"Model","Codename","Fab(nm)","Businterface","Coreclock(MHz)","Shaderclock(MHz)","Memoryclock(MHz)","Coreconfig","Fillrate","Memory","Memory","SupportedAPIversion","Memory","Fillrate","Memory","Processingpower(GFLOPS)","SupportedAPIversion","TDP(Watts)","Notes"
"Model","Codename","Fab(nm)","Businterface","Coreclock(MHz)","Shaderclock(MHz)","Memoryclock(MHz)","Coreconfig","Pixel(GP/s)","Texture(GT/s)","Size(MB)","Bandwidth(GB/s)","TDP(Watts)","Notes","Bustype","Buswidth(bit)","Singleprecision","Direct3D","OpenGL"
"NVS50","NV18","150","AGP4x/PCI","250","250","200","0:2:4:2","0.5","1.0","64","1.6","DDR","32","","7","1.2","","DVI-I,S-Video"
"NVS100","NV17","150","AGP4x/PCI","200","","333","0:2:4:2","","","64","2.664","DDR","64","","7","1.2","","2xDVI-I,VGA,S-Video"
"NVS200","NV17","250","150","AGP4x/PCI","250","250","0:2:4:2","0.5","1.0","64","8.0","128","DDR","LFH-60","","7","1.2",""
"NVS210S","MCP51","90","Integrated","425","","","1:2:2:1","0.425","128","0.850","Upto256fromsystemmemory","","DDR","9.0c","","DVI+VGA","1.2",""
"NVS280","NV34GL","150","PCIex16/AGP8x/PCI","275","275","250","0:2:4:2/1:2:2:2*:4:4:4","0.55","128","1.1","64","8.0","DDR","9.0","","1.5","13","DMS-59"
"NVS285","NV44","110","PCIex1/x16","275","275","275","3:4:4:2","0.55","1.1","128","8.8","9.0","2.1","128","18","DMS-59","DDR",""
"NVS290","G86","80","PCIex1/x16","460","920","800","16:8:4","1.84","3.68","256","6.4","DDR2","64","44.16","10","3.3","21","DMS-59"
"NVS295","G98","65","PCIex1/x16","550","1300","1400","8:8:4","2.2","256","4.4","11.2","64","GDDR3","10","3.3","31.2","23","2xDisplayPortor2xDVI-D"
"NVS300","GT218","40","PCIex1/x16","589","1402","1580","16:8:4","2.356","4.712","512","12.64","64","DDR3","67.3","3.3","10.1","17.5","DMS-59"
"NVS310","GF119","40","PCIex16","523","1046","1750","48:8:4","2.092","512","4.184","DDR3","14","100.4","11.0","64","4.1","19.5","2xDisplayPort"
"NVS315","GF119","PCIex16","523","1046","1750","48:8:4","2.092","4.184","14","100.4","11.0","4.1","19.5","1024","40","DMS-59IdlePowerConsumption7W","64","DDR3"
"NVS400","2xNV17","150","PCI","220","220","343","2x0:2:4:2","2x0.44","2x0.88","2x64","2x11.0","DDR","2x128","2x5.328","","","","DMS-59"
"NVS420","2xG98","65","PCIex1/x16","550","1300","1400","2x8:8:4","2x2.2","2x4.4","2x256","2x11.2","GDDR3","2x64","2x31.2","10","3.3","40","throughVHDCIto(4xDisplayPortor4xDVI-D)"
"NVS440","2xNV43","110","PCIex1/x16","","","","","","","","250","","2x128","","DDR","","31","2xDMS-59"
"NVS450","2xG98","65","PCIex1/x16","550","1300","1400","2x8:8:4","2x2.2","2x4.4","2x256","2x11.2","GDDR3","2x64","2x31.2","10","3.3","35","4xDisplayPort"
"NVS510","GK107","28","PCIe2.0x16","","","1800","","192:16:8(1SMX)","","2048","28.5","DDR3","128","","11.0","4.5","4xminiDisplayPort","35"
"NVS810","2xGM107","28","PCIe3.0x16","","1800","2x512:32:16","","2x2048","2x14.4","DDR3","2x128","","11.0","4.5","68","8xminiDisplayPort"
