"Model","Codename","Fab(nm)","Businterface","Coreclock(MHz)","Shaderclock(MHz)","Memoryclock(MHz)","Coreconfig","Fillrate","Memory","Memory","SupportedAPIversion","Memory","Fillrate","Memory","Processingpower(GFLOPS)","SupportedAPIversion","NvidiaOptimustechnology","TDP(Watts)"
"Model","Codename","Fab(nm)","Businterface","Coreclock(MHz)","Shaderclock(MHz)","Memoryclock(MHz)","Coreconfig","Pixel(GP/s)","Texture(GT/s)","Size(MB)","Bandwidth(GB/s)","NvidiaOptimustechnology","TDP(Watts)","Bustype","Buswidth(bit)","Singleprecision","Direct3D","OpenGL"
"QuadroP500","GP108","14","PCIe3.0x16","","","","","256:16:16:2","","2048","40","GDDR5","64","750","12.1","4.5","Yes","18"
"QuadroP600","GP107","14","PCIe3.0x16","","384:24:16:3","","2048","80","GDDR5","128","1200","12.1","4.5","Yes","25"
"QuadroP1000","GP107(N18P-Q1-A1)","14","PCIe3.0x16","","128","512:32:16:4","","4096","96","GDDR5","1600","40","12.1","4.5","Yes"
"QuadroP2000","GP107(N18P-Q3-A1)","14","PCIe3.0x16","96","","128","768:64:32:6","","5120","2400","GDDR5","50","12.1","4.5","Yes"
"QuadroP3000","GP106","16","PCIe3.0x16","","1280:80:48:10","","6144","168","GDDR5","192","3098","12.1","4.5","Yes","75"
"QuadroP4000","GP104","16","1792:112:64:14","PCIe3.0x16","","8192","","192","256","GDDR5","4398","100","12.1","4.5","Yes"
"QuadroP4000Max-Q","GP104","1792:112:64:14","8192","192","256","","16","80","PCIe3.0x16","","","GDDR5","12.1","4.5","Yes"
"QuadroP5000","GP104","2048:128:64:16","16","192","256","16384","PCIe3.0x16","","6197","","100","GDDR5","12.1","4.5","Yes"
