"Shell","Functions","Exceptionhandling","Search&replaceonvariablesubstitutions","Arithmetic","Floatingpoint","Mathfunctionlibrary","Lineararraysorlists","Associativearrays","Lambdafunctions","evalfunction","Pseudorandomnumbergeneration","Bytecode"
"Bourneshell1977version","No","Yes(viatrap)","No","No","No","No","No","No","No","Yes","No","No"
"Bourneshellcurrentversion","YessinceSVR2","Yes(viatrap)","No","Yes","No","No","No","No","No","Yes","No","No"
"POSIXshell","Yes","Yes(viatrap)","No","Yes","No","No","No","No","No","Yes","No","No"
"bash(v4.0)","Yes","Yes(viatrap)","Yes(via${//}syntax)","Yes","No","No","Yes","Yes","No","Yes","Yes($RANDOM)","No"
"csh","No","No","Yes(via$var:s///syntax)","Yes","No","No","Yes","No","No","Yes","No","No"
"tcsh","No","No","Yes(via$var:s///syntax)","Yes","No","No","Yes","No","No","Yes","No","No"
"HamiltonCshell","Yes","No","Yes(via$var:s///syntax)","Yes","Yes","Yes","Yes","No","No","Yes","Yes(randomutility)","No"
"Scsh","Yes","?","Yes(viastringfunctionsandregularexpressions)","?","?","?","Yes","?","Yes","Yes","Yes(random-integer,random-real)","Yes(compilerisScheme48virtualmachine,viascshvm)"
"ksh(ksh93t+)","Yes","Yes(viatrap)","Yes(via${//}syntaxandbuiltincommands)","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes($RANDOM)","Yes(compileriscalledshcomp)"
"pdksh","Yes","Yes(viatrap)","No","Yes","No","No","Yes","No","No","Yes","Yes($RANDOM)","No"
"zsh","Yes","Yes","Yes(via${:s//}and${//}syntax)","Yes","Yes","Yes(zsh/mathfuncmodule)","Yes","Yes","No","Yes","Yes($RANDOM)","Yes(built-inzcompilecommand)"
"ash","Yes","Yes(viatrap)","No","Yes(since1992)","No","No","No","No","No","Yes","No","No"
"CCP","No","?","No","No","?","?","No","No","No","No","No","No"
"COMMAND.COM","No","Partial(onlyAuto-fail(viaCOMMAND/F(or/NinsomeversionsofDR-DOS))","No","No","No","No","No","No","No","No","No","No"
"OS/2CMD.EXE","No","No","No","?","No","No","?","No","No","No","No","No"
"WindowsCMD.EXE","Yes(viaCALL:label)","No","Yes(viaSET%varname:expressionsyntax)","Yes(viaSET/A)","No","No","Yes(viaSET)","No","No","No","Yes(%random%)","No"
"4DOS","Yes","Yes(viaONcommand,optionalAuto-failvia4DOS/F)","Yes(via%@Replace[...]function)","Yes(viaSET/A)","?","?","Yes(viaranges,includelists,@filelistsandFORcommand)","No","No","Yes","Yes(%@Random[...]function)","Yes(viaBATCOMPcommand)"
"4OS2","?","?","?","?","?","?","?","?","No","Yes","Yes(%@Random[...]function)","?"
"TCC(formerly4NT)","Yes","Yes(viaONandvarious...MONITORcommands)","Yes(via%@Replace[...]function)","Yes(viaSET/A)","?","?","Yes(viaranges,includelists,@filelistsandFORcommand)","?","No","Yes","Yes(%@Random[...]function)","Yes(viaBATCOMPcommand)"
"PowerShell","Yes","Yes(Try-Catch-Finally)","Yes(-replaceoperator)","Yes","Yes","[Math]class","Yes","Yes","Yes","Yes","Yes","Yes,automatic"
"rc","Yes","Yes","No","?","?","?","Yes","?","No","Yes","No","No"
"BeanShell","Yes","Yes","?","Yes","?","?","Yes","Yes","No","Yes","Yes","Yes"
"VMSDCL","Yes","Yes","No","Yes","No","yes,forcompiledprograms","Yes","No","No","No","No","No"
"fish","Yes","Yes(viatrap)","Yes,viastringbuiltincommand","Yes","Yes","Yes","Yes","No","No","Yes","Yes(random)","No"
