"Distribution","x86","x86-64","arm","ia64","ppc","ppc64","sparc32","sparc64","hppa","loongson","mips","sh","s390","s390x","alpha","m68k","riscv"
"AlpineLinux","Yes","Yes","Yes","No","No","Yes","No","No","No","No","No","No","No","Yes","No","No","No"
"ArchLinux","UnofficialOfficialdiscontinued2017-11-08","Yes","Unofficial","No","Discontinuedunofficialport","No","No","No","No","Discontinued.Unofficialport","No","No","No","No","No","No","Unofficial"
"BackTrack","DiscontinuedfromBackTrack5andsupersededbyKaliLinux","DiscontinuedfromBackTrack5andsupersededbyKaliLinux","DiscontinuedfromBackTrack5andsupersededbyKaliLinux","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"BLAG","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"BodhiLinux","Yes","Yes","Discontinued2013-10-23","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"BOSSLinux","Yes","Yes","?","No","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No"
"CentOS","AltArch","Yes","AltArch","Discontinued3.5-3.84.1-4.7","Beta,Discontinued4.0","AltArch","Beta4.2","No","No","No","No","No","Discontinued3.5-3.84.1-4.7","Discontinued3.5-3.84.1-4.7","Discontinued4.2-4.3","No","No"
"Chakra","No","Yes","?","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"ClearLinuxOS","?","Yes","?","?","No","No","No","No","No","No","No","No","No","No","No","No","No"
"CRUX","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Debian","Yes","Yes4.0+","Yes2.2+","Discontinued3.0-7.0","Discontinued2.2-8","Yes","Discontinued2.1-4.0","Discontinued-7","Discontinued3.0-5.0","Yes","Yes3.0+","Inprogress","Discontinued3.0-7","Yes7+","Discontinued2.1-5.0","Discontinued2.0-3.1","Inprogress"
"Devuan","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"DragoraGNU/Linux-Libre","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"dyne:bolic","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Fedora","DiscontinuedfromFedora30","Yes","Yes","DiscontinuedfromFedora9","DiscontinuedfromFedora17","Yes","No","InactivefromFedora12","No","Inprogress","InactivefromFedora13","No","No","Yes","No","No","Inprogress"
"Finnix","Yes","Yes","No","No","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No"
"Gentoo","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Testrelease"
"gNewSense","Yes","Yes","No","No","No","No","No","No","No","Yes","Yes","No","No","No","No","No","No"
"GuixSystem","Yes","Yes","limitedsupportforarmhf32-bitandaarch6464-bit","No","No","No","No","No","No","No","No","No","No","No","No","No","Inprogress"
"HyperbolaGNU/Linux-libre","Yes","Yes","No","No","No","Inprogress","No","No","No","No","No","No","No","No","No","No","Inprogress"
"KaliLinux","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"LibreCMC","No","No","No","No","No","No","No","No","No","No","YesXBurst","No","No","No","No","No","No"
"ManjaroLinux","YesUnofficial","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"MEPIS","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"MusixGNU+Linux","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"OpenELEC","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"openSUSELeap","No","Yes","v764","No","No","ppc64le","No","No","No","No","No","No","No","No","No","No","No"
"openSUSETumbleweed","Yes","Yes","v6v764","No","No","Yes","No","No","No","No","No","No","No","Yes","No","No","RV64G"
"OpenWrt","Yes","Yes","Yes","No","Yes","No","No","No","No","No","Yes","Yes","No","No","No","No","No"
"OracleLinux","Yes","Yes","No","Discontinued5","No","No","No","No","No","No","No","No","No","No","No","No","No"
"ParabolaGNU/Linux-libre","Yes","Yes","Yes,ARMv7","No","No","Testrelease","No","No","No","Discontinued","Discontinued","No","No","No","No","No","Testrelease"
"RedFlagLinux","Discontinued8.0","Discontinued8.0","No","Discontinued3","No","Discontinued3","No","No","No","No","No","No","No","No","No","No","No"
"RedHatLinux","Discontinued9.0","No","No","Discontinued7.1-7.2","Testrelease5.1","No","Discontinued4.0-4.25.1-6.2","Testrelease5.1","No","No","Testrelease5.1","No","Discontinued7.2","Yes","Discontinued2.1-7.1","Testrelease5.1","No"
"RedHatEnterpriseLinux","Discontinued2.1-6","Yes3+","Yes","Discontinued2.1-5","Yes3+","Yes3+","No","No","No","No","No","No","Discontinued3-4","Yes3+","No","No","No"
