"Format","Type","License","MKV","MP4","QTFF","ASF","AVI","MXF","PS,TS","M2TS","VOB","EVO","3GP","3G2","F4V","FLV","Ogg","WebM","RMVB","DMF"
"AAC","Lossy","Royaltiesoncodecs","Yes","Yes","Yes","AAC-LC,HE-AAC","AAC-LC,HE-AAC","Yes","Private","No","No","No","AAC-LC,HE-AAC","AAC-LC,HE-AACv1","Yes","Yes","No","No","AAC-LC,HE-AACv1","No"
"MP3","Lossy","Expiredpatents","Yes","Yes","MPEG-1Audio","Yes","Yes","Yes","Yes","No","No","Yes","No","No","Yes","Yes","NeedsOGMtools","No","No","Yes"
"AC-3","Lossy","Expiredpatents","Yes","Yes","Yes","Yes","Yes","Yes","Private","Yes","Private","Yes","No","No","No","No","NeedsOGMtools","No","Yes","Yes"
"E-AC-3","Lossy","Patentencumbered","QuickTime","Yes","Yes","Yes","No","No","No","Yes","No","Yes","No","No","No","No","No","No","No","No"
"DTS","Lossy","Proprietary","Yes","Yes","No","Yes","Yes","No","Private","Yes","Private","Yes","No","No","No","No","No","No","No","Yes"
"WMA","Lossy","Proprietary","ACM","No","No","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Opus","Lossy","Royalty-free","Yes","Yes","No","Yes","Yes","No","Yes","No","No","No","No","No","No","No","Yes","Yes","No","No"
"Vorbis","Lossy","Opensource","Yes","Private","No","No","Tricky","No","No","No","No","No","No","No","No","No","Yes","Yes","No","No"
"MP2","Lossy","Patent-free","Yes","Yes","No","Yes","Yes","Yes","Yes","No","Yes","Yes","No","No","No","No","No","No","No","No"
"MP1","Lossy","Expiredpatents","Yes","Yes","No","Yes","Yes","Yes","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
"QDesignMusic1and2","Lossy","Proprietary","QuickTime","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"ATRAC3","Lossy","Proprietary","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No"
"FLAC","Lossless","Opensource","Yes","Notstandard","No","Yes","Yes","No","No","No","No","No","No","No","No","No","Yes","No","No","No"
"ALAC","Lossless","Opensource","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No"
"WMALossless","Lossless","Proprietary","ACM","No","No","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No"
"DTS-HD","Lossless","Proprietary","Yes","Yes","Yes","No","No","No","No","Yes","No","Yes","No","No","No","No","No","No","No","No"
"DolbyTrueHD","Lossless","Proprietary","Mature","Yes","No","No","No","No","No","Yes","No","Yes","No","No","No","No","No","No","No","No"
"MLP","Lossless","Proprietary","No","Yes","No","No","No","No","Private","No","Private","Yes","No","No","No","No","No","No","No","No"
"ALS","Lossless","Patentencumbered","No","Yes","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No"
"SLS","Lossless","Patentencumbered","No","Yes","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No"
"LPCM","Notcompressed","Patent-free","Yes","Yes","Yes","Yes","Yes","Yes","Private","Yes","Private","Yes","No","No","No","Yes","Planned","No","No","Yes"
"A-lawPCM","Notcompressed","Expiredpatents","ACM","No","Yes","No","Yes","Yes","No","No","No","No","No","No","No","Yes","Yes","No","No","No"
"?-lawPCM","Notcompressed","Expiredpatents","ACM","No","Yes","Yes","Yes","No","No","No","No","No","No","No","No","Yes","Yes","No","No","No"
"IEEEfloating-pointPCM","Notcompressed","Patent-free","Yes","No","No","Yes","Yes","No","No","No","No","No","No","No","No","No","Yes","No","No","No"
"MicrosoftADPCM","Notcompressed","Proprietary","ACM","No","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No"
"DVAudio","Notcompressed","Proprietary","No","Yes","Yes","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No"
"AMR","Speech","Patentencumbered","No","Yes","No","Yes","Yes","No","No","No","No","No","Yes","AMR-NB,AMR-WB","No","No","No","No","No","No"
"G.728","Speech","Expiredpatents","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","Yes","No"
"Speex","Speech","Opensource","ACM","No","No","No","No","No","No","No","No","No","No","No","No","Yes","Yes","No","No","No"
"QCELP","Speech","Proprietary","No","No","Yes","Yes","No","No","No","No","No","No","No","13K","No","No","No","No","No","No"
"Other","Other","Varies","Musepack,WavPack,TTA,anyformatsupportedbyACM","—","IMA4:1,non-IEEEfloating-pointPCM","MicrosoftGSM6.10","G.721,G.722,G.723,G.726,G.729a,CVSD,ATRAC1,DolbyAC-2","—","—","—","—","—","EVS","EVRC,EVRC-B,EVRC-WB,SMV,VMR-WB","—","Asao,SWFADPCM","—","—","IS-54,CookCodec,SiproLabACELP-NET,RealAudioLossless","—"
"Obsolete","Other","Varies","—","—","MACE3:1,MACE6:1","—","Truespeech,manyothers","—","—","—","—","—","—","—","—","—","CELT","—","—","—"
