"Kernelname","Programminglanguage","Usedin","Creator","Executableformat(alsoseesectionbelow)","Type","Integratedfirewall","SMPsupport","Multiplearchitecturesupport(alsoseesectionbelow).","Multitasking","Virtualization","Security","Profiling/Debugging","Softreal-timesupport","Hardreal-timesupport","CankeepRTCinUT"
"AmigaExec","","AmigaOS","CommodoreInternational","HUNK","Exokernel(atypical)","No","No","No","Yes","No","No","Yes","No","No","No"
"AmigaExecSG(2ndGeneration)","","AmigaOS4","HyperionEntertainment","ELF/HUNK","Exokernel(atypical)","No","No","No","Yes","No","No","Yes","No","No","?"
"DragonFlyBSDkernel","C","DragonFlyBSD","MattDillon","ELF","hybrid","Ipfirewall,PF","Yes","No","Yes","chroot,jail,vkernel","Unixpermissions","DDB,KGDB","?","?","?"
"FreeBSDkernel","C","FreeBSD,DebianGNU/kFreeBSD,Gentoo/FreeBSD,OrbisOS","TheFreeBSDProject","ELF,others-platformdependent","monolithic","IPFilter,Ipfirewall,PF","Yes","Yes","Yes","chroot,jail,bhyve","Unixpermissions,POSIX.1eandNFSv4ACLs,Capsicum,TrustedBSDMAC,OpenBSM","KDB,DDB,KGDB,DTrace,hwpmc","Yes","?","Yes"
"GNUHurd","C","GNU/Hurd(ArchHurd,DebianGNU/Hurd)","GNUProject/FreeSoftwareFoundation","ELF","multiservermicrokernel","No","partial","No","Yes","chroot,Xen","Unixpermissions,POSIXACL,POSIXCapabilities","?","?","?","?"
"GNUMach","C","partofGNUHurd,usedinGNU/Hurd","GNUProject/FreeSoftwareFoundation","ELF","microkernel","No","partial","No","Yes","chroot,Xen","Unixpermissions,POSIXACL,POSIXCapabilities","?","?","?","?"
"Infernokernel","","Inferno","BellLabs/VitaNuovaHoldings","?","virtualmachine","?","Yes","Yes","Yes","chroot,Xen","?","?","?","?","?"
"L4","","L4","JochenLiedtke","No","microkernel","No","Yes","Yes","Yes","Yes","Afterburner/L4[1],Marzipan[2],capabilitiesinL4/Fiasco","L4/Fiasco","L4/Fiasco","?","?"
"Linuxkernel","C","Linux(kernel),Android,Ubuntu,CentOS,webOS,FireOS,FirefoxOS,ChromeOS,SyllableServer,MastodonLinux,OpenBSD/Linux,Plan9/Linux,SailfishOS,Tizen,amongstothers.","LinusTorvalds","ELF,others","monolithic","*ipfwadm(2.0–)ipchains(2.2–)Netfilter(2.4–3.x)nftables(3.13–)","Yes","Yes","Yes","cgroups,chroot,Lguest,Xen,KVM,kvm-lite,LXC","Unixpermissions,POSIXACL,POSIXCapabilities,keyctl,LSM(SELinux,SMACK,TOMOYOLinux,AppArmor)","OProfile,kprobe,SystemTap,JProbe,ftrace,KDB,KGDB,kernelmarker,perftools","CONFIG_PREEMPT","(CONFIG_PREEMPT_RTPatch)","Yes"
"ComputeNodeLinux","","ComputeNodeLinux","CrayInc.","?","?","?","?","?","?","?","?","?","?","?","?"
"Mach","C","NeXTSTEPandOPENSTEPforMachandTru64UNIX","CarnegieMellonUniversity","Mach-O","microkernel,hybridkernel","?","Yes","?","Yes","?","?","?","Yes","?","?"
"MINIX3kernel","C","MINIX3","AndrewS.Tanenbaum","ELF,a.out","microkernel","No","No","Yes","Yes","No","Unixpermissions","Callprofiling,statisticalprofiling,MinixDebugger(mdb)","No","No","?"
"MkLinux","","?","OSFResearchInstituteandAppleComputer","?","microkernel","?","?","?","?","?","?","?","?","?","?"
"NetBSDkernel","C","NetBSD,GNU/kNetBSD(DebianGNU/NetBSD),","TheNetBSDProject","ELF,others-platformdependent","monolithic,anykernelusingrumpkernelarchitecture","IPFilter,PF,NPF","Yes","Yes","Yes","Xen,chroot","kauth,Unixpermissions","DDB,KGDB,tprof","POSIXreal-timeschedulingextensions","Kernelpreemption","?"
"NetWarekernel","","NetWare","Novell","NLM","hybrid","Yes","Yes","No","Yes","?","?","?","?","?","?"
"OpenBSDkernel","C","OpenBSD","OpenBSDdevelopers","ELF,others-platformdependent","monolithic","PF","Yes","Yes","Yes","?","Unixpermissions","?","?","?","?"
"OS/2kernel","","OS/2version2andabove","IBM","LX","hybrid","No","Yes","NoPowerPCversiondevelopedbutneverofficiallyreleased.","Yes","No","Yes","Yes","Yes","No","?"
"Plan9kernel","C","Plan9fromBellLabs","BellLabs","?","monolithic","ipmux","Yes","Yes","Yes","?","?","?","?","?","?"
"ReactOSkernel","C","ReactOS","ReactOSFoundation","PE","hybrid","?","Yes","Yes","Yes","?","Yes","Yes","?","?","?"
"Rockboxkernel","","Rockbox","TheRockboxProject","?","?","?","?","Yes","?","?","?","?","?","?","?"
"SunOSkernel","C","SunOS","SunMicrosystems","a.out","monolithic","?","Yes","Yes","Yes","?","Unixpermissions","?","?","?","?"
