"","Creator","Lateststableversion","Releasedate","OS","Softwarelicense","Opensource","Programminglanguage","Pluginsupport"
"9menu","ArnoldRobbins","1.8","June1,2004","Linux","GPL","Yes","C","No"
"AvantWindowNavigator","NeilJ.Patel","0.4.2","November27,2013","Linux","GPL","Yes","C","Yes"
"dmenu","dwmdevelopers","4.5","December19,2011","Linux","MITLicense","Yes","C","No"
"GNOMEDo","GNOMEDoDevelopers","0.95.1","January23,2014","Linux","GPL","Yes","C#","Yes"
"Katapult","TDEDevelopers","R14.0.6","March5,2019","LinuxwithTDE","GPL","Yes","C++","Yes"
"UnityDash","CanonicalLtd.","7.3.0","June19,2014","Ubuntu","GPLv3","Yes","Vala","Yes(""lenses""and""scopes"")"
