"Model","Launch","ModelNumber","Codename","Fab(nm)","Businterface","Coreclock(MHz)","Memoryclock(MHz)","Coreconfig","Fillrate","Memory","APIcompliance(version)","Memory","Memory","Fillrate","Memory","APIcompliance(version)","Processingpower(GFLOPS)","TDP(Watts)","Notes"
"Model","Launch","ModelNumber","Codename","Fab(nm)","Businterface","Coreclock(MHz)","Memoryclock(MHz)","Coreconfig","Pixel(GP/s)","Texture(GT/s)","Size(MB)","Processingpower(GFLOPS)","TDP(Watts)","Notes","Bandwidth(GB/s)","Bustype","Buswidth(bit)","Direct3D","OpenGL"
"MobilityRadeonHD3100","August1,2008","RS780MC","RV620","55","PCIex161.1","300","800(systemmemory)","40:4:4","1.2","1.2","upto512fromsystemmemory","6.4/12.8","DDR2","64/128","10.1","2.0(3.3)","24","","UVD,PowerPlay7.0"
"MobilityRadeonHD3200","June4,2008","RS780MC","RV620","55","PCIex161.1","500","800(systemmemory)","40:4:4","2","2","upto512fromsystemmemory","6.4/12.8","DDR2","64/128","10.1","2.0(3.3)","40","","UVD,PowerPlay7.0"
"MobilityRadeonHD3410","July25,2008","M82-MPE","RV620","55","PCIex161.1","400","400","40:4:4","1.6","1.6","256,512","6.4","DDR2","64","10.1","2.0(3.3)","32","","UVD,PowerPlay7.0"
"MobilityRadeonHD3430","July25,2008","M82-SE","PCIex162.0","RV620","55","450","400","1.8","64","40:4:4","1.8","256","6.4","36","DDR2","10.1","2.0(3.3)","","UVD,PowerPlay7.0"
"MobilityRadeonHD3450","January7,2008","PCIex162.0","M82","RV620","55","500","256","400700","2","40:4:4","64","2","6.411.2","DDR2GDDR3","40","10.1","2.0(3.3)","","UVD,PowerPlay7.0"
"MobilityRadeonHD3470","January7,2008","M82-XT","PCIex162.0","680","RV620","55","400800","DDR2GDDR3","256","2.72","2.72","40:4:4","64","6.412.8","54.4","10.1","2.0(3.3)","","UVD,PowerPlay7.0"
"MobilityRadeonHD3650","January7,2008","M86","PCIex162.0","RV635","500","55","500700","120:8:4","2","4","5121024","16.022.4","DDR2GDDR3GDDR4","128","3.3","120","10.1","","UVD,PowerPlay7.0"
"MobilityRadeonHD3670","January7,2008","RV635","M86-XT","PCIex162.0","120:8:4","680","800","5121024","55","DDR2GDDR3GDDR4","128","2.72","5.44","25.6","2.0(3.3)","163.2","30","UVD,PowerPlay7.0","10.1"
"MobilityRadeonHD3850","June4,2008","PCIex162.0","M88-L/M88-LP","RV670","55","580","2.0(3.3)","750","320:16:16","UVD,PowerPlay7.0","9.28","9.28","512","48.0","GDDR3","256","371.2","10.1",""
"MobilityRadeonHD3870","June4,2008","M88-LXT","RV670","PCIex162.0","660","320:16:16","850","55","512","10.56","GDDR3","256","2.0(3.3)","10.56","54.4","UVD,PowerPlay7.0","422.4","55","10.1"
"MobilityRadeonHD3850X2","June5,2008","PCIex162.0","2xM88-L/M88-LP","R680","55","580","2.0(3.3)","750","2x[320:16:16]","UVD,PowerPlay7.0","GDDR3","2x9.28","2x9.28","2x512","2x48.0","2x256","2x371.2","","10.1"
"MobilityRadeonHD3870X2","September1,2008","PCIex162.0","R680","2xM88-LXT","660","2x[320:16:16]","55","850","2x512","2.0(3.3)","2x256","2x10.56","2x10.56","UVD,PowerPlay7.0","GDDR3","2x54.4","2x422.4","110","10.1"
