"Client","SecurePOP3","SecureIMAP4","SecureSMTP","SecureNNTP","SecureLDAP","SecurePOP3","SecureIMAP4","SecureSMTP","SecureNNTP","SecureLDAP","SNI","OCSP","CRL"
"Client","SSL","TLS","SSL","TLS","SSL","SNI","OCSP","CRL","TLS","SSL","TLS","SSL","TLS"
"Alpine","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","Yes","?","?","?"
"AppleMail","Yes","Yes","Yes","Yes","Yes","Yes","?","?","?","?","?","?","?"
"Becky!InternetMail","Yes","Yes","Yes","Yes","Yes","Yes","?","?","?","?","?","?","?"
"Citadel","?","?","?","?","?","?","?","?","?","?","?","?","?"
"ClawsMail","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","?","Yes"
"Courier","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Elm","?","?","?","?","?","?","?","?","?","?","?","?","?"
"eMClient","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","?","No","Yes"
"EmailTray","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","?","No","No"
"Eudora","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes","?","?","?"
"Evolution","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","No","No"
"Gnus","?","?","Yes","Yes","?","?","?","?","?","?","?","?","?"
"GroupWise","?","?","?","?","?","?","?","?","?","?","?","?","?"
"Hiri","No","No","No","No","No","No","No","No","No","No","No","No","No"
"i.Scribe/InScribe","Yes","Yes","Yes","No","Yes","Yes","No","No","No","No","?","No","No"
"IBMLotusNotes","Yes","Yes","Yes","?","Yes","Yes","Yes","?","Yes","?","?","Yes","Yes"
"KMail","Yes","Yes","Yes","Yes","Yes","Yes","No","No","?","?","?","?","?"
"Mailpile","?","Yes","?","Yes","?","?","?","?","?","?","?","?","?"
"MicrosoftEntourage","Yes","?","Yes","?","Yes","?","Yes","?","Yes","?","?","?","?"
"MicrosoftOfficeOutlook","Yes","No","Yes","Yes","Yes","Yes","?","?","?","?","?","?","?"
"MozillaMail&Newsgroups","?","?","?","?","?","?","?","?","?","?","?","?","?"
"MozillaThunderbird","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes"
"Mulberry","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes","?","?","?"
"Mutt","Yes","Yes","Yes","Yes","1.5.15","1.5.15","?","?","?","?","?","?","?"
"NetscapeMessenger","?","?","?","?","?","?","?","?","?","?","?","?","?"
"NetscapeMessenger9","?","?","?","?","?","?","?","?","?","?","?","?","?"
"nmh/MH","?","?","?","?","?","?","?","?","?","?","?","?","?"
"OperaMail","Yes","Partial","Yes","Partial","Yes","Partial","Yes","No","N/A","N/A","?","Yes","Yes"
"OutlookExpress","Yes","Yes","Yes","Yes","Yes","Yes","?","?","?","?","?","?","?"
"PegasusMail","Yes","Yes","Yes","Yes","Yes","Yes","?","?","Yes","?","?","?","?"
"Pine","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","?","?","?"
"Pocomail","?","?","?","?","?","?","?","?","?","?","?","?","?"
"RoundCube","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes","?","?","?"
"SeaMonkeyMail&Newsgroups","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"SquirrelMail","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes","?","?","?"
"Sylpheed","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","?","?","?","?"
"TheBat!","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","Yes","Yes","Yes"
"Trojitá","?","?","Yes","Yes","Yes","Yes","?","?","?","?","?","Yes(system)","Yes(system)"
"Turnpike","?","?","?","?","?","?","?","?","?","?","?","?","?"
"WindowsLiveMail","Yes","No","Yes","No","Yes","No","?","?","?","?","?","?","?"
"WindowsMail","Yes","No","Yes","?","Yes","?","?","?","?","?","?","?","?"
"YAM","Yes","Yes","No","No","?","?","?","?","?","?","?","?","?"
"Zimbra","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","?","?"
"Client","SecurePOP3","SecureIMAP4","SecureSMTP","SecureNNTP","SecureLDAP","SecurePOP3","SecureIMAP4","SecureSMTP","SecureNNTP","SecureLDAP","SNI","OCSP","CRL"
"Client","SSL","TLS","SSL","TLS","SSL","SNI","OCSP","CRL","TLS","SSL","TLS","SSL","TLS"
