"Model(Codename)","ReleaseDate&Price","Architecture&Fab","Transistors&DieSize","Core","Fillrate","Processingpower(GFLOPS)","Memory","TDP(Watts)","Memory","Memory","Core","Fillrate","Processingpower(GFLOPS)","Memory","TDP(Watts)","Businterface"
"Model(Codename)","ReleaseDate&Price","Architecture&Fab","Transistors&DieSize","Config","Clock(MHz)","Texture(GT/s)","Pixel(GP/s)","Single","Businterface","Double","Size(MB)","Clock(MHz)","Bustype&width","Bandwidth(GB/s)","Idle","Max"
"RadeonHD6350(Cedar)","April7,2011$23USD","TeraScale240nm","292×1059mm","80:8:4","650","5.2","2.6","104","N/A","512","800","DDR364-bit","12.8","6.4","19.1","PCIe2.1×16"
"RadeonHD6450(Caicos)","February7,2011OEM","TeraScale240nm","370×1067mm","160:8:4","625750","5.06.0","2.53.0","200240","N/A","512","533800","DDR364-bit","8.512.8","9","1827","PCIe2.1×16"
"RadeonHD6450(Caicos)","April7,2011$55USD","370×1067mm","TeraScale240nm","160:8:4","625750","5.06.0","2.53.0","200240","N/A","51210242048","800900","DDR364-bit","12.814.4","9","1827","PCIe2.1×16"
"RadeonHD6570(TurksPro)","February7,2011OEM","TeraScale240nm","716×10118mm","480:24:8","650","15.6","5.2","624","N/A","1024","900","DDR3128-bit","28.8","10","44","PCIe2.1×16"
"RadeonHD6570(TurksPro)","April19,2011$79USD","716×10118mm","TeraScale240nm","480:24:8","650","15.6","5.2","624","N/A","20484096","6671000","DDR3GDDR5128-bit","21.364","11","60","PCIe2.1×16"
"RadeonHD6670(TurksXT)","April19,2011$99USD","716×10118mm","TeraScale240nm","480:24:8","800","19.2","6.4","768","N/A","DDR3GDDR5128-bit","51210242048","8001000","25.664","12","66","PCIe2.1×16"
"RadeonHD6750(JuniperPro)","January21,2011OEM","TeraScale240nm","1040×10166mm","720:36:16","700","25.2","11.2","1008","N/A","5121024","1150","GDDR5128-bit","73.6","16","86","PCIe2.1×16"
"RadeonHD6770(JuniperXT)","April19,2011?","1040×10166mm","TeraScale240nm","800:40:16","850","34.0","13.6","1360","N/A","5121024","GDDR5128-bit","12001050","76.867.2","18","108","PCIe2.1×16"
"RadeonHD6790(BartsLE)","April4,2011$149USD","TeraScale240nm","1700×10255mm","800:40:16","840","33.6","13.4","1344","N/A","1024","1050","GDDR5256-bit","134.4","19","150","PCIe2.1×16"
"RadeonHD6850(BartsPro)","October22,2010$179USD","1700×10255mm","TeraScale240nm","960:48:32","775","37.2","24.8","1488","N/A","1024","GDDR5256-bit","1000","128","19","127","PCIe2.1×16"
"RadeonHD6870(BartsXT)","October22,2010$239USD","1700×10255mm","TeraScale240nm","1120:56:32","900","50.4","28.8","2016","N/A","10242048","GDDR5256-bit","1050","134.4","19","151","PCIe2.1×16"
"RadeonHD6930(CaymanCE)","December2011$180USD","TeraScale340nm","2640×10389mm","1280:80:32","750","60.0","24.0","1920","480","10242048","1200","GDDR5256-bit","153.6","18","186","PCIe2.1×16"
"RadeonHD6950(CaymanPro)","December15,2010$259USD$299USD","TeraScale340nm","2640×10389mm","1408:88:32","800","70.4","25.6","2253","563","10242048","12501250","GDDR5256-bit","160","20","200","PCIe2.1×16"
"RadeonHD6970(CaymanXT)","December15,2010$369USD","TeraScale340nm","2640×10389mm","1536:96:32","880","84.5","28.2","2703","675","2048","1375","GDDR5256-bit","176","20","250","PCIe2.1×16"
"RadeonHD6990(AntillesXT)","March8,2011$699USD","TeraScale340nm","2×2640×10389mm","2×","2640×10389mm","2×1536:96:32","830","2×79.6","2×26.5","5099","1276.88","2×2048","1250","GDDR5256-bit","2×160","37","PCIe2.1×16","375"
"2×","2640×10389mm"
