"Model","Launch","Codename","Fab(nm)","Businterface","Coreconfig","Clockspeed","Fillrate","Memory","SupportedAPIversion","Memory","Memory","Clockspeed","Clockspeed","Fillrate","Memory","SupportedAPIversion","Processingpower(GFLOPS)","TDP(Watts)","Notes"
"Model","Launch","Codename","Fab(nm)","Businterface","Coreconfig","Core(MHz)","Shader(MHz)","Memory(MHz)","Pixel(GP/s)","Processingpower(GFLOPS)","TDP(Watts)","Notes","Texture(GT/s)","Size(MB)","Bandwidth(GB/s)","Bustype","Buswidth(bit)","Direct3D","OpenGL"
"GeForce8200MG","June2008","MCP77MV,MCP79MVL","80","Integrated(PCIe2.0x16)","8:8:4","400","800","8001066(systemmemory)","1.6","3.2","Upto256fromsystemmemory","12.817.056","DDR2DDR3","128","10.0","3.3","19.2","Unknown","PureVideoHDwithVP3,FullH.264/VC-1/MPEG-2HWDecode"
"GeForce8400MG","May2007","NB8M(G86)","80","PCIex16","8:8:4","400","800","800","1.6","3.2","128/256","6.4","DDR2/GDDR3","64","10.0","3.3","19.2","10","PureVideoHDwithVP2,BSPEngine,andAES128Engine"
"GeForce8400MGS","May2007","NB8M(G86)","PCIex16","800","128/256","6.4","DDR2/GDDR3","64","16:8:4","PureVideoHDwithVP2,BSPEngine,andAES128Engine","38.4","80","11","400","800","1.6","3.2","10.0","3.3"
"GeForce8400MGT","16:8:4","May2007","NB8M(G86)","PCIex16","450","900","80","DDR2/GDDR3","1200","1.8","PureVideoHDwithVP2,BSPEngine,andAES128Engine","3.6","256/512","19.2","128","43.2","14","10.0","3.3"
"GeForce8600MGS","16:8:4","May2007","NB8P(G84)","PCIex16","600","256/512","80","128","1200","DDR2/GDDR3","1400","2.4","PureVideoHDwithVP2,BSPEngine,andAES128Engine","4.8","22.4","57.6","20","10.0","3.3"
"GeForce8600MGT","NB8P(G84)","May2007","32:16:8","PCIex16","475","80","256/512","950","20","128","DDR2/GDDR3","800/1400","3.8","PureVideoHDwithVP2,BSPEngine,andAES128Engine","7.6","12.8/22.4","91.2","10.0","3.3"
"GeForce8700MGT","32:16:8","NB8P(G84)","June2007","625","PCIex16","80","1250","256/512","1600","128","5","10","25.6","GDDR3","120","29","ScalableLinkInterface,PureVideoHDwithVP2,BSPEngine,andAES128Engine","10.0","3.3"
"GeForce8800MGTS","November2007","NB8P(G92)","1250","1600","65","PCIe2.0x16","64:32:16","GDDR3","500","8","ScalableLinkInterface,PureVideoHDwithVP2,BSPEngine,andAES128Engine","16","512","51.2","256","240","50","10.0","3.3"
"GeForce8800MGTX","November2007","NB8P(G92)","65","PCIe2.0x16","96:48:16","500","8","24","512","51.2","256","1250","1600","360","65","10.0","GDDR3","3.3","ScalableLinkInterface,PureVideoHDwithVP2,BSPEngine,andAES128Engine"
