"Name","License","Platform","Languages","Resizing","Upload","Output","IPTCSupport","GeoTaggingSupport","TagsCategoriesKeywords","DynamicImageProcessing","AccessControl","FaceRecognition","LDAPsupport","Version"
"GalleryProject","GPL","PHP/MySQL,(PostgreSQL,Oracle,DB2,MicrosoftSQLServeronlyin2.xversion)","Multilingual","Automatic(GD/ImageMagick)","Localfilesystem,HTTP,Javaapplet,GalleryRemote,Picasa2,ImportfromGallery1.x,WindowsXPPublishingWizard,Localserver,GLoSS,WebDAV(asof2.2)","XHTML1.0Strict,CSS","Yes,inG2","module","Yes,keywordsinG2","No","No,asofG3","","","3.1.3(June4,2020;21monthsago(2020-06-04))[±]"
"MediaGoblin","AGPLv3","Python/PostgreSQL","Multilingual","Automatic","HTTP,Android(justunderadiscontinuedclient)","HTML5","","Yes","Yes,tagsandcollections","","Yes,bycontrollingifregistrationsareallowedornot","","","0.12.0""Potions""(September18,2021;5monthsago(2021-09-18))[±]"
"ownPhotos(ownCloudplugin)","MITLicense","Python/Django,React","","","","","","Yes","Yes","","","Yes",""
"Piwigo","GPL","PHP/MySQL","Multilingual(56languages)","Automatic(GD/ImageMagick),upto9sizes","HTTP,FTP,localfilesystem,Flash,Picasa,iPhoto,Digikam,Shotwell,Lightroom,iPhone/iPadandAndroid","HTML4.01orHTML5,CSS2(ComplieswithW3Cspecifications),themeformobiledevices","Yes","pluginforGoogleMapsorpluginforOpenStreetMap","Yes","Yesresize,sharpen,crop,rotate","Yes","","plugin","2.10.2(March27,2020;23monthsago(2020-03-27))[±]"
