"Model","Launch","Codename","Fab(nm)","Businterface","Coreconfig","Clockspeed","Fillrate","Memory","SupportedAPIversion","Memory","Memory","Clockspeed","Clockspeed","Fillrate","Memory","SupportedAPIversion","Processingpower(GFLOPS)","TDP(Watts)"
"Model","Launch","Codename","Fab(nm)","Businterface","Coreconfig","Core(MHz)","Shader(MHz)","Memory(MHz)","Pixel(GP/s)","Processingpower(GFLOPS)","TDP(Watts)","Texture(GT/s)","Size(MB)","Bandwidth(GB/s)","Bustype","Buswidth(bit)","Direct3D","OpenGL"
"GeForce305M","January10,2010","GT218","40","PCIe2.0x16","16:8:4","525","1150","1400","2.1","4.2","512","11.2","DDR3GDDR3","64","10.1","3.3","55","14"
"GeForce310M","January10,2010","GT218","40","PCIe2.0x16","16:8:4","625","1530","1600","2.5","5","512","12.8","DDR3GDDR3","64","10.1","3.3","73","14"
"GeForce315M","January5,2011","GT218","1600","40","PCIe2.0x16","12.8","16:8:4","606","1212","2.42","4.85","58.18","512","DDR3GDDR3","64","10.1","3.3","14"
"GeForce320M","April1,2010","MCP89","40","PCIe2.0x16","48:16:8","450","950","1066","3.6","7.2","256(sharedw/systemmemory)","17.056","DDR3","128","10.1","3.3","136.8","20"
"GeForceGT320M","January21,2010","GT216","40","PCIe2.0x16","24:8:8","500","1100","1580","4","4","1024","128","25.3","DDR3GDDR3","90","10.1","3.3","14"
"GeForceGT325M","January10,2010","GT216","48:16:8","40","PCIe2.0x16","450","990","1600","1024","3.6","DDR3GDDR3","7.2","25.6","142","128","23","10.1","3.3"
"GeForceGT330M","January10,2010","48:16:8","575","GT216","1600","1265","40","25.6","PCIe2.0x16","23","4.6","9.2","182","1024","10.1","DDR3GDDR3","3.3","128"
"GeForceGT335M","January7,2010","GT215","40","PCIe2.0x16","1600","72:24:8","450","25.6","1080","3.6","1024","10.8","DDR3GDDR3","233","28?","128","10.1","3.3"
"GeForceGTS350M","January7,2010","GT215","96:32:8","500","40","PCIe2.0x16","1249","3200","4","16","1024","51.2","DDR3GDDR3GDDR5","360","128","28","10.1","3.3"
"GeForceGTS360M","96:32:8","500","January7,2010","GT215","1436","3600","40","DDR3GDDR3GDDR5","PCIe2.0x16","4.4","17.6","57.6","413","1024","38","10.1","3.3","128"
