"Company","Software","On-demandscan","On-accessscan","Firewall","AntiSpam","Webprotection","PrivacyAdvisor","AntiTheft","Call/SMSFiltering","Backup","ParentalControl","Support","AVComparatives","AVTest","License","Price","Firstrelease","Countryoforigin","Notes"
"Avast","AvastMobileSecurity","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Proprietary","Free","2011","CzechRepublic",""
"Avast","AvastPremierMobileSecurity","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Proprietary","Non-free","2013","CzechRepublic",""
"AVGTechnologies(Grisoft)","AVGAntiVirusFREEforAndroid","Yes","Yes","No","No","No","No","Yes","Yes","No","No","No","No","Yes","Proprietary","Free","2010","CzechRepublic",""
"AviraOperations","AviraFreeAndroidSecurity","Yes","Yes","No","Yes","No","No","Yes","Yes","No","Yes","Yes","No","Yes","Proprietary","Free","2004","Germany",""
"Bitdefender","BitdefenderMobileSecurity","Yes","Yes","No","No","Yes","Yes","Yes","No","No","No","No","Yes","Yes","Proprietary","Freemium","2011","Romania",""
"CheetahMobile","SecurityMaster","Yes","Yes","No","No","No","No","Yes","Yes","No","No","No","No","Yes","Proprietary","Free","2012","China","FormerCMSecurity,PurgedfromGooglePlayStore"
"ComodoGroup","ComodoMobileSecurity","Yes","Yes","No","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Proprietary","Free","2012","UnitedStates",""
"Dr.Web","Dr.WebMobileSecuritySuite","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Proprietary","Trialware","2010","Russia",""
"ESET","ESETMobileSecurity","Yes","Yes","No","Yes","Partially,onlyAnti-Phishing","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Proprietary","Freemium","2011","Slovakia",""
"F-Secure","F-SecureMobileSecurity","Yes","Yes","No","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Proprietary","Non-free","2010","Finland",""
"GDataCyberDefense","GDataMobileSecurity","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Proprietary","Trialware","2012","Germany",""
"KasperskyLab","KasperskyMobileSecurity","Yes","Yes","No","No","Yes","No","Yes","Yes","Yes","No","Yes","Yes","Yes","Proprietary","Non-free","2011","Russia","BannedbyUSG"
"McAfee","McAfeeMobileSecurity","Yes","Yes","No","No","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Proprietary","Non-free","2011","UnitedStates",""
"Sophos","EndUserProtection","Yes","Yes","No","No","No","Yes","Yes","No","No","No","No","Yes","Yes","Proprietary","Non-free","2011","UnitedKingdom",""
"Sourcefire","FireAMPMobile","Yes","Yes","No","No","No","No","No","No","No","No","Yes","No","No","Proprietary","?","2012","UnitedStates",""
"NortonLifelock(formerlySymantec)","NortonMobileSecurity","Yes","Yes","No","No","Yes","No","Yes","Yes","Yes","No","Yes","Yes","Yes","Proprietary","Non-free","2011","UnitedStates",""
"TrendMicro","TrendMicroMobileSecurity","Yes","Yes","No","No","Yes","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Proprietary","Non-free","2012","Japan",""
"Webroot","SecureAnywhereMobile","Yes","Yes","No","No","Yes","No","Yes","Yes","No","No","Yes","Yes","Yes","Proprietary","Freemium","2012","UnitedStates",""
"Company","Software","On-demandscan","On-accessscan","Firewall","AntiSpam","Webprotection","PrivacyAdvisor","AntiTheft","Call/SMSFiltering","Backup","ParentalControl","Support","AVComparatives","AV-Test","License","Price","Firstrelease","Countryoforigin","Notes"
