"Graphics","Launch","Market","Codename","Chipset","DeviceID","Corerenderclock(MHz)","Executionunits","Shadermodel(vertex/pixel)","APIsupport","APIsupport","APIsupport","Hardwareacceleration","Hardwareacceleration","Memorybandwidth(GB/s)","DVMT(MB)","Hardwareacceleration"
"Graphics","Launch","Market","Codename","Chipset","DeviceID","Corerenderclock(MHz)","Executionunits","Shadermodel(vertex/pixel)","Direct3D","Memorybandwidth(GB/s)","DVMT(MB)","OpenGL","OpenCL","MPEG-2","VC-1","AVC"
"GMA3000","2006","Desktop","Lakeport","946GZ","2972","667","8","3.0(SW)/2.0","9.0cFL9_1","1.52.12.1ES2.0","No","10.6","256","MC","No","No"
"GMA3000","2006","Desktop","Broadwater","Q963","2992","667","8","3.0(SW)/2.0","9.0cFL9_1","1.52.12.1ES2.0","No","10.6","256","MC","No","No"
"Broadwater","GMA3000","2992","2006","Desktop","Q965","12.8","667","8","3.0(SW)/2.0","9.0cFL9_1","1.52.12.1ES2.0","No","256","MC","No","No"
"Broadwater","12.8","GMAX3000","2006","Desktop","G965","29A2","3.0","667","8","384","9.0cFL9_1","1.52.12.1ES2.0","No","Full","MC+(LF?WMV9only)","No"
"GMAX3500","12.8","2007","Desktop","384","Full","Bearlake","G35","2982","667","8","4.0","10.0FL10_0","1.52.12.1ES2.0","No","MC+LF","No"
"GMAX3100","2007","Mobile","Crestline","GL960","4.0","10.0FL10_0","384","Full","2A022A12","400","8.5","8","MC+(LF?WMV9only)","1.52.12.1ES2.0","No","No"
"GMAX3100","Mobile","Crestline","GLE960","2A022A12","400","8.5","MC+(LF?WMV9only)","2007","8","1.52.12.1ES2.0","No","4.0","10.0FL10_0","384","Full","No"
"GMAX3100","Mobile","Crestline","GM965","2A022A12","2007","500","MC+(LF?WMV9only)","10.7","8","4.0","10.0FL10_0","384","Full","1.52.12.1ES2.0","No","No"
"GMAX3100","500","10.7","Mobile","Crestline","GME965","2A022A12","2007","8","MC+(LF?WMV9only)","1.52.12.1ES2.0","No","4.0","10.0FL10_0","384","Full","No"
"GMA4500","2008","Desktop","Eaglelake","B43","4.0","10.0FL10_0","Full","2E422E92","533","10","2.1ES2.0","12.8(DDR2)17(DDR3)","1720","No","MC+LF","MC+LF"
"GMA4500","2008","Desktop","Eaglelake","Q43","2E12","533","10","2.1ES2.0","12.8(DDR2)17(DDR3)","1720","MC+LF","MC+LF","No","Full","4.0","10.0FL10_0"
"GMA4500","2E12","2008","Desktop","Eaglelake","Q45","No","533","10","2.1ES2.0","12.8(DDR2)17(DDR3)","1720","MC+LF","MC+LF","Full","4.0","10.0FL10_0"
"GMAX4500","2008","Desktop","Eaglelake","G41","2E32","800","10","2.1ES2.0","12.8(DDR2)17(DDR3)","1720","MC+LF","MC+LF","No","4.0","10.0FL10_0","Full"
"GMAX4500","G43","2008","800","Desktop","Eaglelake","2E22","No","Full","10","2.1ES2.0","12.8(DDR2)17(DDR3)","1720","MC+LF","MC+LF","4.0","10.0FL10_0"
"GMAX4500HD","2E22","2008","Desktop","800","Eaglelake","G45","Full","Full","10","2.1ES2.0","12.8(DDR2)17(DDR3)","1720","No","4.0","10.0FL10_0","Full"
"GMA4500MHD","2008","Full","Full","Mobile","Cantiga","GL40","2A42","4.0","10","2.1ES2.0","12.8(DDR2)17(DDR3)","1720","10.0FL10_0","Full","400","No"
"GMA4500MHD","Mobile","Cantiga","GS40","2A42","400","2008","Full","Full","No","Full","4.0","10.0FL10_0","10","2.1ES2.0","12.8(DDR2)17(DDR3)","1720"
"GMA4500MHD","Mobile","Cantiga","GM45","2A42","2008","Full","Full","533","No","Full","4.0","10.0FL10_0","10","2.1ES2.0","12.8(DDR2)17(DDR3)","1720"
"GMA4500MHD","533","Mobile","Cantiga","GS45","2A42","2008","Full","Full","No","Full","4.0","10.0FL10_0","10","2.1ES2.0","12.8(DDR2)17(DDR3)","1720"
"GMA4500MHD","Mobile","Cantiga","GM47","2A42","2008","Full","Full","640","No","Full","4.0","10.0FL10_0","10","2.1ES2.0","12.8(DDR2)17(DDR3)","1720"
