"Driverfamily","Driver","Chipsets","ChipsetPHYModes","Integrationinmainline","Non-freefirmwarerequired","License","Development"
"adm8211","adm8211","ADMtekADM8211(IEEE802.11bMAC/BBP","b","Yes","Yes","GPLv2","WithsupportfromInfineon/ADMtek"
"at76c50x?usbat76c50x?usb","at76c50x-USB","AtmelAT76C503/AT76C505basedUSBWLANadapters","b","Yes","Dependsonthemodel","GPLv2","?"
"","acx100","TexasInstrumentsACX100,ACX111,TNETW1450","b/g","No","Yes","DualBSD/MPL","Reverse-engineered"
"airo","airo","CiscoSystemsAironet4500/4800and340/350","b","Yes","No","DualGPLv2andBSD","?"
"ath","ar5523","QualcommAtherosAR5523basedUSBdongles","a/b/g","Yes","Yes","ISC","Reverse-engineered"
"ath","ath5k","QualcommAtherosAR2413,AR2414,AR2417,AR2425,AR5210,AR5211,AR5212,AR5213,AR5413,AR5414,AR5423,AR5424","a/b/g","Yes(since2.6.25)","N/A","DualGPL/BSD","Reverse-engineered"
"ath","ath6kl","QualcommAtherosAR6003,AR6004(SDIO),AR6004(USB)","a/b/g","Yes","Yes","ISC","WrittenbyQualcommAtheros"
"ath","ath9k","QualcommAtheroschipswithIEEE802.11nsupport","a/b/g/n","Yes(since2.6.27)","N/A","ISC","WrittenbyQualcommAtheros"
"ath","ath9k_htc","QualcommAtherosAR9271,AR7010(USB-PCIebridgewithAR928xchips)","b/g/n","Yes(since2.6.35)","No","ISC","WrittenbyQualcommAtheros"
"ath","ath10k","QualcommAtheroschipswithIEEE802.11acsupport","ac","Yes(since3.11)","Yes","ISC","WrittenbyQualcommAtheros"
"ath","ath11k","QualcommAtheroschipswithIEEE802.11axsupport","ax","Yes(since5.6)","Yes","ISC","WrittenbyQualcommAtheros"
"ath","carl9170","QualcommAtherosAR9170(802.11nUSB)","a/b/g/n","Yes(since3.0)","No","GPL","QualcommAtheros-supported"
"ath","wil6210","Wilocitywil6210,802.11ad60GHz","ad","Yes","Yes","ISC","WrittenbyQualcommAtheros"
"atmel","atmel","Atmelat76c502at76c504andat76c506wirelesscards","b","Yes","Yes","GPLv2+","Reverse-engineered"
"b43","b43","SomeBroadcom43xx","a/b/g/n","Yes(since2.6.24)","ExperimentalOSSfirmware","GPL","Reverse-engineered"
"b43legacy","b43legacy","Broadcom4301,4303,and4306revisions1and2","a/b/g","Yes(since2.6.24)","ExperimentalOSSfirmware","GPL","Reverse-engineered"
"brcm80211","brcmfmac","PCIedevices:Broadcom4356,43567,43570,4358,4359,43602,4365,4366SDIOdevices:Broadcom4329,4330,4334,43340,43341,43241,4335,4339,43362,43430,43455,4354,43143USBdevices:Broadcom43235,43236,43238,43143,43242,43566,43569","a/b/g/n","Yes(since3.2)","Yes","ISC","WrittenbyBroadcom"
"brcm80211","brcmsmac","Broadcom4313,43224,43225","a/b/g/n","Yes(since3.2)","Yes","ISC","WrittenbyBroadcom"
"cw1200","cw1200","ST-EricssonCW1100&CW1200WLANchipsets","?","Yes(since3.11)","Yes","GPLv2","?"
"hostap","HostAP","IntersilPRISM-II,PRISM-2.5,PRISM3","?","Yes","Dependsonthemodel","GPLv2",""
"ipw2x00","ipw2x00","IntelPRO/Wireless2100and2200NetworkConnection802.11b","?","Yes","Yes","GPL","WrittenbyIntel"
"iwlegacy","iwlegacy","IntelWirelessWiFi3945ABG,4965AGN","?","Yes","Yes","GPL",""
"iwlwifi","iwlwifi","IntelWirelessWiFiNextGenAGN-Wireless-N/Advanced-N/Ultimate-N:6250AGN,6200AGN,6300AGN,1000BGN,5150AGN,5100AGN,5300AGN,5350AGN,6005,6030,6150BGN,100BGNand130BGN,2000","a/b/g/n/ac/ax","Yes","Yes","DualGPL/BSD","WrittenbyIntel"
"libertas","libertas","Marvell88W8686SDIOLibertas8388(USB)802.11b/g,8385(CompactFlash)802.11b/g,8385/8686/8688(SDIO)802.11b/g,8686(SPI)802.11b/g88W8388","?","Yes","Yes","GPL","Marvell-supported"
"libertas_tf","libertastf","Marvell8388(USB)WLANThinfirmDriver(OLPC)","b/g","Yes","Yes","GPL","cozybit,Marvell-supported"
"mt76","mt76","MediaTekMT76x0U,MT76x2U","a/b/g/n/ac","Yes(since4.19)","Yes","ISC","WithsupportfromMediaTek"
"mt7601u","mt7601u","MediaTekMT7601U","b/g/n","Yes(since4.2)","Yes","GPLv2",""
"mwifiex","mwifiex","WiFi-ExDriverforMarvellSD8786/SD8787/SD8797(SDIO),8766/8897(PCIe)and88W8797(USB)","?","Yes","Yes","GPLv2","WrittenbyMarvell"
"mwl8k","mwl8k","MarvellTOPDOG802.11Wirelesscards:88W8366,88W8863,88W8687,88W8764","?","Yes","Yes","GPLv2","WrittenbyMarvell"
