"Model","ReleaseDate","Fabricationprocess(nm)","PCI","USB","FireWire(IEEE1394)","PATA","SATA","LAN","Sound","Features","Notes"
"MCP","2001","","5Ports","6PortsRev1.1","No","2PortsUDMA100","No","100Mbit/s","AC'972.1","",""
"MCP-D","2001","","5Ports","6PortsRev1.1","No","2PortsUDMA100","No","100Mbit/s","AC'972.1NVAPUSoundStorm","",""
