"Name","License","Platform","Details"
"CerberusFTPServer","Proprietary","Windowsonly","FTP,FTPS,SFTP,SCP,HTTPSwebclient,IPv6,SOAP-basedwebservicesAPI,WindowsActiveDirectory/LDAPauthentication,HTTP/HTTPSremoteadministration,publickeyandclientcertificateauthentication"
"CompleteFTP","trialware","Windowsonly","FTP,FTPS,SFTP,SCP,HTTP,HTTPS,WindowsActiveDirectoryauthentication,SQLauthentication,SAMLSingleSign-Onauthentication,groups,virtualfile-system,process/e-mailevents,dataatrestencryption,protocolconversionforback-endservers,SSHtunnelling,file-sharing(viaclientapp),web-apphostingviaserver-sideJavascript,remoteadministration,publickeyandclientcertificateauthentication,PluginAPI(.NET/Javascript),fail-over,load-balancing,dockabledashboard"
"CrushFTPServer","trialware","MacOSX,Windows(all),Linux(all),*BSD,Solaris,IBM.","FTP,FTPS,SFTP,SCP,HTTP,HTTPS,WebDAV(SSL),AS2,AS3,PluginAPI,ActiveDirectory/LDAPauthentication,RADIUSauthentication,SQLauthentication,SAMLSSOAuthentication,CrushBalanceloadbalancer,WebUIadministration,Groups,LayeredInheritance,Events/Alerts,ProtocolConversion(incomingFTP/FTPS/SFTP/HTTP(s)protocolsconvertedtoabackendFTP(ES)/SFTP/HTTP(s)/S3/WebDAVserver.),SSHTunneling,HTTP(S)Tunneling,CrushTask,clientcertificateauthentication,ad-hocfilesharing,keywordssearch,PGPinstreamencryption/decryption,bandwidthacceleration(CrushTunnel),filerevisionsandsynchronization,DMZfrontendservermodecanalsoclusterwithloadbalance(supportsproxyprotocolv1andv2),DDOSprotection,HighAvailabilityVirtualIP,datareplicationandsessionreplication,Jobschedulingandmonitoring,userconfigviaAPI,scriptablecommandlinefiletransferclient.SupportscloudstorageviaS3,Azure,[Citrix]filestorage,HadoopandGoogleDriveforfiledata."
"FileZillaServer","freesoftware","WindowsMacOSX","FTP,FTPS,supportsautoban,speedlimits,IPFilter,Groups,Sharedfolders,compression"
"MicrosoftInternetInformationServices","Proprietary","Windowsonly","FTP,FTPS,WebDAVandWebDAVoverSSL(FTPSissupportedinIIS7andlater)"
"SysaxMultiServer","proprietary,FreePersonalEdition","Windows(AllEditions)","SecureFTPServerthatalsosupportsSecureShellAccessandWebbrowserbasedsecurefiletransfer.ProtocolssupportedincludeFTP,FTPS,SFTP,HTTP,HTTPS,Telnet,andSecureShell.FeaturesincludewebUIadministration,servereventtriggersandscripting,andauthenticationusingWindows,ODBC,orActiveDirectory.CertifiedforWindowsVista."
"WarFTPDaemon","freesoftware","Windows9X/2000/XP/2003","OneoftheoriginalFTPserversmadeforthewindowsplatformandstillavailable."
