"Pronunciation","Pronunciation","Examples","Examples"
"StandardDutch","Afrikaans","StandardDutch","Afrikaans"
"shorta/?/","/a/","kat/?k?t/","kat/?kat/"
"longa/a?/","/??/","kaart/?ka?rt/","kaart/?k??rt/"
"shorte/?/","/?/","bed/?b?t/","bed/?b?t/"
"longe/e?/","/??/","weet/??e?t/","weet/?v??t/"
"eu/ø?/","/?ø/","neus/?nø?s/","neus/?n?øs/"
"shorti/?/","/?,?/","kind,Indië/?k?nt,??ndi?/","kind,Indië/?k?nt,??ndi?/"
"longi,ie/i/","/i/","dief/?dif/","dief/?dif/"
"shorto/?/","/?/","bok/?b?k/","bok/?b?k/"
"longo/o?/","/??/","brood/?bro?t/","brood/?br??t/"
"oe/u/","/u/","boer/?bur/","boer/?bur/"
"shortu/?/","/œ/","kus/?k?s/","kus/?kœs/"
"longu/y/","/y/","duur/?dyr/","duur/?dyr/"
"ai/???/","/a??/","ai/????/","ai/?a??/"
"aai/a???/","/????/","haai/?ha???/","haai/?h????/"
"au,auw/???/ou,ouw/???/","ou/œ??/","dauw/?d???/koud,vrouw/?k???t,?vr???/","dou/?dœ??/koud,vrou/?kœ??t,?frœ??/"
"ei/???/ij/???/","ei/???/y/???/","eiland/????l?nt/hij/?h???/","eiland/????lant/hy/?h???/"
"eeu,eeuw/e???/","eeu/i??/","leeuw/?le???/","leeu/?li??/"
"ieu,ieuw/i??/","ieu/i??/","kieuw/?ki??/","kieu/?ki??/"
"oei/u??/","/u??/","groei/??ru??/","groei/??ru??/"
"ooi/o???/","/o???/","mooi/?mo???/","mooi/?mo???/"
"ui/œ??/","/œ??/","huis/?hœ??s/","huis/?hœ??s/"
"uw/y??/","u/y/","schaduw/?sxa?dy??/","skadu/?sk??dy/"
