"Model","Codename","UMI","SATA","USB3.0+2.0+1.1","RAID","NIC","33MHzPCI","SD","VGADAC","TDP(W)","Features/notes","Partnumber"
"Mobile","Mobile","Mobile","Mobile","Mobile","Mobile","Mobile","Mobile","Mobile","Mobile","Mobile","Mobile","Mobile"
"A55T","Hudson-M2T","×2Gen1","1×3Gbit/sAHCI1.1","0+8+0","No","No","No","SDIO","No","","",""
"A50M","Hudson-M1","×4Gen1","6×6Gbit/sAHCI1.2","0+14+2","No","No","No","No","No","5.9","~920mWidle","100-CG2198"
"A60M","Hudson-M2","×4Gen1+DP","6×6Gbit/sAHCI1.2","0+14+2","0,1","10/100/1000","Yes","Yes","No","4.7","",""
"A68M","Hudson-M3L","×4Gen1+DP","0,1","10/100/1000","Yes","2×6Gbit/sAHCI1.2","4.7","2+8+0","No","~750mWidle","","No"
"A70M","Hudson-M3","×4Gen1+DP","0,1","10/100/1000","Yes","6×6Gbit/sAHCI1.2","4.7","4+10+2","Yes","FirstnativeUSB3.0controller","100-CG2389","No"
"A76M","Bolton-M3","","","","","","","","","","","218-0844012"
"Desktop","Desktop","Desktop","Desktop","Desktop","Desktop","Desktop","Desktop","Desktop","Desktop","Desktop","Desktop","Desktop"
"A45","Hudson-D1","×4Gen.2","6×3Gbit/sAHCI1.1","0+14+2","No","No","Upto4slots","No","No","","","218-0792008"
"A55","Hudson-D2","×4Gen2+DP","6×3Gbit/sAHCI1.1","0+14+2","0,1,10","10/100/1000","Upto3slots","Yes","Yes","7.6","",""
"A58","Bolton-D2","×4Gen2","0,1,10","6×3Gbit/sAHCI1.3","Upto3slots","Yes","Yes","7.6","0+14+2","","","218-0844023"
"A68H","Bolton-D2H","×4Gen2","4×6Gbit/sAHCI1.3","0,1,10","2+10+2","Upto3slots","Yes","Yes","","","xHCI1.0","218-0844029-00"
"A75","Hudson-D3","×4Gen2+DP","0,1,10","6×6Gbit/sAHCI1.2","Upto3slots","Yes","Yes","4+10+2","10/100/1000","7.8","FirstnativeUSB3.0controller","100-CG2386"
"A78","Bolton-D3","×4Gen2+DP","6×6Gbit/sAHCI1.3","4+10+2","0,1,10","","Upto3slots","Yes","Yes","7.8","xHCI1.0","218-0844014"
"A85X","Hudson-D4","×4Gen2+DP","8×6Gbit/sAHCI1.2","7.8","4+10+2","0,1,5,10","10/100/1000","Upto3slots","Yes","Yes","USB3.0(xHCI0.96)",""
"A88X","Bolton-D4","×4Gen2","0,1,5,10","8×6Gbit/sAHCI1.3","7.8","4+10+2","","Upto3slots","Yes","Yes","USB3.0(xHCI1.0)","218-0844016"
"Embedded","Embedded","Embedded","Embedded","Embedded","Embedded","Embedded","Embedded","Embedded","Embedded","Embedded","Embedded","Embedded"
"A55E","Hudson-E1","×4Gen2","6×6Gbit/sAHCI1.2","0+14+2","0,1,5,10","10/100/1000","Upto4slots","No","No","5.9","","100-CG2293"
"A77E","Bolton-E4","1-,2-,or4-lane2or5GB/s","6×6Gbit/sAHCI1.3","4+10+2","","","Upto3slots","Yes","Yes","","4-lanePCIe2.0","218-0844020-00"
"Model","Codename","UMI","SATA","USB3.0+2.0+1.1","RAID","NIC","33MHzPCI","SD","VGADAC","TDP(W)","Features/notes","Partnumber"
