"Color","(kg)","(lb)"
"Blue","<0.9","<2.0"
"Green","0.9to1.125","2to2.5"
"Yellow","1.125to1.5","2.5to3.3"
"Orange",">1.5",">3.3"
"Grey","Variable","Variable"
"White","NotKnown","NotKnown"
