"Value","Meaning"
"Yes","Fullysupported"
"No","Hasneverbeensupported"
"Partial","Onlysomevaluesaresupported"
"Incorrect","Notimplementedcorrectlyinallcases"
"Experimental","Maybeincompleteorbuggy"
"Nightlybuild","Currentlyindevelopment;fullsupportisexpected"
"Depends","Onlysupportedforthespecifiedconditions"
"Dropped","Nolongersupported"
