"Model","Launch","Micro-archi-tecture","Codename","Fab(nm)","Transistors(million)","Diesize(mm)","Businterface","Clockrate","Clockrate","Fillrate","Memory","Processingpower(GFLOPS)","APIcompliance(version)","APIcompliance(version)","APIcompliance(version)","Memory","Memory","Coreconfig","Fillrate","Memory","Processingpower(GFLOPS)","APIcompliance(version)","TDP(Watts)","Notes"
"Model","Launch","Micro-archi-tecture","Codename","Fab(nm)","Transistors(million)","Diesize(mm)","Businterface","Core(MHz)","Coreconfig","Memory(MHz)","Pixel(GP/s)","Texture(GT/s)","Size(MB)","TDP(Watts)","Notes","Bandwidth(GB/s)","Bustype","Buswidth(bit)","Singleprecision","Doubleprecision","Direct3D","OpenGL","OpenCL","Vulkan"
"FirePro3DV3700","August8,2008","Terascale1","RV620PRO","55","181","67","PCIe2.0x16","800","950","40(8×5):4:4:2","3.2","3.2","256","15.2","GDDR3","64","64","-","10.1","3.3SM4.1","APPStreamonly","N/A","32","UVD+,PowerPlay"
"FirePro3DV3750","September11,2008","Terascale1","RV730PRO","55","514","146","PCIe2.0x16","550","750","320(64×5):32:8:4","4.4","17.6","256","24","GDDR3","128","352","-","10.1","3.3","1.0","N/A","48","UVD+,PowerPlay"
"FirePro3DV3800,","April26,2010","TeraScale2","RedwoodProGL(RV830)","40","627","104","PCIe2.1x16","650","900","400(80×5):20:8:5","5.2","13","512","14.4","GDDR3","64","520","?","11.0","4.3SM5.0","1.2","N/A","43","UVD2,PowerPlay,Eyefinity"
"FirePro3DV4800,","April26,2010","TeraScale2","RedwoodXTGL(RV830)","40","672","104","PCIe2.1x16","775","900","400(80×5):20:8:5","6.2","15.5","1024","57.6","GDDR5","128","?","11.0","620","1.2","4.3","UVD2,PowerPlay,Eyefinity","69","N/A"
"FirePro3DV5700","August8,2008","TeraScale1","RV730XT","55","514","146","PCIe2.0x16","700","900","128","320(64×5):32:8:4","5.6","22.4","512","28.8","GDDR3","448","-","10.1","3.3","1.0","58","N/A","UVD2,PowerPlay"
"FirePro3DV5800,","April26,2010","TeraScale2","JuniperXTGL(RV840)","40","1040","166","PCIe2.1x16","700","1000","800(160×5):40:16:10","128","11.2","28","1024","64","GDDR5","1120","-","11.0","4.3","1.2","74","UVD2,PowerPlay,Eyefinity","N/A"
"FirePro3DV7750","March27,2009","TeraScale1","RV730XTX","55","514","146","PCIe2.0x16","800","900","128","320(64×5):32:8:4","1024","6.4","25.6","28.8","GDDR3","512","-","10.1","3.3","1.0","76","UVD2,PowerPlay","N/A"
"FirePro3DV7800,","April26,2010","TeraScale2","CypressProGL(RV870)","40","2154","334","PCIe2.1x16","700","1000","1440(288×5):72:32:18","22.4","50.4","2048","128","GDDR5","256","2016","403.2","11.0","4.3","1.2","N/A","138","UVD2,PowerPlay,Eyefinity"
"FirePro3DV8700","September11,2008","TeraScale1","RV770XT","55","956","256","PCIe2.1x16","750","850","800(160×5):40:16:10","12","30","1024","108.8","GDDR5","256","1200","240","10.1","3.3","1.0","151","UVD2,PowerPlay","N/A"
"FirePro3DV8750","July28,2009","TeraScale1","RV770XT","55","956","256","750","900","800(160×5):40:16:10","12","30","2048","115.2","1200","240","10.1","3.3","1.0","154","UVD2,PowerPlay","PCIe2.1x16","N/A","GDDR5","256"
"FirePro3DV8800","April7,2010","TeraScale2","2048","CypressXTGL(RV870)","40","2154","334","PCIe2.1x16","825","1150","1600(320×5):80:32:20","26.4","66","147.2","2640","GDDR5","256","528","11.0","4.3","1.2","208","UVD2,PowerPlay,Eyefinity","N/A"
"FirePro3DV9800","September9,2010","TeraScale2","CypressXTGL(RV870)","40","2154","334","850","1150","1600(320×5):80:32:20","27.2","68","147.2","4096","2720","11.0","4.3","1.2","PCIe2.1x16","UVD2,PowerPlay,Eyefinity","544","225","N/A","GDDR5","256"
