"Company","Software","On-demandscan","On-accessscan","Heuristics","CloudAV","Firewall","IDS","IPS","Emailsecurity","AntiSpam","Webprotection","Live-Update","Support","License","Price","Firstrelease","Countryoforigin","Notes"
"AVGTechnologies(Grisoft)","AVGLinuxServerEdition","Yes","Yes","Yes","No","No","No","No","Yes","Yes","No","Yes","No","Proprietary","Non-free","2008","CzechRepublic",""
"Cisco","ClamAntiVirus","Yes","Yes","No","No","No","No","No","No","No","No","Yes","No","GPL-2.0-only","Free","1998","UnitedStates",""
"ComodoGroup","ComodoInternetSecurityLinux","Yes","Yes","Yes","No","No","No","No","Yes","No","No","Yes","No","Proprietary","Free","2008","UnitedStates","Verydifficulttoinstall,needingextensivesystemhacks/edits."
"Dr.Web","Dr.WebAnti-virusforLinux","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Proprietary","Trialware","1992","Russia",""
"ESET","ESETFileSecurityforLinux","Yes","Yes","Yes","Yes","No","No","No","No","No","No","Yes","Yes","Proprietary","Non-free","2008","Slovakia",""
"ESET","ESETEndpointAntivirusforLinux","Yes","Yes","Yes","Yes","No","No","No","No","No","No","Yes","Yes","Proprietary","Non-free","2020","Slovakia","Currentlyin'LimitedSupport'doesn'thaveallfunctionsavailableviaGUIinterface"
"FRISKSoftware","F-PROTAntivirus","Yes","Yes","Yes","No","No","No","No","Yes","No","No","Yes","No","Proprietary","Trialware","1989","Iceland","EOL2021"
"F-Secure","F-SecureLinuxSecurity","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Proprietary","Non-free","2008","Finland",""
"Fortinet","Forticlient","Yes","Yes","Yes","Yes","No","No","No","No","No","No","Yes","Yes","Proprietary","Non-free","2009","UnitedStates",""
"KasperskyLab","KasperskyAnti-VirusforLinux","Yes","Yes","Yes","No","No","No","No","No","No","No","Yes","Yes","Proprietary","Non-free","2012","Russia","BannedbyUSG"
"PandaSecurity","PandaDesktopSecureforLinux","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Proprietary","Non-free","2008","Spain",""
"Sophos","SophosAnti-VirusforLinux","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Proprietary","Non-free","2008","UnitedKingdom","Notforhomeusers,onlyprovidepaidbusinessversionviaresellers."
"Company","Software","On-demandscan","On-accessscan","Heuristics","CloudAV","Firewall","IDS","IPS","Emailsecurity","AntiSpam","Webprotection","Live-Update","Support","License","Price","Firstrelease","Countryoforigin","Notes"
