"Chipseries","Microarchitecture","Fab","SupportedAPIs","SupportedAPIs","SupportedAPIs","SupportedAPIs","SupportedAPIs","AMDsupport","Yearintroduced","Introducedwith"
"Rendering","Computing/ROCm","Rendering","Chipseries","Microarchitecture","Fab","Rendering","AMDsupport","Yearintroduced","Introducedwith","Computing/ROCm"
"Chipseries","Microarchitecture","Fab","Vulkan","AMDsupport","Yearintroduced","Introducedwith","OpenGL","Direct3D","HSA","OpenCL"
"Wonder","Fixed-pipeline","1000nm800nm","N/A","N/A","N/A","N/A","N/A","Ended","1986",""
"Mach","Fixed-pipeline","800nm600nm","N/A","N/A","N/A","N/A","N/A","Ended","1991",""
"3DRage","Fixed-pipeline","500nm","N/A","N/A","5.0","N/A","N/A","Ended","1996","3DRage"
"RagePro","Fixed-pipeline","350nm","N/A","1.1","6.0","N/A","N/A","Ended","1997","RagePro"
"Rage128","Fixed-pipeline","250nm","6.0","N/A","1.2","1998","N/A","N/A","Ended","Rage128GL/VR"
"R100","Fixed-pipeline","180nm150nm","N/A","1.3","7.0","N/A","N/A","Ended","2000","Radeon"
"R200","Programmablepixel&vertexpipelines","1.3","150nm","N/A","8.1","2001","N/A","N/A","Ended","Radeon8500"
"R300","Programmablepixel&vertexpipelines","150nm130nm110nm","2.0","N/A","9.011(FL9_2)","2002","N/A","N/A","Ended","Radeon9700"
"R420","Programmablepixel&vertexpipelines","2.0","130nm110nm","9.0b11(FL9_2)","N/A","2004","RadeonX800","N/A","N/A","Ended"
"R520","Programmablepixel&vertexpipelines","2.0","90nm80nm","9.0c11(FL9_3)","N/A","2005","RadeonX1800","N/A","N/A","Ended"
"R600","TeraScale1","80nm65nm","N/A","3.3","10.011(FL10_0)","N/A","ATIStream","Ended","2007","RadeonHD2900XT"
"RV670","TeraScale1","55nm","3.3","10.111(FL10_1)","N/A","2007","ATIStreamAPP","RadeonHD3850/3870","N/A","Ended"
"RV770","TeraScale1","10.111(FL10_1)","55nm40nm","3.3","1.0","N/A","2008","RadeonHD4850/4870","N/A","Ended"
"Evergreen","TeraScale2","40nm","N/A","4.5(Linux4.2)","11(FL11_0)","N/A","1.2","Ended","2009","RadeonHD5850/5870"
"NorthernIslands","TeraScale2TeraScale3","40nm","4.5(Linux4.2)","11(FL11_0)","1.2","2010","N/A","RadeonHD6850/6870RadeonHD6950/6970","N/A","Ended"
"SouthernIslands","GCN1gen","28nm","1.0","4.6","11(FL11_1)12(FL11_1)","","1.22.0possible","Ended","2012","RadeonHD7950/7970"
"SeaIslands","GCN2gen","28nm","1.2","4.6","11(FL12_0)12(FL12_0)","","2.0(1.2inMacOS,Linux)2.1BetainLinuxROCm2.2possible","2013","RadeonHD7790","Ended"
"VolcanicIslands","GCN3gen","1.2","11(FL12_0)12(FL12_0)","2.0(1.2inMacOS,Linux)2.1BetainLinuxROCm2.2possible","28nm","2014","4.6","RadeonR9285","","Ended"
"Polaris","GCN4gen","1.2","11(FL12_0)12(FL12_0)","2.0(1.2inMacOS,Linux)2.1BetainLinuxROCm2.2possible","14nm","Current","4.6","2016","","RadeonRX480"
"Vega","GCN5gen","1.2","Current","14nm7nm","2.0(1.2inMacOS,Linux)2.1BetainLinuxROCm2.2possible","11(FL12_1)12(FL12_1)","4.6","2017","","RadeonVegaFrontierEdition"
"Navi","RDNA","1.2","11(FL12_1)12(FL12_1)","Current","7nm","2.0(1.2inMacOS,Linux)2.1BetainLinuxROCm2.2possible","2019","4.6","RadeonRX5700(XT)",""
"Navi2X","RDNA2","7nm","1.2","Current","11(FL12_1)12(FL12_2)","2.0(1.2inMacOS,Linux)2.1BetainLinuxROCm2.2possible","2020","4.6","RadeonRX6800(XT)",""
