"","","MSHTML","EdgeHTML","Gecko","WebKit","Blink","KHTML","Presto"
"Operationmode","Progressive","3.0","Yes","Yes","85","Yes","Yes","1.0"
"Operationmode","Baseline","3.0","Yes","Yes","85","Yes","Yes","1.0"
"Operationmode","3.0","Hierarchical","Yes","Yes","85","Yes","Yes","1.0"
"Operationmode","3.0","Lossless","Yes","Yes","85","Yes","Yes","1.0"
