"Name","Windows","MacOSX","Linux","BSD","Android","Price","License","Lateststablerelease","Notes"
"BeyondTV","Yes","No","No","No","No","Discontinued","Proprietary","4.9.3(Build6535)October15,2010;11yearsago(2010-10-15)","NotcompatiblewithDVBtuners.WhileSnapstreamisprovidingminorfixesforBeyondTV,theyarenolongeractivelyupdatinganddevelopingthesoftwareastheyarefocusingoncommercialapplications.Despitethelackofanewversion,theirfanbase(intheforums)remainsactiveandtheprogramisstillavailable.Furtherinformation:Listofdigitaltelevisiondeploymentsbycountry"
"DVBDream","Yes","No","No","No","No","US$49","Proprietary","3.7.1March14,2019;2yearsago(2019-03-14)","FocusedonDVBandliveTV"
"DVBViewer","Yes","No","No","No","No","€20","Proprietary","6.1.5July22,2019;2yearsago(2019-07-22)",""
"Emby(formerlyMediaBrowser)","Yes","Yes","Yes","Yes","Yes(clientonly)","Crippleware","GPL&Proprietary","4.6.7.0November21,2021;3monthsago(2021-11-21)","CompatiblewithSiliconDustHDHomeRuntuners."
"EyeTV","No","Yes","No","No","No","Bundled","Proprietary","3.6.9(build7521)January10,2017;5yearsago(2017-01-10)","BundledfornoextrachargewithallElgatoUSBtuners,butalsosoldseparatelyforusewithothertuners."
"HauppaugeWinTV","Yes","No","No","No","No","Bundled","Proprietary","8.5(build37122)May2,2019;2yearsago(2019-05-02)","Bundledfornoextracharge,onlyworkswithHauppaugeTVcardsandperipherals."
"InterVideoWinDVR","Yes","No","No","No","No","Discontinued","Proprietary","5.2March29,2010;11yearsago(2010-03-29)","Discontinued.UsedtobebundledfornoextrachargewithvariousTVtunerdevices."
"Jellyfin","Yes","Yes","Yes","Yes(unofficially)","Yes(clientonly)","Free","GPL","10.6.0July19,2020;19monthsago(2020-07-19)",""
"JRiverMediaCenter","Yes","Yes","Yes","No","Yes","US$59.98(unlimitedinstallations)","Proprietary","25.0.114October14,2019;2yearsago(2019-10-14)","DirectShowvideoplayer,madVR,LAVfilters,HDaudio,images,10footGUI,Remotecontrol,DLNA,Android/iPhoneinterface,automaticmeta-datalookupforAudio,TVandMovies,fullycustomizabledatabase"
"Kodi(formerlyXBMC)","Yes","Yes","Yes","Yes","Yes","Free","GPL","18.4""Leia""August31,2019;2yearsago(2019-08-31)","Cross-platformfreeandopen-sourcesoftwaremediacenterapplication,abletowatchliveorrecordedTV,music,photosandhasoneofthemostexpansivecollectionofplugins/addons,enablingthesystemtodoanythingfrombrowsingthewebordownloadingmovies,todimmingthelightsinthesittingroom."
"MediaPortal","Yes","No","No","No","No","Free","GPL","MP1:1.23October4,2019;2yearsago(2019-10-04)MP2:2.2.2October7,2019;2yearsago(2019-10-07)","builtonthe.NET2.0Framework"
"MythTV","Limited","Yes","Yes","Yes","No","Free","GPL","31.0March23,2020;23monthsago(2020-03-23)","Underheavydevelopmentsince2002,andnowcontainsmostfeaturesonewouldexpectfromagoodDVR."
"NextPVR","Yes","Yes","Yes","Yes","Yes(clientonly)","Free","Proprietary","5.0.9.201026October26,2020;16monthsago(2020-10-26)","PersonalvideorecorderapplicationforMicrosoftWindows,Linux,MacandDocker.Supportsawidevarietyofdevices,andagoodsetoffeatures.Freeforpersonaluse.Commercialuserequiresalicense."
"SageTV","Yes","Yes","Yes","No","Yes(clientonly)","Free(wasUS$79.95/server,US$29.95/client)","GPL(wasProprietary)","9.2.2May162020","Javabased.SageTVwaspurchasedbyGoogleonJune20,2011andonAugust10,2015itwasannouncedthattheprojectwasconvertingtoopen-sourcedevelopment."
"Showshifter","Yes","No","No","No","No","Discontinued(was£30)","Proprietary","3.12.2945May14,2005;16yearsago(2005-05-14)","SupportssomeolderTechnoTrend/HauppaugeboxeswhicharenotBDAcompliant,suchastheDec2000-t/3000-sandfirstgenerationNova-tUSBboxes,whichareunsupportedbyotherPVRsoftware."
"tvtime","No","No","Yes","No","No","Free","GPL","1.0.2November10,2005;16yearsago(2005-11-10)","HighqualitytelevisionapplicationforusewithvideocapturecardsonLinuxsystems.tvtimeprocessestheinputfromacapturecardanddisplaysitonacomputermonitororprojector"
"VideoDiskRecorder","No","No","Yes","Yes","No","Free","GPL","2.4.1June17,2019;2yearsago(2019-06-17)","TVDoneRight,VDRcanuseonetoeightvideocardsandsupportDVB-S,DVB-CandDVB-T.RecordandreadanyDVBfluxwithalotofplugins."
"WindowsMediaCenter","Yes","No","No","No","No","Windows8/8.1:US$69.99Windows8/8.1Pro:US$9.99WindowsXP/Vista/7:Free","Proprietary","6.3.9600.16384February23,2011;11yearsago(2011-02-23)","IncludedwithWindowsXPMediaCenterEdition,WindowsVistaHomePremiumandUltimateeditionsandWindows7HomePremium,Professional,andUltimateeditions.WasavailableforWindows8ProandWindows8.1ProaspartoftheMediaCenterPackadd-on,untilitwasdiscontinuedonOctober30,2015.AvailableforWindows8,Windows8.1andWindows10unofficiallythroughawindowscommandscriptinstaller.NotavailableforWindowsRT."
"V@Home","Yes","Yes","Yes","No","No","Bundled","Proprietary","2.59April14,2018;3yearsago(2018-04-14)","BundledfornoextrachargewithVBoxHomeTVGateway-NetworkTVTuner,Manageandschedulerecordingsfromanywebbrowser,localorovertheinternet"
