"Name","Hiddencontainers","Pre-bootauthentication","Singlesign-on","Customauthentication","Multiplekeys","Passphrasestrengthening","Hardwareacceleration","TPM","Filesystems","Two-factorauthentication"
"AloahaSecureStick","Yes","No","N/A","Yes","Yes","No","No","No","NTFS,FAT32","Yes"
"ArchiCryptLive","Yes","No","N/A","No","Yes","No","No","No","?","Yes"
"BestCrypt","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","AnysupportedbyOS","Yes"
"BitArmorDataControl","No","Yes","?","No","Yes","Yes","No","No","NTFS,FAT32onnon-systemvolumes","No"
"BitLocker","No","Yes","No","Yes","Yes","Yes","Yes","Yes","ChieflyNTFS","Yes"
"BloombaseStoreSafe","No","No","N/A","Yes","Yes","Yes","Yes","No","AnysupportedbyOS","Yes"
"CGD","No","No","N/A","Yes","Yes","Yes","No","No","AnysupportedbyOS","Yes"
"CenterToolsDriveLock","No","Yes","Yes","No","No","Yes","No","No","AnysupportedbyOS","Yes"
"CheckPointFullDiskEncryption","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","NTFS,FAT32","Yes"
"CipherShed","Yes(limitedtooneper""outer""container)","onlyonWindows","?","No","yeswithmultiplekeyfiles","Yes","Yes","No","OnlyWindowsMBRvolumes;noUEFIGPTdrives,anddynamicdrivesdiscouraged","Yes"
"CryFS","No","No","N/A","No","No","Yes","No","No","AnysupportedbyOS","No"
"CrossCrypt","No","No","N/A","No","No","No","No","No","?","No"
"CryptArchiver","No","No","N/A","No","No","?","No","No","?","?"
"CrypticDisk","Yes","No","No","No","Yes","Yes","Yes","No","AnysupportedbyOS","Yes"
"Cryhod","No","Yes","Yes","No","Yes","Yes","Yes","No","AnysupportedbyOS","Yes"
"Cryptoloop","No","Yes","?","Yes","No","No","Yes","No","AnysupportedbyOS","?"
"Cryptomator","No","No","N/A","No","No","Yes","Yes","No","AnysupportedbyOS","No"
"CryptoProSecureDiskEnterprise","Yeswithadd-onSecureDevice","Yes","Yes","Yes","Yes","Yes","Yes","Yes","AnysupportedbyOS","Yes"
"CryptoProSecureDiskforBitLocker","Yeswithadd-onSecureDevice","Yes","Yes","Yes","Yes","Yes","Yes","Yes","AnysupportedbyOS","Yes"
"Cryptsetup/Dmsetup","No","Yes","?","Yes","No","No","Yes","No","AnysupportedbyOS","Yes"
"DiskCryptor","No","Yes","?","No","No","No","Yes","No","WindowsvolumesonMBRandUEFIGPTdrives,ReFsanyFSsupportedbyOS","Yes"
"DISKProtect","No","Yes","Yes","No","Yes","No","Yes","Yes","NTFS,FAT32","Yes"
"Dm-crypt/LUKS","No","Yes","?","Yes","Yes","Yes","Yes","Partial","AnysupportedbyOS","Yes"
"DriveCrypt","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","AnysupportedbyOS","Yes"
"DriveSentryGoAnywhere2","No","No","N/A","Yes","No","Yes","No","?","AnysupportedbyOS","Yes"
"E4M","No","No","N/A","No","No","?","No","No","?","No"
"e-CapsulePrivateSafe","Yes","No","N/A","No","Yes","No","Yes","No","?","?"
"eCryptfs","No","No","N/A","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"EgoSecureHDDEncryption","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","NTFS,FAT32","Yes"
"EncryptUSB","No","No","No","No","No","Yes","No","No","NTFS,FAT32,exFAT","No"
"FileVault","No","No","N/A","No","Twopasswords","Yes","?","No","HFS+,possiblyothers","No"
"FileVault2","No","Yes","Yes","No","Yes","Yes","Yes","No","HFS+,possiblyothers","No"
"FREECompuSec","No","Yes","?","No","No","No","No","No","AnysupportedbyOS","No"
"FreeOTFE","Yes","No","N/A","Yes","Yes","Yes","Yes","No","AnysupportedbyOS","Yes"
"GBDE","No","No","N/A","Yes","Yes","No","No","No","AnysupportedbyOS","Yes"
"GELI","No","Yes","?","Yes","Yes","Yes","Yes","No","AnysupportedbyOS","Yes"
"Loop-AES","No","Yes","?","Yes","Yes","Yes","Yes","No","AnysupportedbyOS","Yes"
"McAfeeDriveEncryption(SafeBoot)","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","AnysupportedbyOS","Yes"
"n-CryptPro","No","No","N/A","No","No","N/A","No","No","?","?"
"PGPDisk","No","Yes","Yes","?","Yes","Yes","?","Yes","?","Yes"
"PrivateDisk","No","No","N/A","No","Yes","Yes","No","No","AnysupportedbyOS","Yes"
"ProxyCrypt","Yes","No","No","No","No","Yes","Yes","No","AnysupportedbyOS","Yes"
"R-Crypto","?","No","N/A","?","?","?","?","?","AnysupportedbyOS","?"
