"Program","Operatingsystems","License","Costs","Protocols","Codecs","Encryption","Maxconferencepeers","Otherabilities","Latestrelease"
"AudioCodesMobilityPLUS","Windows,Android,iOS","Proprietary","?","SIP,RTP,XMPP,STUN,ICE","G.722wideband,G.711a,G.711u,iLBC,G.729a,SILK,GSM,VP8,H.264,Opus","TLS,SRTP","Unknown","Voice,video,IM,Groupchat,contentsharing,SMSandMMSoverIPservices,nativeandsocialnetworkcontactsintegration,incomingcall/IMpushnotifications.","2014;8yearsago(2014)"
"AvayaApplicationServer5300SoftClient","Windows","Proprietary","?","SIP,RTP","Unknown","TLS,SRTP","Unknown","","2.0;2010;12yearsago(2010)"
"Blink","Linux,macOS,Windows","Mixed:freesoftwareversionsunderGNUGPLv3+sharewareversionsundergplv3withexceptionofincludingproprietarycode","macOSversionproprietaryonAppStore,freeversionlimitedtosponsoredSIPprovider;Windowsversionproprietary;Linuxversionopensource","ICE,SIP,MSRP,RFB(VNC),XCAP","Opus,speex,G.722,GSM,iLBC,PCMU,PCMA","TLS,SRTPandZRTPonallversions,OTR/SMPonLinuxandmacOSonly","Nolimit","IM,filetransfer,desktopsharing,multi-partyconference,wideband","BlinkQt"
"CSipSimple","Android","GPL","Free","SIP,ICE,STUN,TURN","Opus,AMR,G.711(u-law/a-law),speex,G.722,GSM,iLBC,G.729(needtobuyalicensedplugin),iSAC,SILK(narrow-band/wide-band/ultrawide-band)","SRTP,SIPoverTLS1.0andZRTP","Unknown","SIPSIMPLEmessaging,SupportforIPv6,IntegrationwithAndroidoperatingsystemwithfiltersandrewritingrules","1.0.2;November2014;7yearsago(2014-11)"
"CiscoIPCommunicator","Windows","Proprietary","Free(forCiscoSMBPartnersonly)","SCCP(Skinny),SIP,TFTP,HTTP(forXMLServices)","G.722wideband,G.711a,G.711u,iLBC,iSAC,G.729a,G.729ab","SRTP","Nolimit(withbridge),2otherwise","CallRecording,SilentMonitoring,Multiplelinesanddirectorynumbers,Configurablespeeddial,Callingnameandnumberdisplay,CallWaiting,CallForward,CallTransfer,Three-WayCalling(conference),CallPark,CallPickup,Redial,Hold,Barge,Callback,ExtensionMobility,Messagewaitingindicator,iDivert,MeetMeconferencing,GroupPickup,DoNotDisturb,XMLServices","8.6.6;April27,2016;5yearsago(2016-04-27)"
"Discord","macOS,Android,iOS,Windows,Linux","Proprietary","Free,Premium""Nitro""SubscriptionforAdditionalFeatures.","RTP,UDP,WS,HTTPS","Opus","TLS","5000softlimitforvoicecalls,25hardlimitforvideo","IM,filesharing,in-gameoverlay","59746;April24,2020;22monthsago(2020-04-24)"
"Ekiga","Linux,Windows,OpenSolaris","GPL-2.0-or-later","Free","SIP,H.323,STUN,Zeroconf,XMPP,RTP","H.263,H.264/MPEG-4AVC,Theora,iLBC,Speex,SILK,GSM,...","No","Unknown","Video,IM,LDAP,CallForwarding,CallTransfer,Auto-answering,PCtophone,phonetoPC,Multipleaccounts,USPsupport,Messagewaitingindicator,SIMPLE-basedpresenceetc.","4.0.1(February21,2013;9yearsago(2013-02-21))[�]"
"Empathy","Linux","GPL-2.0-or-later","Free","SIP,XMPP(Jingle),ICE(STUN-TURN),Zeroconf","Unknown","No","Unknown","IM,multi-userA/V,collaborativeapplications","3.12.12(May13,2016;5yearsago(2016-05-13))[�]"
"EyeballChat","Windows","Proprietary","Free","SIP,STUN,ICE,XMPP","Unknown","Yes","5","IM,Conferencing,Voice,VideoandSIMPLEbasedpresence","Windows3.2;2009;13yearsago(2009)"
"eyeBeam","Windows","Proprietary","?","SIP-SIMPLE","Unknown","TLS,SRTP","6partyaudio;3partyvideo","VoiceandVideocalling;IM;ImportMicrosoftOutlookContacts;USBSupport;CallRecordingandConferencing","1.5.20.1;March2010;12yearsago(2010-03)"
