"Model","Launch","ModelNumber","Codename","Fab(nm)","Businterface","Coreclock(MHz)","Memoryclock(MHz)","Coreconfig","Fillrate","Memory","APIcompliance(version)","Memory","Memory","Fillrate","Memory","APIcompliance(version)","Notes"
"Model","Launch","ModelNumber","Codename","Fab(nm)","Businterface","Coreclock(MHz)","Memoryclock(MHz)","Coreconfig","Pixel(GP/s)","Texture(GT/s)","Size(MB)","Notes","Bandwidth(GB/s)","Bustype","Buswidth(bit)","Direct3D","OpenGL"
"MobilityRadeon7000","Feb2001","M6","RV100","180","AGP4x","144167","144183","0:1:3:1","0.167","0.5","81632","1.4642.928","SDRDDR","3264","7","1.3",""
"MobilityRadeon7500","Dec2001","M7","RV200","150","AGP4x","280","200","1:2:6:2","0.56","1.68","3264","3.26.4","DDR","64128","7","1.3","PowerPlayII,DX7T&L"
"MobilityRadeon9000","Aug2002","M9","RV250","150","250","200","AGP4x","1:4:4:4","1.0","3264","3.26.4","DDR","64128","1.0","8.1","1.4","PowerPlay3.0,Fullstream"
"MobilityRadeon9200","Mar2003","M9+","RV280","150","1:4:4:4","1.0","1.0","8.1","1.4","PowerPlay3.0,Fullstream","AGP8x","250/250","200/220","3.2/3.526.4/7.04","3264","DDR","64128"
"MobilityRadeon9500","2004?","M11","RV360","AGP8x","130","Unknown","Unknown","2:4:4:4","Unknown","Unknown","64","Unknown","DDR","64128","9.0","2.0",""
"MobilityRadeon9550","2005","M12","RV360","130","210","AGP8x","2:4:4:4","183","0.84","64","0.84","9.0","2.0","","2.9285.856","DDR","64128"
"MobilityRadeon9600","Mar2003","M10,M11","RV350","130","AGP8x","300","2:4:4:4","300","1.2","1.2","64128","9.0","2.0","","4.89.6","DDR","64128"
"MobilityRadeon9600Pro","2004","M10","RV350","350","130","AGP8x","350","2:4:4:4","1.4","1.4","128","11.2","9.0","2.0","","128","DDR"
"MobilityRadeon9700","Feb2004","M11","RV360","130","AGP8x","450","128","2:4:4:4","128","275","1.8","1.8","8.8","9.0","2.0","","DDR"
"MobilityRadeon9800","Sep2004","M18","R420","130","AGP8x","350","300","4:8:8:8","2.8","2.8","256","9.0","2.0","","19.2","256","DDR"
