"DatasetName","Briefdescription","Preprocessing","Instances","Format","DefaultTask","Created(updated)","Reference","Creator"
"VolcanoesoftheWorld","Volcaniceruptiondataforallknownvolcaniceventsonearth.","Detailssuchasregion,subregion,tectonicsetting,dominantrocktypearegiven.","1535","Text","Regression,classification","2013","","E.Venzkeetal."
"Seismic-bumpsDataset","Seismicactivitiesfromacoalmine.","Seismicactivitywasclassifiedashazardousornot.","2584","Text","Classification","2013","","M.Sikoraetal."
"CAMELS-US","Catchmenthydrologydatasetwithhydrometeorologicaltimeseriesandvariousattributes","seeReference","671","CSV,Text,Shapefile","Regression","2017","","N.Addoretal./A.Newmanetal."
"CAMELS-Chile","Catchmenthydrologydatasetwithhydrometeorologicaltimeseriesandvariousattributes","seeReference","516","CSV,Text,Shapefile","Regression","2018","","C.Alvarez-Garretonetal."
"CAMELS-Brazil","Catchmenthydrologydatasetwithhydrometeorologicaltimeseriesandvariousattributes","seeReference","897","CSV,Text,Shapefile","Regression","2020","","V.Chagasetal."
"CAMELS-GB","Catchmenthydrologydatasetwithhydrometeorologicaltimeseriesandvariousattributes","seeReference","671","CSV,Text,Shapefile","Regression","2020","","G.Coxonetal."
"CAMELS-Australia","Catchmenthydrologydatasetwithhydrometeorologicaltimeseriesandvariousattributes","seeReference","222","CSV,Text,Shapefile","Regression","2021","","K.Fowleretal."
"LamaH-CE","Catchmenthydrologydatasetwithhydrometeorologicaltimeseriesandvariousattributes","seeReference","859","CSV,Text,Shapefile","Regression","2021","","C.Klingleretal."
