"Name","Inversesearch","DDEsupport","OrganisesProjects","Menuforinsertingsymbols","Documentcomparison","Spell-checking","Multipleundo-redo"
"AUCTeX","Yes","No","Partial(masterfile)","Yes","Yes","Yes","Yes"
"Authorea","Yes","N/A","Yes","No","No","Yes","Yes"
"Auto-LatexEquationsforGoogleDocs","Yes","N/A","Yes","No","No","Yes","Yes"
"CoCalc","Yes","N/A","No","No","No","Yes","Yes"
"GNOMELaTeX","Yes","N/A","Yes","Yes","No","Yes","Yes"
"Gummi","Yes","N/A","Yes","No","No","Yes","Yes"
"Kile","Yes","No","Yes","Yes","No","Yes","Yes"
"LEd","Yes","?","Yes","Yes","No","Yes","Yes"
"LyX","Yes","?","No","Yes","Yes","Yes","Yes"
"MeWa","No","No","No","Yes","No","Yes","Yes"
"Notepad++","Yes,withSumatraPDF","Yes,withaDDEclient","Yes","Partial","Yes","Yes","Yes"
"Overleaf","Yes","No","Yes","No","Yes","Yes","Yes"
"ScientificWorkPlace","N/A","?","?","Yes","No","Yes","No(onelevel)"
"TexLab","Yes","N/A","Yes","Yes","No","Yes","Yes"
"TeXmacs","N/A","Yes","Partial(showsdocumentparts)","Yes","Partial(forownformatonly)","Yes","Yes"
"Texmaker","Yes","No","Partial(masterfile)","Yes","No","Yes","Yes"
"TeXnicCenter","Yes","Yes","Yes","Yes","No","Yes","Yes"
"TeXShop","Yes","No","No","Yes","No","Yes","Yes"
"TeXstudio","Yes","Yes","Partial(masterfile)","Yes","Yes","Yes","Yes"
"TeXworks","Yes","No","No","No","No","Yes","Yes"
"Verbosus","No","No","Yes","Yes","No","No","Yes"
"VisualStudioCode","Yes","?","Yes","Yes","Yes","Yes","Yes"
"WinEdt","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"WinShell","Yes","No","Yes","Yes","No","Yes","Yes"
"Name","Inversesearch","DDESupport","OrganisesProjects","Menuforinsertingsymbols","Documentcomparison","Spell-checking","Multipleundo-redo"
