"YouTubeDownloader","MP3","MPEG4","WMV","AVI","FLV","OggTheora","OggVorbis","Matroska","3GP","SWF","Specialdeviceprofiles(e.g.iPhone)","M4A","WebM"
"4KDownload","Yes","Yes","No","No","Yes","Yes","Yes","Yes","Yes","No","Yes","?","?"
"ClipGrab","Yes","Yes","Yes","No","No","Yes","Yes","No","No","No","No","?","?"
"Airy","Yes","Yes","No","No","No","No","No","No","No","No","No","?","?"
"FreeStudio","Yes","Yes","Yes","Yes","Yes","No","No","No","Yes","Yes","Yes","?","?"
"JDownloader","Yes","Yes","No","No","Yes","No","No","No","No","No","No","?","?"
"VideoDownloadHelper","Yes","Yes","Yes","Yes","Yes","?","?","?","?","?","?","?","?"
"FreemakeVideoDownloader","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"NewPipe","No","Yes","No","No","No","Yes","Yes","Yes","No","No","No","Yes","Yes"
"youtube-dl","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes","Yes"
