"Name","Firstpublicreleasedate","Creator","Ownerormaintainerasof2021","License"
"86-DOS0.42","1981-02-25","SeattleComputerProducts","Supportended","Proprietary"
"86-DOS1.00","1981-04-28","SeattleComputerProducts","Supportended","Proprietary"
"PCDOS1.0","1981-08-12","Microsoft(forIBM)","Supportended","Proprietary"
"PCDOS1.1","1982-05-??","Microsoft(forIBM)","Supportended","Proprietary"
"PCDOS2.0","1983-03-??","Microsoft(forIBM)","Supportended","Proprietary"
"PCDOS2.1","1983-10-??","Microsoft(forIBM)","Supportended","Proprietary"
"PCDOS3.0","1984-08-??","Microsoft(forIBM)","Supportended","Proprietary"
"PCDOS3.1","1985","Microsoft(forIBM)","Supportended","Proprietary"
"PCDOS3.2","1986","Microsoft(forIBM)","Supportended","Proprietary"
"PCDOS3.3","1987","Microsoft(forIBM)","Supportended","Proprietary"
"IBMDOS4.0(calledPCDOS4.0)","1988","Microsoft(forIBM)","Supportended","Proprietary"
"IBMDOS5.0(calledPCDOS5.0)","1991","Microsoft(forIBM)","Supportended","Proprietary"
"PCDOS6.1,PCDOS6.3","1993","Microsoft(forIBM)","Supportended","Proprietary"
"PCDOS7.0(revision0)","1995","Microsoft(forIBM)","Supportended","Proprietary"
"PCDOS2000(PCDOS7.0revision1)","1998","Microsoft(forIBM)","Supportended","Proprietary"
"PCDOS7.10","2003","Microsoft(forIBM)","SupportendedbyIBM","Proprietary"
"MS-DOS1.25(firstversionnamed""MS-DOS"")","1982","Microsoft","Supportended","Opensource,MITLicense"
"Z-DOS1.25","1982-05-??","OEMZenithDataSystems","Supportended","Proprietary"
"MS-DOS2.0","1983-03-??","Microsoft","Supportended","Opensource,MITLicense"
"MS-DOS2.11","1983-12-??","Microsoft","Proprietary","Supportended"
"MS-DOS3.0","1984","Proprietary","Microsoft","Supportended"
"MS-DOS3.1","1984","Supportended","Proprietary","Microsoft"
"MS-DOS3.2","1986","Proprietary","Microsoft","Supportended"
"MS-DOS3.3","1987","Proprietary","Microsoft","Supportended"
"MS-DOS4.0","1988","Proprietary","Microsoft","Supportended"
"MS-DOS5.0","1991","Proprietary","Microsoft","Supportended"
"MS-DOS6.0","1993","Proprietary","Microsoft","Supportended"
"MS-DOS6.20","1993","Supportended","Proprietary","Microsoft"
"MS-DOS6.21","March1994","Proprietary","Microsoft","Supportended"
"MS-DOS6.22","April1994","Proprietary","Microsoft","Supportended"
"MS-DOS7.0(Windows95A)","1995","Proprietary","Microsoft","Supportended"
"MS-DOS7.10(Windows95OSRs2and2.5,98,98SE)","1996","Proprietary","Microsoft","Supportended"
"MS-DOS8.0(WindowsMEandlater)","2000","Proprietary","Microsoft","SupportendedbyMicrosoft"
"DOSPlus1.1,1.2/1.2a","1985","Proprietary","DigitalResearch","Supportended"
"DOSPlus2.1","1986","DigitalResearch","Supportended","Proprietary"
"DRDOS3.31-3.35","1988","DigitalResearch","Supportended","Proprietary"
"DRDOS3.40-3.41","1989","DigitalResearch","Supportended","Proprietary"
"DRDOS5.0","1990","DigitalResearch","Supportended","Proprietary"
"DRDOS6.0","1991","DigitalResearch","Supportended","Proprietary"
"NovellDOS7","1993","Proprietary","Supportended","Novell"
"CalderaOpenDOS7.01","1997","Caldera,Inc.;CalderaUK,Ltd.","Supportendedofficially;aderivative,EnhancedDR-DOS,wasmaintainedbyUdoKuhntuntil2011","Partial,freenon-commercialuse"
"CalderaDR-OpenDOS7.02","1997","Caldera,Inc.;CalderaUK,Ltd.","Supportended","Partial,freenon-commercialuse"
"CalderaDR-DOS7.02","Supportended","1998","Caldera,Inc.;CalderaUK,Ltd.","Proprietary"
"CalderaDR-DOS7.03","1999,1998prereleased","Proprietary","CalderaThinClients,Inc.;CalderaUK,Ltd;Lineo,Inc.","DRDOS,Inc."
"DR-DOS8.0","2004","Proprietary","DeviceLogics","Supportended"
"DR-DOS8.1","2005","Proprietary","Supportended","DRDOS,Inc."
"FreeDOS1.0","2006-09-03","JimHall,etal.","TheFreeDOSProject","Opensource,GPL"
"FreeDOS1.1","2012-01-02","JimHall,etal.","TheFreeDOSProject","Opensource,GPL"
"FreeDOS1.2","2016-12-25","JimHall,etal.","TheFreeDOSProject","Opensource,GPL"
"PTS-DOS6.4","1993","PhysTechSoft","PhysTechSoft","Proprietary"
"PTS-DOS6.5","?","PhysTechSoft","PhysTechSoft","Proprietary"
"PTS-DOS6.6","?","PhysTechSoft","PhysTechSoft","Proprietary"
"PTS-DOS2000(6.7)","?","PhysTechSoft","PhysTechSoft","Proprietary"
"PTS-DOS32(7.0)","?","PhysTechSoft","PhysTechSoft","Proprietary"
"PTS-DOS6.51","ca.1995","ParagonTechnologySystems","ParagonTechnologySystems","Proprietary"
"ParagonDOS2000Pro","?","ParagonTechnologySystems","ParagonTechnologySystems","Proprietary"
"ROM-DOS6.22","?","Datalight","Datalight","Proprietary"
"ROM-DOS7.1","Datalight","Datalight","?","Proprietary"
"EmbeddedDOS","?","GeneralSoftware","GeneralSoftware","Proprietary"
"DIPDOS2.11","1989","DIPResearch,AtariCorporation","Supportended","Proprietary"
"RxDOS","1994","MichaelPodanoffsky","Supportended","Opensource,GPL"
"SISNEplus","?","Itautec,ScopusTecnologia","Supportended","Proprietary"
