"Publication","Score"
"AllGame","(NES)(GG)(SNES)"
"AmstradAction","Amstrad:97%"
"Crash","Spectrum:91%"
"CVG","MasterSystem:92%"
"EGM","Lynx:6.8/10CD-i:6.25/10"
"Famitsu","SuperFamicom:35/40"
"IGN","Lynx:9/10"
"NextGeneration","3DO:"
"YourSinclair","Spectrum:91%"
"MegaTech","MegaDrive:92%"
"Mega","MegaDrive:90%"
"CommodoreForce","C64:97%"
