"Editor","Site","Latestversion","Style,cloneof","Cost(US$)","Softwarelicense","Opensource","Browsersupport","Activity"
"Ace","Home,demo","v1.4.12,2020-7","SublimeText/MicrosoftVisualStudio","Free","NewBSDLicense","Yes","Firefox3.5+,Safari4+,Chrome,IE8+,Opera11.5+","Yes"
"Atom","Home","v1.50.0-beta0,2020-07-14","Emacs,Vimandothers","Free","Dual","Yes","Chrome","Yes"
"CodeMirror","Home,demo","5.59.1,2020-12-31","plaintextarea","Free","MIT-like","Yes","Firefox3+,Chrome,Safari3+,InternetExplorer8+,Opera9+","Yes"
"CodeJar","Home,demo","1.0.2,2020-04-05","plaintextarea","Free","MIT","Yes","Firefox3+,Chrome,Safari3+,InternetExplorer8+,Opera9+","Yes"
"Codeanywhere","Home","6.0","SublimeText","-","PublicCloud","No","Firefox3+,Chrome,Safari3+,InternetExplorer8+,Opera9+","Yes"
"CodenvyEditor","Home","2.10.17,2014-01-17","Eclipse","-","PublicCloud","Yes","Firefox3+,Chrome,Safari3+,InternetExplorer8+,Opera9+","Yes"
"Orion","Home","22.0,2020-04-03.","EclipseSWTStyledText,regulartextarea","Free","dual-licensed:BSD3-clauseandEPL","Yes","Firefox37+,Chrome40+,Safari7+,InternetExplorer11+","Yes"
"Monaco(VisualStudioCode)","Home,demo","0.31.1,2021-12-14","VisualStudioCode","Free","MIT","Yes","IE8+,Firefox4+,Chrome","Yes"
"Markitup","Home,demo","1.1.14,2013-02-04","Markupeditor,nosyntaxhighlight","Free","MIT,GPL","Yes","IE6&7,Firefox2&3,Safari3.1,Opera9+","Some"
"LDT","Home","2012-02-19","regulartextarea","Free","MIT,GPL","Yes","Firefox3.6+,IE8,Chromium16,Midori4.1,Opera11,Epiphany","Some"
"Ymacs","Home,demo","0.5,2012-03-28","Emacs","Free","BSD","Yes","Firefox,Chrome,Safari","Some"
"CodePress","Home","0.9.6,2007-09-26","MicrosoftVisualStudio","Free","LGPL","Yes","?","No"
"CodeTextArea","Home,demo","2009-06","MicrosoftVisualStudio","Free","BSD","Yes","Dojowidget","No"
"EditArea","Home,demo","0.8.2,2010-01-14","MicrosoftVisualStudio","Free","LGPL","Yes","IE6+,Firefox1.5+,Safari3+,Opera9+,Chrome","No"
"Helene","Home,demo","0.9,unknownreleasedate","MicrosoftVisualStudio","Free","GPL","Yes","","No"
"9ne","Home","?","Emacs","Free","GPL","Yes","","No"
"jsvi","Home","?","vi","Free","GPL","Yes","","No"
"MDK-Editor","Home","2.10,2008","MicrosoftVisualStudio","Dependsonuse","Dual","Codeisreadable","testedtoworkon:IE6,7-Firefox2,3-Chrome","Yes"
"Micro","Home","2013","nano","Free","GPL","Yes","","Some"
