"","MSHTML","Gecko","WebKit","KHTML","Presto"
"Images","Images","Images","Images","Images","Images"
"img","<3.1","1.0","Yes","Yes","1.0"
"Genericinclusion","Genericinclusion","Genericinclusion","Genericinclusion","Genericinclusion","Genericinclusion"
"object","4.0","1.0","Yes","Yes","1.0"
"param","<3.1","1.0","Yes","Yes","1.0"
"Imagemaps","Imagemaps","Imagemaps","Imagemaps","Imagemaps","Imagemaps"
"map","<3.1","1.0","Yes","Yes","1.0"
"area","5.0","1.0","Yes","Yes","1.0"
