"Cameramodel","Cameraline","Manufacturer","Introduced","Weight","MOS/sync","Lensmount"
"7LTR(Super16)","AatonLTR","Aaton","1974","","Sync","Aatonuniversal"
"54LTR","AatonLTR","Aaton","1982","","Sync","Aatonuniversal"
"Arriflex16HSR2(Super16)","Arriflex16SR","Arri","1982","11.02lb(5.00kg),withemptymagazine","Sync","Arribayonet(ArriPLforsomelatermodels)"
"Arriflex16SR2(Super16)","Arriflex16SR","Arri","1982","11.02lb(5.00kg),withemptymagazine","Sync","Arribayonet(ArriPLforsomelatermodels)"
"Panaflex16(""TheElaine"")","Panaflex16","Panavision","June27,1984","16.6lb(7.5kg),witheyepiece","Sync","PVmount"
"XTR","AatonXTR","Aaton","1984","","Sync","Aatonuniversal"
"Arriflex16HSR3","Arriflex16SR","Arri","1992","14.5lb(6.6kg)","Sync","ArriPL"
"Arriflex16SR3","Arriflex16SR","Arri","1992","14.5lb(6.6kg)","Sync","ArriPL"
"X0plus","AatonXTR","Aaton","1992","","Sync","Aatonuniversal"
"XTRplus","AatonXTR","Aaton","1992","","Sync","Aatonuniversal"
"XTRprod","AatonXTR","Aaton","1994","13lb(5.9kg),withonboardbatteryandfullmagazine","Sync","ArriPL,Aatonuniversal,orPVmount"
"A-Minima","A-Minima","Aaton","2000","5lb(2.3kg),withonboardbatteryandfullmagazine","Sync","ArriPLandNikon"
"Arriflex416","Arriflex416","Arri","2006","12.1lb(5.5kg),withfullmagazine","Sync","ArriPL"
"Arriflex416Plus","Arriflex416","Arri","2006","12.6lb(5.7kg),withfullmagazine","Sync","ArriPL"
"Xtera","AatonXTR","Aaton","2006","","Sync","ArriPL,Aatonuniversal,orPVmount"
