"","Creator","Language","Firstpublicrelease","Lateststableversion","Sourcecodeavailability","License","Notes"
"ALGLIB","ALGLIBProject","C++,C#,FreePascal,VBA","2006","3.12.0/08.2017","Free","GPL/commercial","GeneralpurposenumericalanalysislibrarywithC++andC#interfaces."
"Armadillo","NICTA","C++","2009","9.200/10.2018","Free","ApacheLicense2.0","C++templatelibraryforlinearalgebra;includesvariousdecompositionsandfactorisations;syntax(API)issimilartoMATLAB."
"ATLAS","R.ClintWhaleyetal.","C","2001","3.10.3/07.2016","Free","BSD","AutomaticallytunedimplementationofBLAS.AlsoincludesLUandCholeskydecompositions."
"Blaze","K.Iglbergeretal.","C++","2012","3.8/08.2020","Free","BSD","Blazeisanopen-source,high-performanceC++mathlibraryfordenseandsparsearithmetic."
"Blitz++","ToddVeldhuizen","C++","?","1.0.2/10.2019","Free","GPL","Blitz++isaC++templateclasslibrarythatprovideshigh-performancemultidimensionalarraycontainersforscientificcomputing."
"BoostuBLAS","J.Walter,M.Koch","C++","2000","1.70.0/04.2019","Free","BoostSoftwareLicense","uBLASisaC++templateclasslibrarythatprovidesBLASlevel1,2,3functionalityfordense,packedandsparsematrices."
"Dlib","DavisE.King","C++","2006","19.7/09/2017","Free","Boost","C++templatelibrary;bindstooptimizedBLASsuchastheIntelMKL;Includesmatrixdecompositions,non-linearsolvers,andmachinelearningtooling"
"Eigen","BenoîtJacob","C++","2008","3.3.9/12.2020","Free","MPL2","EigenisaC++templatelibraryforlinearalgebra:matrices,vectors,numericalsolvers,andrelatedalgorithms."
"Fastor","R.Poya,A.J.GilandR.Ortigosa","C++","2016","0.6.3/06.2020","Free","MITLicense","Fastorisahighperformancetensor(fixedmulti-dimensionalarray)libraryformodernC++."
"GNUScientificLibrary","GNUProject","C,C++","1996","2.5/06.2018","Free","GPL","Generalpurposenumericalanalysislibrary.Includessomesupportforlinearalgebra."
"IMSLNumericalLibraries","RogueWaveSoftware","C,Java,C#,Fortran,Python","1970","manycomponents","Non-free","Proprietary","Generalpurposenumericalanalysislibrary."
"LAPACK","","Fortran","1992","3.9.0/11.2019","Free","3-clauseBSD","Numericallinearalgebralibrarywithlonghistory"
"librsb","MicheleMartone","C,Fortran,M4","2011","1.2/September2016","Free","GPL","High-performancemulti-threadedprimitivesforlargesparsematrices.Supportoperationsforiterativesolvers:multiplication,triangularsolve,scaling,matrixI/O,matrixrendering.Manyvariants:e.g.:symmetric,hermitian,complex,quadrupleprecision."
"oneMKL","Intel","C++,Fortran","2003","2022.0update1/01.2022","Non-free","IntelSimplifiedSoftwareLicense","NumericalanalysislibraryoptimizedforIntelCPUs"
"Math.NETNumerics","C.Rüegg,M.Cuda,etal.","C#","2009","3.20/07.2017","Free","MITLicense","C#numericalanalysislibrarywithlinearalgebrasupport"
"MatrixTemplateLibrary","JeremySiek,PeterGottschling,AndrewLumsdaine,etal","C++","1998","4.0/2018","Free","BoostSoftwareLicense","High-performanceC++linearalgebralibrarybasedonGenericprogramming"
"NAGNumericalLibrary","TheNumericalAlgorithmsGroup","C,Fortran","1971","manycomponents","Non-free","Proprietary","Generalpurposenumericalanalysislibrary."
"NMath","CenterSpaceSoftware","C#","2003","7.1/December2019","Non-free","Proprietary","Mathandstatisticallibrariesforthe.NETFramework"
"SciPy","Enthought","Python","2001","1.0.0/10.2017","Free","BSD","BasedonPython"
"Xtensor","S.Corlay,W.Vollprecht,J.Mabilleetal.","C++","2016","0.21.10/11.2020","Free","3-clauseBSD","XtensorisaC++librarymeantfornumericalanalysiswithmulti-dimensionalarrayexpressions,broadcastingandlazycomputing."
