"","Language","License","Mutualauth","Encryption","Verifymode","Agent-less","HasaGUI","Firstrelease","Lateststablerelease"
"Ansible","Python","GPLv3+","Yes","Yes","Yes","Yes","Yes","2012-03-08","2020-03-052.9.6"
"Bcfg2","Python","BSD2-clause","Yes","Yes","Yes","No","Yes","2004-08-11","2015-06-111.3.6"
"Capistrano","Ruby","MITLicense","","Yes","","Yes","No","2005","2017-03-084.4.2"
"cdist","Python","GPLv3+","Yes","Yes","","Yes","","2010","2021-08-246.9.8"
"Chef","Ruby,Erlang","Apache2.0","Yes","Yes","Yes","No","Yes","2009-01-150.5.0","2019-01-2814.10.9(client),2018-02-1312.17.33(server)"
"CFEngine","C","GPLv3","Yes","Yes","Yes","No","Yes","1993","2021-12-103.19.0,2021-11-293.18.1,2021-11-293.15.5,"
"ISconf","Python","GPL","Yes","No","","","","1998","2006-08-134.2.8.233"
"Juju","Python,Go","AfferoGeneralPublicLicense","Yes","Yes","No","No","Yes","2010-09-17","2021-06-232.9.5"
"LocalConFiGurationsystem(LCFG)","Perl","GPL","Partial","Partial","No","No","No","1994","WeeklyReleases"
"NOC","Python","BSDLicense2.0","Yes","Yes","Yes","Yes","Yes","2012-03-08","2015-05-2015.05.1"
"OCSInventoryNGwithGLPI","Perl,PHP,C++","GPL","No","Yes","","No","","2003","2014-07-13"
"Openpcserverintegration(Opsi)","Python,Java","GPL","No","Yes","","No","","2004","2013-03-014.0.3"
"PIKT","C","GPLv2+","Yes","Yes","","No","","1998","2007-09-101.19.0"
"Puppet","Ruby,C++&Clojure(server-sidealsoRubybefore4.0)","Apachesince2.7.0,GPLbeforethen","Yes","Yes","Yes","No","Yes","2005-08-30","2020-06-036.16.0(client),2020-06-036.12.0(server)"
"Quattor","Perl,Python","Apache2.0","Yes","Yes","","","","2005-04-01","2018-07-318.6.0"
"Radmind","C","BSD","Yes","Yes","","No","","2002-03-26","2008-10-081.13.0"
"Rex","Perl","Apache","Yes","Yes","","Yes","","2010-11-050.9.0","2017-12-031.6.0"
"Rudder","C,ScalaandRust","GPLv3andApache2.0","Yes","Yes","Yes","No","Yes","2011-10-31","2020-10-285.0.20"
"SmartFrog","Java","LGPL","Yes","Yes","","No","","2004-02-11","2009-01-263.16.004"
"Salt","Python","Apache2.0","Yes","Yes","Yes","Both","Yes","2011-03-170.6.0","2021-03-31v3003"
"Spacewalk","Java(C,Perl,Python,PL/SQL)","GPLv2","Yes","Yes","","No","","2008-06","2019-01-142.9"
"STAF","C++","CPL","No","Partial","","No","","1998-02-16","2012-12-163.4.16"
"Synctool","Python","GPLv2","Yes","Yes","Yes","Yes","","2003","2019-08-116.3"
"Uyuni","Java,Python,PL/SQL(Perl)","GPLv2/Apache2.0","Yes","Yes","Yes","Both","Yes","2018-06","2020-11-262020.11"
"","Language","License","Mutualauth","Encrypts","Verifymode","Agent-less","HaveaGUI","Firstrelease","Lateststablerelease"
