"LibraryName","License","Free","SupportedChartTypes","SupportedChartTypes","SupportedChartTypes","SupportedChartTypes","SupportedChartTypes","SupportedChartTypes","SupportedChartTypes","SupportedChartTypes","SupportedChartTypes","SupportedChartTypes","SupportedChartTypes","SupportedChartTypes","SupportedChartTypes","SupportedBarChartTypes","SupportedBarChartTypes","SupportedBarChartTypes","SupportedBarChartTypes","SupportedBarChartTypes","OtherFeatures","OtherFeatures","Interactivity","Interactivity","RenderingTechnologies","RenderingTechnologies","RenderingTechnologies","Databinding","HTML5Canvas"
"ChartBuilderByLivegap","Free","Yes","Yes","No","No","Yes","Yes","Yes","No","Yes","No","No","No","No","","Yes","Yes","No","Yes","","Yes","","Yes","Yes","Yes","No","No","",""
"Charts4PHP","Proprietary","Freebasicedition","No","No","Yes","Yes","Yes","No","No","No","No","No","No","Yes","","No","No","Yes","","Yes","Yes","","Yes","Yes","No","No","","",""
"Cytoscape.js","MIT","Yes","No","No","No","No","No","No","No","No","No","No","Yes","No","","No","No","No","No","","No","","Yes","Yes","Yes","No","No","Yes",""
"D3.js,formerlyProtovis","BSD-3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","","Yes","","Yes","Yes","No","Yes","No","Yes",""
"dc","Apache2.0","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","No","No","No","No","Yes","","Yes","No","No","No","","No","","Yes","Yes","No","Yes","No","",""
"DevExtreme","Proprietary","Non-commercialorcommercial","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","","Yes","Yes","Yes","Yes","No","Yes","","Yes","Yes","Yes","Yes","No","Yes",""
"DHTMLXCharts","GPL","Yes","Yes","No","Yes","Yes","Yes","Yes","No","Yes","No","Yes","No","Yes","","Yes","Yes","No","Yes","","Yes","","Yes","Yes","Yes","No","Yes","",""
"dimple","MIT","Yes","Yes","No","Yes","Yes","Yes","Yes","No","No","No","No","No","Yes","","Yes","Yes","Yes","Yes","","Yes","","Yes","Yes","No","Yes","No","Yes",""
"DojoCharting","BSDorAFL","Yes","Yes","No","Yes","Yes","Yes","No","No","No","No","No","No","Yes","","Yes","Yes","No","Yes","","Yes","","Yes","Yes","Yes","Yes","Yes","",""
"Dygraphs","MIT","Yes","Yes","Yes","No","Yes","No","No","No","No","No","No","No","Yes","","Yes","Yes","Yes","Yes","","Yes","","Yes","Yes","Yes","No","No","",""
"Echarts","BSD-3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","No","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","No","Yes",""
"FactmintCharts","Proprietary","Non-commercialorcommercial","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","","Yes","Yes","Yes","","Yes","Yes","","Yes","No","Yes","No","","",""
"FlotCharts","MIT","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","No","","Yes","No","No","No","","Yes","","Yes","Yes","Yes","No","No","",""
"Flotr2","MIT","Yes","Yes","No","Yes","No","Yes","No","No","Yes","No","No","No","Yes","","Yes","Yes","No","Yes","","Yes","","Yes","Yes","Yes","No","No","",""
"FrappeCharts","MIT","Yes","Yes","No","Yes","Yes","Yes","Yes","No","No","No","No","No","No","","Yes","No","No","No","No","Yes","","Yes","Yes","No","Yes","No","Yes",""
"FusionCharts","Proprietary","Freeforpersonalandnon-commercialuses.Paidforcommercialapplications.","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","","Yes","Yes","","Yes","No","Yes","Yes","","",""
"GoogleCharts","Free","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes",""
"gRaphael","MIT","Yes","Yes","No","Yes","No","Yes","No","No","No","No","No","No","Yes","","Yes","No","No","Yes","","Yes","","Yes","No","No","Yes","No","",""
"Greylock","Apache2.0","Yes","Yes","No","No","No","Yes","Yes","No","No","Yes","No","No","No","","No","Yes","No","Yes","","Yes","","Yes","Yes","No","Yes","Yes","",""
"Highcharts,Highstock","Proprietary","Freeforpersonalandnon-commercialuses.Paidforcommercialapplications.","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","No","Yes","Yes","Yes",""
"JenScript","BSD-3","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","","Yes","","Yes","Yes","No","Yes","No","Yes",""
"jqPlot","MITorGPLv2","Yes","Yes","No","Yes","Yes","Yes","Yes","No","No","No","No","No","Yes","","Yes","Yes","No","Yes","","Yes","","Yes","Yes","Yes","No","No","",""
"jqxChart","Proprietary","Freewithalinkorcommercial","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","","Yes","Yes","Yes","Yes","No","Yes","","Yes","Yes","Yes","Yes","Yes","",""
"JSCharting","Proprietary","Freewithbranding","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","","Yes","Yes","Yes","Yes","No","Yes","","Yes","Yes","No","Yes","No","",""
"KoolChart","Proprietary","Freewithalinkorcommercial","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","No","Yes","Yes",""
"LightningChartJS","Proprietary","Freeforpersonalandnon-commercialuses.Paidforcommercialapplications.","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","","Yes","No","Yes","Yes","Yes","No","","Yes","Yes","Yes","No","","Yes","Yes"
"MetricsGraphics","MozillaPublicLicenseVersion2.0","Yes","Yes","No","Yes","Yes","No","No","No","No","No","No","No","Yes","","Yes","No","Yes","Yes","","Yes","","Yes","Yes","No","Yes","Yes","",""
"MuzeJS","MIT","Yes","No","Yes","Yes","Yes","Yes","No","No","No","No","No","No","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","","No","Yes","No","Yes","","",""
"NextCharts","Apache2.0","Yes","Yes","No","No","Yes","Yes","No","No","No","No","No","No","Yes","","Yes","Yes","Yes","Yes","","Yes","","Yes","Yes","Yes","No","No","Yes",""
"NVD3","Apache2.0","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","No","No","No","No","Yes","","Yes","Yes","Yes","Yes","","Yes","","Yes","Yes","No","Yes","No","",""
"OLAPCharts","Proprietary","Freebasicedition","No","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","Yes","Yes","","Yes","Yes","Yes","","Yes","Yes","","Yes","Yes","No","No","","",""
"PizzaAmore","MIT","Yes","Yes","No","No","No","Yes","Yes","No","No","No","No","No","No","","No","No","No","No","No","Yes","","Yes","No","No","Yes","No","",""
"plotly.js","MIT","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","viaPython","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","No","Yes","No","","Yes"
"PlusCharts","Free","Yes","Yes","No","No","Yes","Yes","No","No","No","No","No","No","Yes","","Yes","No","No","Yes","","Yes","","Yes","Yes","No","Yes","Yes","",""
"ReactiveChart","MIT","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","Yes","Yes","","Yes","Yes","Yes","No","Yes","Yes","","Yes","Yes","Yes","No","Yes","",""
"RGraph","MIT","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","","Yes","Yes","No","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","No","",""
"rickshaw","MIT","Yes","Yes","No","Yes","Yes","No","No","No","No","No","No","No","Yes","","Yes","No","No","No","","Yes","","Yes","No","No","Yes","No","",""
"SciChart.js","Proprietary","Freeforeducationaluses.Paidforcommercialapplications.","Yes","No","Yes","Yes","Yes","Yes","No","No","No","No","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"ShieldUI","Proprietary","Non-commercialorcommercial","No","Yes","Yes","Yes","Yes","No","Yes","No","No","No","Yes","Yes","","Yes","Yes","Yes","","Yes","Yes","","Yes","No","Yes","Yes","","",""
"Syncfusion","Proprietary","YesFreeorcommercial","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes",""
"TeeChartJS","MIT","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","No","",""
"uvCharts","MIT","Yes","Yes","No","No","Yes","Yes","Yes","No","No","No","No","No","No","","Yes","No","No","Yes","No","Yes","","Yes","No","No","Yes","No","",""
"VaadinCharts","Proprietary","No","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","No","No","Yes","Yes","","Yes","Yes","Yes","","Yes","Yes","","Yes","No","Yes","Yes","","",""
"VanCharts","Proprietary","cc-by-nc4.0orcommercial","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","Yes","Yes","","Yes","Yes","Yes","","Yes","Yes","","Yes","Yes","No","Yes","","",""
"VisJS","Apache2.0andMIT","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","Yes","Yes","Yes","","Yes","Yes","No","No","Yes","Yes","","Yes","Yes","Yes","No","No","",""
"Vizzu","Apache2.0","Yes","Yes","No","Yes","Yes","Yes","Yes","No","Yes","Yes","No","No","Yes","No","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","No","No","","No"
"Webcharts","MIT","Yes","Yes","Yes","Yes","No","No","No","Yes","No","No","No","No","Yes","","Yes","No","No","Yes","","Yes","","Yes","Yes","No","Yes","No","",""
"WebixJSCharts","GPL","Yes","Yes","No","Yes","Yes","Yes","Yes","No","Yes","No","No","No","Yes","","Yes","Yes","No","Yes","","Yes","","Yes","Yes","Yes","No","Yes","Yes",""
"xcharts","MIT","Yes","Yes","No","No","No","No","No","No","No","No","No","No","Yes","","No","No","No","No","","No","","Yes","Yes","No","Yes","No","",""
"YUICharts","BSD-3","Yes","Yes","No","No","Yes","Yes","No","No","No","No","No","No","Yes","","Yes","No","No","No","","Yes","","Yes","No","Yes","Yes","Yes","",""
"ZingChart","Proprietary","Freewithalinkorcommercial","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","",""
"ZoomCharts","Proprietary","Non-commercialorcommercial","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","","Yes","Yes","Yes","No","","",""
