"Architecture","Fabrication(nm)","Family","ReleaseDate","Codename","ModelGroup","Cores","SMT","Clockrate(MHz)","BusSpeed&Type","Cache","Cache","Cache","Socket","MemoryController","Features","Features","Features"
"Architecture","Fabrication(nm)","Family","ReleaseDate","Codename","ModelGroup","Cores","SMT","Clockrate(MHz)","BusSpeed&Type","L1","Socket","MemoryController","L2","L3","SIMD","Speed/Power","Other"
"Am386","","Am386","","Sx/SxL/SxLV","","1","No","25-40","","","","","100PQFP","","","",""
"Am486","500,350","Am486","","25-120","168pinPGA208SQFP","1","No","","","8","","","","","","",""
"Am486","500,350","EnhancedAm486","","","","66-120","1","No","","8,8/16","","","168pinPGA208SQFP","","","",""
"Am5x86","350","Am5x86","","X5-133","","1","No","133","33","16","","","Socket3Socket2Socket1168pin","","","",""
"K5","500,350","AMDK5","","SSA/5,5k86","","1","No","75–133","50,60,66","8+16","0","","Socket5Socket7","","","",""
"K6","350,250","AMDK6","","Model6,Littlefoot","","1","No","166-300","50,60,66","32+32","0","","Socket7","","MMX","",""
"K6","250,180","AMDK6-2","","Chomper,ChomperExtended,mobile","","166-550","1","No","66,95,97,100","32+32","0,128","","SuperSocket7","MMX,3DNow!","","",""
"K6","250,180","K6-3","","Sharptooth","","400-550","1","No","66,95,96.2,100","32+32","MMX,3DNow!","","","256","512,1024","SuperSocket7",""
"K7","250","Athlon","","Argon","","1","No","500-700","100","64+64","MMX,3DNow!","","","512","","SlotA",""
"K7","180","Athlon","","Pluto/Orion","","550-1000","100","64+64","512","","SlotA","1","No","","MMX,3DNow!","",""
"180","K7","","Athlon","Thunderbird","","1000-1400","256","100","64+64","","1","No","SlotASocketA","","MMX,3DNow!","",""
"K7","180","AthlonXP/MP","","256","Palomino","1500+-2100+","1333-1733","1","64+64","No","133","","SocketA","MMX,3DNow!+,SSE","","",""
"K7","AthlonXP/MP","130","","Thoroughbred","256","1600+-2800+","1400-2250","SocketA","MMX,3DNow!+,SSE","","","133,166,200","1","64+64","No","",""
"130","K7","AthlonXP/MP","","Thorton","133,166,200","2000+-3100+","256","1667-2200","","SocketA","MMX,3DNow!+,SSE","","","1","No","64+64",""
"130","K7","AthlonXP/MP","","Barton","133,166,200","2500+-3200+","1833-2333","512","","SocketA","MMX,3DNow!+,SSE","","","1","64+64","No",""
"K7","180","Duron","","Spitfire","","600-950","1","SocketA","MMX,3DNow!+,SSE","","","64+64","No","100","64","",""
"180","Duron","K7","","Morgan","","100","900-1300","64","","1","SocketA","MMX,3DNow!+,SSE","","","64+64","No",""
"K7","Duron","130","","Applebred","","1400,1600,1800","133","1","SocketA","MMX,3DNow!+,SSE","","","64+64","No","64","",""
"K7","180","Athlon4","","Corvette","","850-1400","1","SocketA","MMX,3DNow!+,SSE","","","64+64","No","100","256","",""
"K7","130","AthlonXP-M","","Thoroughbred","","1400-2133","256","1","SocketA","MMX,3DNow!+,SSE","","","64+64","No","100,133","",""
"130","AthlonXP-M","K7","","Barton","","1667-2200","133","512","1","SocketA","MMX,3DNow!+,SSE","","","64+64","No","",""
"K7","180","MobileDuron","","Spitfire","","600,700","1","SocketA","MMX,3DNow!+,SSE","","","64+64","No","100","64","",""
"180","MobileDuron","K7","","Camaro","","100","800-1300","64","","1","SocketA","MMX,3DNow!+,SSE","","","64+64","No",""
"K7","130","Sempron","","Thoroughbred-B","","1500-2000","1","SocketA","MMX,3DNow!+,SSE","","","64+64","No","166","256","",""
"130","Sempron","K7","","Thorton","","166","256","1500-2000","","1","No","SocketA","MMX,3DNow!+,SSE","","","64+64",""
"130","Sempron","K7","","Barton","","2000–2200","166,200","512","1","SocketA","MMX,3DNow!+,SSE","","","64+64","No","",""
"130","K8","Opteron","","Sledgehammer","100","1400-2400","1","No","64+64","800","1024","","Socket940","DDR","MMX,3DNow!+,SSE,SSE2","PowerNow!","AMD64,ccNUMA"
"K8","Opteron","130","Sledgehammer","","1400-2400","800","1024","200","Socket940","DDR","MMX,3DNow!+,SSE,SSE2","PowerNow!","AMD64,ccNUMA","","1","No","64+64"
"K8","Opteron","130","Sledgehammer","","1400-2400","800","1024","800","Socket940","DDR","MMX,3DNow!+,SSE,SSE2","PowerNow!","AMD64,ccNUMA","","1","No","64+64"
"K8","Opteron","90","","Venus","100","800","1024","1600-3000","","DDR","MMX,3DNow!+,SSE,SSE2","PowerNow!","AMD64,ccNUMA","1","No","64+64","Socket939"
"90","K8","Opteron","","1600-3000","Troy","200","","800","1024","Socket940","1","DDR","MMX,3DNow!+,SSE,SSE2","PowerNow!","AMD64,ccNUMA","No","64+64"
