"Model","Codename","Fab(nm)","Businterface","Coreclock(MHz)","Boostclock(MHz)","Memoryclock(MHz)","Coreconfig","Fillrate","Memory","Processingpower(GFLOPS)","SupportedAPIversion","SupportedAPIversion","SupportedAPIversion","SupportedAPIversion","Memory","Memory","Fillrate","Memory","Processingpower(GFLOPS)","SupportedAPIversion","TDP(Watts)","Notes"
"Model","Codename","Fab(nm)","Businterface","Coreclock(MHz)","Boostclock(MHz)","Memoryclock(MHz)","Coreconfig","Pixel(GP/s)","Texture(GT/s)","Size(GB)","Bandwidth(GB/s)","TDP(Watts)","Notes","Bustype","Buswidth(bit)","Singleprecision","Doubleprecision","Direct3D","OpenGL","Vulkan","OpenCL","CUDA"
"QuadroP400","GP107-825","14","PCIe3.0x16","1228","1252","1752(7008)","256:16:16:2","17.1","17.1","2","32","GDDR5","64","641","20.0","12.1","4.6","1.1","1.2","6.1","30","ThreeMini-DisplayPort1.4"
"QuadroP600","GP107-850","14","PCIe3.0x16","1329","1557","1003(4012)","384:24:16:3","21.7","32.5","2","64","GDDR5","128","1195","37.3","12.1","4.6","1.1","1.2","6.1","40","FourMini-DisplayPort1.4"
"QuadroP620","GP107-855","14","PCIe3.0x16","1266","1354","1003(4012)","512:32:16:4","64","128","23.3","46.6","40","FourMini-DisplayPort1.4","2","1490","GDDR5","46.6","12.1","4.6","1.1","1.2","6.1"
"QuadroP1000","GP107-860","1266","14","PCIe3.0x16","1481","1752(7008)","640:40:32:5","43.3","54.2","128","4","82","1894","FourMini-DisplayPort1.4","GDDR5","59.2","47","12.1","4.6","1.1","1.2","6.1"
"QuadroP2000","GP106-875","16","PCIe3.0x16","1076","1480","2002(8008)","1024:64:40:8","54.8","87.7","5","140","GDDR5","160","3010","93.8","12.1","4.6","1.1","1.2","6.1","75","FourDisplayPort1.4"
"QuadroP2200","GP106-880-K1-A1","16","1000","PCIe3.0x16","1493","1251(1008)","1280:80:40:9","59.7","119.4","5","160","200","GDDR5X","75","FourDisplayPort1.4","3822","121.3","12.1","4.6","1.1","1.2","6.1"
"QuadroP4000","GP104-850-A1","16","1202","PCIe3.0x16","1480","1502(6008)","1792:112:64:14","78.5","137.4","8","243","GDDR5","256","5300","FourDisplayPort1.4","165.6","105","12.1","4.6","1.1","1.2","6.1"
"QuadroP5000","GP104-875-A1","16","1607","PCIe3.0x16","1733","1126(9008)","2560:160:64:20","102.8","257.1","16","256","288","GDDR5X","8873","277.3","180","FourDisplayPort1.4,OneDVI-D","12.1","4.6","1.1","1.2","6.1"
"QuadroP6000","GP102-875-A1","16","1506","PCIe3.0x16","1645","1126(9008)","3840:240:96:30","136.0","340.0","GDDR5X","24","432","384","FourDisplayPort1.4,OneDVI-D","10882(11758)","~340","250","12.1","4.6","1.1","1.2","6.1"
"QuadroGP100","GP100-876-A1","16","1304","PCIe3.0x16","1442","703(1406)","3584:224:128:56","184.7","323","16","720","HBM2","4096","10336","5168","6","12.1","4.6","1.1","1.2","235","NVLINKsupport"
