"Type","Sensor","Class","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2022","2022","2021","2021","2020","2020","2019","2019","2018","2018","2017","2017","2016","2016","2015","2015","2014","2014","2013","2013","2012","2012","2011","2011","2010","2010","2009","2009","2008","2008","2007","2007","2006","2006","2005","2005","2004","2004","2003","2003","2002","2002","2001","2001","2000","2000","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Type","Sensor","Class","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DSLR","Full-frame","Flagship","","","","1Ds","1DsMkII","1DsMkIII","","1DC","1DC","","","","","","","","","","","","","","","","","","","1DC","1DC","1DC","1DC","1DC","1DC","1DC","1DC","1DC","1DC","1DC","1DC","","","1DsMkIII","1DsMkIII","1DsMkIII","1DsMkIII","1DsMkIII","1DsMkIII","1DsMkIII","1DsMkIII","1DsMkIII","1DsMkIII","1DsMkIII","1DsMkIII","1DsMkIII","1DsMkIII","1DsMkIII","1DsMkII","1DsMkII","1DsMkII","1DsMkII","1DsMkII","1DsMkII","1DsMkII","1DsMkII","1DsMkII","1DsMkII","1Ds","1Ds","1Ds","1Ds","1Ds","1Ds","","","","","","","","","1Ds","1DsMkII","1DsMkIII","","1DC","","","","","","",""
"1DX","1DXMkII","1DXMkIII","1DXMkIII","1DXMkIII","1DXMkIII","1DXMkIII","1DXMkIII","1DXMkIII","1DXMkIII","1DXMkIII","1DXMkIII","1DXMkIII","1DXMkII","1DXMkII","1DXMkII","1DXMkII","1DXMkII","1DXMkII","1DXMkII","1DXMkII","1DXMkII","1DXMkII","1DXMkII","1DXMkII","1DXMkII","1DX","1DX","1DX","1DX","1DX","1DX","1DX","1DX","1DX","1DX","1DX","1DX","1DX","1DX","1DX","DSLR","Full-frame","Flagship","","","","1Ds","1DsMkII","1DsMkIII","1DX","1DXMkII","1DXMkIII"
"DSLR","APS-H","","","1D","1DMkII","1DMkIIN","1DMkIII","1DMkIV","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1DMkIV","1DMkIV","1DMkIV","1DMkIV","1DMkIV","1DMkIV","1DMkIV","1DMkIII","1DMkIII","1DMkIII","1DMkIII","1DMkIII","1DMkIII","1DMkIII","1DMkIII","1DMkIIN","1DMkIIN","1DMkIIN","1DMkIIN","1DMkIIN","1DMkII","1DMkII","1DMkII","1D","1D","1D","1D","1D","1D","1D","1D","","","","Professional","","","1D","1DMkII","1DMkIIN","1DMkIII","1DMkIV","","","","","","","","","","",""
"DSLR","","","","","","","","","","","","","","","","","5DS/5DSR","","","","5DS/5DSR","5DS/5DSR","5DS/5DSR","5DS/5DSR","5DS/5DSR","5DS/5DSR","5DS/5DSR","5DS/5DSR","5DS/5DSR","5DS/5DSR","5DS/5DSR","5DS/5DSR","5DS/5DSR","5DS/5DSR","5DS/5DSR","5DS/5DSR","5DS/5DSR","5DS/5DSR","5DS/5DSR","5DS/5DSR","5DS/5DSR","5DS/5DSR","5DS/5DSR","5DS/5DSR","5DS/5DSR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Professional","Full-frame","","","","","","","","","","","","","","","","","5DS/5DSR",""
"","","","","","","5D","x5DMkII","x5DMkIII","5DMkIV","5DMkIV","5DMkIV","5DMkIV","5DMkIV","5DMkIV","5DMkIV","5DMkIV","5DMkIV","5DMkIV","5DMkIV","5DMkIV","5DMkIV","5DMkIV","5DMkIV","5DMkIV","5DMkIV","5DMkIV","5DMkIV","5DMkIV","5DMkIV","5DMkIV","5DMkIV","5DMkIV","5DMkIV","x5DMkIII","x5DMkIII","x5DMkIII","x5DMkIII","x5DMkIII","x5DMkIII","x5DMkIII","x5DMkIII","x5DMkIII","x5DMkIII","x5DMkIII","x5DMkIII","x5DMkIII","x5DMkIII","x5DMkIII","x5DMkIII","x5DMkII","x5DMkII","x5DMkII","x5DMkII","x5DMkII","x5DMkII","x5DMkII","x5DMkII","x5DMkII","x5DMkII","x5DMkII","5D","5D","5D","5D","5D","5D","5D","5D","5D","5D","","","","","","","","","","","","Full-frame","DSLR","Professional","","","","","","","5D","x5DMkII","x5DMkIII","5DMkIV"
"Full-frame","","","","","","","","","","","","","","x6D","6DMkII","6DMkII","6DMkII","6DMkII","6DMkII","6DMkII","6DMkII","6DMkII","6DMkII","6DMkII","6DMkII","6DMkII","6DMkII","6DMkII","6DMkII","6DMkII","6DMkII","6DMkII","6DMkII","6DMkII","6DMkII","x6D","x6D","x6D","x6D","x6D","x6D","x6D","x6D","x6D","x6D","x6D","x6D","x6D","x6D","x6D","x6D","x6D","","","","","","","","","","","","","","","","","","","","","","","","","","DSLR","Advanced,prosumer","","","","","","","","","","","","","","x6D","6DMkII"
"Advanced,prosumer","","","","","","","","","","","x7D","7DMkII","","","","7DMkII","7DMkII","7DMkII","7DMkII","7DMkII","7DMkII","7DMkII","7DMkII","7DMkII","7DMkII","7DMkII","7DMkII","7DMkII","7DMkII","7DMkII","7DMkII","7DMkII","7DMkII","7DMkII","7DMkII","7DMkII","7DMkII","7DMkII","7DMkII","7DMkII","7DMkII","7DMkII","x7D","x7D","x7D","x7D","x7D","x7D","x7D","x7D","x7D","x7D","x7D","x7D","x7D","x7D","x7D","x7D","x7D","x7D","","","","","","","","","","","","","","","","","","","","DSLR","APS-C","","","","","","","","","","","x7D","7DMkII",""
"APS-C","","","","","","20Da","","","","","","","","60Da","","","","","","","","","","","","","","","","","","","","","","","","60Da","60Da","60Da","60Da","60Da","60Da","60Da","60Da","60Da","60Da","","","","","","","","","","","20Da","20Da","20Da","","","","","","","","","","","DSLR","Enthusiast,hobbyist","","","","","","20Da","","","","","","","","60Da","","","","","","","",""
