"Syntax","Language(s)"
"""Isaid""""Hello,world!""""""","Ada,ALGOL68,Excel,Fortran,VisualBasic(.NET),FreeBASIC,COBOL"
"'Isaid''Hello,world!'''","Fortran,rc,COBOL,SQL,Pascal,ObjectPascal,APL,Smalltalk"
