"Product","Free","License"
"ApabiReader","Yes",""
"Blio","Partial(voicescost)",""
"BluefireReader","Partial(Cloudshelfeditionisfree)","Proprietary"
"BookFusion","Partial(Upto25books)","Proprietary"
"DLReader","Yes",""
"eBookMobi","No",""
"EbookReader","Yes","Proprietary"
"i2Reader","No",""
"AppleBooks","Yes","Proprietary"
"Kindle","Yes",""
"KoboReadingApp","Yes",""
"KyBook/KyBook2","Yes","Proprietary,partiallyOS"
"MapleRead","Partial(CXeditionisfree)",""
"Marvin","Partial(abilitytoseemorethanonebookinlibrarycost)",""
"MegaReader","No",""
"ShuBook2","Partial",""
"SideBooks","Yes","Proprietary"
"Stanza","Yes","Proprietary"
"uBooksXL","No",""
"iBouquiniste","No",""
