"Software","Latestversion","Latestrelease","Freetouse","Freesoftware","Softwarelicense","Windows","macOS","Linux","Android","iOS"
"AgelongTree","5.5","2020-04-08","No(40PersonFreeTrial)","No","Proprietary","Yes","Yes","UsingWine","No","No"
"Ahnenblatt","3.36","2022-01-14","No(Freedemo,50personlimit,watermarkedreports;latestfreeversion:2.99p)","No","Proprietary","Yes","No","UsingWine","No","No"
"AncestralQuest","16.0.6","2020-08-10","Yes(Basicsversion)","No","Proprietary","Yes","Yes","UsingWine","No","No"
"Ancestris","11","2021-04-29","Yes","Yes","GNUGPL","Yes","Yes","Yes","No","No"
"Brother'sKeeper","7.5.9","2021-12-15","Yes(Unreg.ver.)","No","Shareware","Yes","No","UsingWine","No","No"
"FamilyHistorian","7.0.11.0","2022-02-26","No(30-DayFreeTrial)","No","Proprietary","Yes","usingCrossover","UsingWine","No","No"
"FamilyTreeBuilder","8.0","2016-08-12","Yes(Freever.)","No","Proprietary","Yes","Yes","UsingWine","Yes","Yes"
"FamilyTreeMaker","2019(24.0.1)","2019-11","No","No","Proprietary","Yes","Yes","No","No","No"
"GEDitCOMII","2.3","2016-11-17","No(15-DayFreeTrial,Read-Onlyafterwards)","No","Proprietary","No","Yes","No","?","Yes"
"GenboxFamilyHistory","3.7.1","2007-11-17","No(30DayFreeTrial)","No","Proprietary","Yes","No","UsingWine","No","No"
"GenealogyJ","3.0","2010-03-17","Yes","Yes","GPL-2.0-or-later","Java","Java","Java","No","No"
"GenoPro","2016,3.0.0.7","2016-01-27","No(25PersonFreeTrial)","No","Proprietary","Yes","No","UsingWine","No","No"
"Gramps","5.1.5","2022-02-06","Yes","Yes","GPL-2.0-or-later","Yes","Yes","Yes","No","No"
"Heredis","2021","2020-09-22","No(50PersonFreeTrial)","No","Proprietary","Yes","Yes","No","Yes","Yes"
"KithandKinPro","3.3.0","2019-09-14","No(30-DayFreeTrial)","No","Shareware","Yes","No","No","No","No"
"LegacyFamilyTree","9.0.0.393","2021-07-12","Yes(StandardEdition)","No","Proprietary","Yes","No","UsingWine","No","No"
"LifeLines","3.1.1","2016-03-17","Yes","Yes","MIT","Yes","Yes","Yes","No","No"
"MacFamilyTree","9.3.3","2021-12-13","No(FreeTrial,butyoucannotsaveorexportyourentries)","No","Proprietary","No","Yes","No","No","Yes"
"PersonalAncestralFile","5.2.18.0","2002-07-23(discontinued2014)","Yes","No","Proprietary","Yes","No","UsingWine","?","?"
"Reunion","13.0(build220214)","2022-02-14","No(Freedemo,50personlimit,noimport/export,watermarkedreports)","No","Proprietary","No","Yes","No","No","Yes"
"RootsMagic","8.1.6.0","2022-02-09","Yes(Essentials)","No","Proprietary","Yes","Yes","UsingWine","Yes","Yes"
"TheMasterGenealogist","9.05.0000","2014-12-03(discontinued2015)","No(30DayFreeTrial)","No","Proprietary","Yes","No","UsingWine","No","No"
