"Name","Operatingsystem","Userinterface","Sectorbysector","Filebyfile","Hottransfer","Mountorextract","Operationmodel","Operationmodel","Operationmodel","License","Purchase/subscription"
"Name","Operatingsystem","Userinterface","Sectorbysector","Filebyfile","Hottransfer","Mountorextract","Standalone","License","Purchase/subscription","Client–server","FromaLiveOS"
"AcronisCyberProtectHomeOffice","Windows","Graphical","Yes","FAT32,NTFS,HFS+,APFS,ext2,ext3,ext4andReiserFS","Yes","Yes","Yes","Yes","Yes(64MB)","Trialware","$49.99/yrandup"
"AppleSoftwareRestore","macOS","Command-line","Yes","HFS+","No","viahdiutil","Yes","Yes","No","PartofmacOS",""
"Clonezilla","Linux","Text-based","Yes","FAT12,FAT16,FAT32,NTFS,ext2,ext3,ext4,reiserfs,reiser4,xfs,jfs,btrfs,f2fs,NILFS2,HFS+,UFS,minix,VMFS3","No","Throughahack","Yes","Yes(Clonezillaserveredition)","Yes(210MB)","GPL",""
"dcfldd","Linux","Command-line","Yes","No","No","Yes","Yes","No","?","GPL",""
"dd(Unix)","Unix","Command-line","Yes","No","No","Yes","Yes","No","Yes","GPLv3",""
"Disks(gnome-disk-utility)","Linux","Graphical","UIonly","UIonly","UIonly","UIonly","UIonly","UIonly","UIonly","PartofGnome",""
"DiskUtility","macOS","Graphical","Yes","HFS+","Yes","Yes","Yes","No","Yes","PartofmacOS",""
"FSArchiver","Linux","Text-based","No","FAT32,btrfs,ext2,ext3,ext4,ReiserFS-4,HPFS,JFS,XFS","?","?","Yes","No","?","GPL",""
"Ghost","Windows","Graphical,Command-line","Yes","FAT32,NTFS,HPFS,ext2,ext3","Yes","Yes","Yes","Yes","Yes","Trialware",""
"GPartedLiveCD","Linux","Graphical","No","ext2,ext3","No","No","Yes","No","Yes","GPL",""
"ImageforWindows","Windows","Graphical","Yes","FAT32,NTFS,ext2,ext3","Yes","Yes","Yes","No","Yes","Trialware",""
"IsoBuster","Windows","Graphical","Yes","FAT12,FAT16,FAT32,ExFAT,NTFS,ext2,ext3,ext4,MFS,HFS,HFS+,UDF,XFS,ReFS","No","Yes","Yes","No","Yes","Trialware",""
"KleoBareMetalBackup","Independent(LiveOS)","Graphical","Yes","FAT32,NTFS,ext2,ext3,HFS+","No","?","No","Yes","Yes(570MB)","Freeware",""
"MacriumReflectWorkstation","Windows","Graphical","Yes","?","No","Yes","No","No","Yes","Trialware","$75perpetual"
"MondoRescue","Linux","Text-based","Yes","FAT32,NTFS,ext2,ext3","Yes","?","Yes","?","Yes*","GPL",""
"ntfsclone","Linux","Command-line","No","NTFS","?","?","Yes","No","No","GPL",""
"partimage","Linux","Text-based","No","FAT32,ext2,ext3,ReiserFS-3,HPFS,JFS,XFS;UFS(beta),HFS(beta),NTFS(experimental)","?","?","Yes","Yes","No","GPL",""
"Partition-Saving","Windows,Linux,DOS","Text-basedCommand-line","Yes","FAT32,NTFS,ext2,ext3","No","Yes","Yes","No","Yes","Freeware",""
"RedoRescue","Independent(LiveOS)","Graphical","Yes","FAT32,NTFS,ext2,ext3,ext4","No","No","No","Canaccessnetworkeddrives","Yes(225MB)","GPL",""
