"Attribute","Deprecatedfor","Function","Supportedfirstby","MSHTML","Gecko","WebKit","KHTML","Presto"
"bgproperties","body","Determineswhetherbackgroundimagescrollswiththebackground","InternetExplorer","3.1","No","Yes","Yes","No"
"bordercolor","body","Setscolorsfor3-Dtablebordersinthetable,td,th,andtrelements","InternetExplorer","3.1","No","Yes","Yes","No"
"bordercolordark","body","Setscolorsfor3-Dtablebordersinthetable,td,th,andtrelements","InternetExplorer","3.1","No","No","No","No"
"bordercolorlight","body","Setscolorsfor3-Dtablebordersinthetable,td,th,andtrelements","InternetExplorer","No","No","No","No","3.1"
"controls","img","Usestheimgelementtoplacevideooraudioclips","InternetExplorer","3.1","No","No","No","No"
"dynsrc","img","Usestheimgelementtoplacevideooraudioclips","InternetExplorer","3.1","No","No","No","No"
"event","script","Definesfunctiontocallforanobject.","InternetExplorer","3.1","Partial","?","?","?"
"for","script","Definestheobjecttobindascriptingevent.","InternetExplorer","3.1","Partial","?","?","?"
"frame","table","Controlsthedisplayoftheouterbordersofatableinthetabletag","InternetExplorer","3.1","Yes","?","Yes","No"
"framespacing","frameset","Setstheamountofspacebetweenframes","InternetExplorer","3.1","?","?","No","No"
"leftmargin","body","Setsthemarginbetweenthebrowserwindowandthecontentsofthepage","InternetExplorer","3.1","?","?","Yes","No"
"loop","img","Usestheimgelementtoplacevideooraudioclips","InternetExplorer","3.1","No","No","No","No"
"rightmargin","body","Setsthemarginbetweenthebrowserwindowandthecontentsofthepage","InternetExplorer","3.1","?","?","No","No"
"start","img","Usestheimgelementtoplacevideooraudioclips","InternetExplorer","3.1","No","No","No","No"
"target","form","Specifiesatargetwindoworframefortheoutputofaform","InternetExplorer","3.1","No","?","Yes","No"
"valign","caption","Setsverticalalignmentoftablecaption","InternetExplorer","3.1","?","?","No","No"
