"Distribution","Freesoftwarerepositories","Approximatenumberofpre-compiledpackages","Approximatenumberofsourcepackages","Defaultpackagemanagementtool(s)","Packageformat","Defaultinstaller","Graphicalinstallationprocess","Netinstall","Netboot"
"AlpineLinux","Free,andnonfree","13,888","?","apk",".apk","setup-alpine","No","?","?"
"ALTLinux","Free,andnonfree","8,300","?","APT(APT-RPM),RPM","RPM","","Yes","?","?"
"ArchLinux","Free,andnonfree","12,588","72,726fromAUR","Pacman",".pkg.tar.zst","arch-install-scriptsandarchinstaller","No","Yes","iPXE"
"BLAG","Freeonly","10,000","?","RPM,yum,APT","RPM","","Yes","No","No"
"BodhiLinux","Free,andnonfree","","?","APT",".dpkg","Ubiquity","Yes","?","?"
"CentOS","Free,andnonfree","6,813","?","RPM,yum/up2date","RPM","Anaconda","Yes","Yes","?"
"Chakra","Free,andnonfree","3,074","CCR:5,342","Pacman(willbereplacedbyAkabeiinfuture)",".pkg.tar.xz","","Packagemanagerindevelopment","?","?"
"ClearOS","Free,andnonfree","","?","RPM,yum","RPM","","No","?","?"
"ClearLinuxOS","?","?","?","?","?","?","?","?","?"
"CrunchBangLinux","Free,andnonfree","","?","APT",".deb","","Yes","?","?"
"Debian","Free,andnonfree","148,000","28,923","APT",".deb","Debian-Installer","Yes","Yes","PXE"
"Devuan","Free,andnonfree","","?","APT",".deb","Debian-Installer","Yes","Yes","PXE"
"DragoraGNU/Linux-Libre","Freeonly","484","?","pkgsystem",".tlz","?","No","No","No"
"dyne:bolic","Freeonly","?","?","APT",".deb","Debian-Installer","Yes","No","No"
"Fedora","Free,andnonfree","66,075","30,681","DNF,yum,PackageKit","RPM","Anaconda","Yes","Yes","?"
"Gentoo","Free,andnonfree","10,000","19,092","Portage",".ebuild,.tbz2","None(third-partyinstallscriptsonly)","Yes","Yes","PXE"
"gNewSense","Freeonly","?","?","APT",".deb","Debian-Installer","Yes","Yes","No"
"GnoppixLinux","Free,andnonfree","92,000","28,923","APT",".deb","Debian-Installer","Yes","Yes","PXE"
"Devuan","Free,andnonfree","","?","APT",".deb","Debian-Installer","Yes","Yes","PXE"
"GuixSystem","Freeonly","18,921","18,921","Guix",".scm,.go","guixsysteminit","Yes","Yes","No"
"HyperbolaGNU/Linux-libre","Freeonly","5,257","?","Pacman",".pkg.tar.lz","None(third-partyinstallscriptsonly)","No","Yes","?"
"Knoppix","Free,andnonfree","","?","APT",".deb","","No","?","?"
"LibreCMC","Freeonly","826","?","?","?","","No","No","No"
"LinuxMint","Free,andnonfree","","?","APT",".deb","Ubiquity","Yes","?","?"
"Mageia","Free,andnonfree","17,283(i586),11,409(x86-64)","8,834","urpmi,rpmdrake","RPM","DrakX","Yes","Yes","?"
"MandrivaLinux","Free,andnonfree","22,600","?","urpmi,rpmdrake","RPM","DrakX","Yes","?","?"
"ManjaroLinux","Free,andnonfree","?","","Pacman",".pkg.tar.xz","Calamares","Yes","Yes","iPXE"
"MEPIS","Free,andnonfree","","?","APT",".deb","MEPISInstall","Yes","?","?"
"MusixGNU+Linux","Freeonly","1,819","?","APT",".deb","Debian-Installer","Yes","No","No"
"OpenELEC","Free,andnonfree","140","?","XBMCbuntuaddonmanager,ownand3rdpartyaddons",".zip","","Yes","?","?"
"openSUSE","Free,andnonfree","42,236withPackMan","34,000","YaST,Zypper","RPM","YaST","Yes","Yes","?"
"OpenWrt","Free,andnonfree","2,000","?","opkg",".ipk","-","No","?","?"
"ParabolaGNU/Linux-libre","Freeonly","23,000","?","Pacman",".pkg.tar.xz","None(third-partyinstallscriptsonly)orCalamares","Yes","Yes","?"
"Pardus","Free,andnonfree","4,000","?","PiSi",".pisi","YALI","Yes","?","?"
"Parsix","Free,andnonfree","","14,900","APT",".deb","","Yes","?","?"
"PCLinuxOS","Free,andnonfree","12,000","?","APT,RPM","RPM","","Yes","?","?"
"Puppy","Free,andnonfree","700","?","PupGet,DotPup",".pup,.pet","","Yes","?","?"
"RedHatEnterpriseLinux","Free,andnonfree","3,000(plus9,155fromEPEL)","?","RPM,yum","RPM","Anaconda","Yes","?","?"
"Rxart","Free,andnonfree","","?","APT",".deb","","Yes","?","?"
