"Model(Codename)","ReleaseDate","Architecture&Fab","Transistors&DieSize","Core","Fillrate","Processingpower(GFLOPS)","Memory","Memory","Memory","Core","Fillrate","Processingpower(GFLOPS)","Memory","TDP","Businterface"
"Model(Codename)","ReleaseDate","Architecture&Fab","Transistors&DieSize","Config","Clock(MHz)","Texture(GT/s)","Pixel(GP/s)","TDP","Businterface","Single","Double","Bustype&width","Size(GiB)","Clock(MT/s)","Band-width(GB/s)"
"RadeonPro450","October2016","GCN4gen14nm","3.0×10123mm","640:40:1610CU","725775","2931","11.612.4","928992","1/16SP","GDDR5128-bit","2","5000","80","35W","PCIe3.0×16"
"RadeonPro455","October2016","GCN4gen14nm","3.0×10123mm","768:48:1612CU","850","40.8","13.6","1305.6","1/16SP","GDDR5128-bit","2","5000","80","35W","PCIe3.0×16"
"RadeonPro460","October2016","GCN4gen14nm","3.0×10123mm","1024:64:1616CU","850910","54.458.2","13.614.56","1740.81863.7","1/16SP","GDDR5128-bit","4","5000","80","35W","PCIe3.0×16"
