"","Developer","Firstrelease","Latestrelease","Panels/pad","Modifiers","Courses","Bombs","USBCard"
"DanceAerobicsTM","HumanEntertainment","1987(DanceAerobics)","N/A","10","No","Yes","No","No"
"DanceDanceRevolution","Konami","1998(DanceDanceRevolution)","2020(DanceDanceRevolutionA20Plus)","4","Yes","Yes","Partial","Yes(XtoX3)"
"PumpItUp","Andamiro","1999(PumpItUp)","2019(PumpItUpXX)","5forsingle,10fordouble","Yes","Yes","Yes","Yes"
"DanceManiax","Konami","1999(DanceManiax)","2000(DanceFreaks)","0(4handsensors)","Yes","Yes","No","No"
"3DDX","NGGEntertainment","2000(3DDX)","N/A","4","?","?","?","?"
"EZ2Dancer","AmuseWorld","2000(EZ2Dancer)","2004(EZ2DancerSuperChina)","3(2handsensors)","?","?","?","?"
"ParaParaParadise","Konami","2000(ParaParaParadise)","2000(ParaParaDancing)","0(8handsensors)","?","?","?","?"
"TechnoMotion","F2Systems","2000(TechnoMotion)","(TechnoMotionThe2ndDanceFloor!)","8","Yes","No","No","No"
"Dance:UK","BroadswordInteractiveLimited","2003(Dance:UK)","N/A","8","?","?","?","?"
"EyeToy:Groove","LondonStudio","2003(EyeToy:Groove)","N/A","0(6virtualhandsensors)","No","No","No","No"
"InTheGroove","Roxor","2004(InTheGroove)","2005(InTheGroove2)","4","Yes","Yes","Yes","Yes"
"MCGroovzDanceCraze","MadCatz","2004(MCGroovzDanceCraze)","N/A","8","?","?","?","No"
"DancePraise","DigitalPraise","2005(OriginalDancePraise)","2007(DancePraise2:TheReMix)","4","No","Partial","Yes","No"
"StepMania","MITLicense","1998(StepMania)","2021(ProjectOutfox&SerenityEdition)","3-10","Yes","Yes","Yes","Yes"
"Performous","GPLLicense","2009","2010","8","No","No","Yes","Yes"
"Dance86.4FunkyRadioStation","Konami","2005(Dance86.4FunkyRadioStation)","N/A","3","?","?","Yes","?"
"Mungyodance","EmpatheticGaming(MGD/MGD2)Monakai(MGD3)","2005(Mungyodance)","2008(Mungyodance3TheThirdRave)","4","Yes(limited)","Yes","Yes","Yes"
"CyberCoach","QuickControlsLtd","2007(CyberCoach)","N/A","8","?","?","?","?"
"PumpItUpPro","FuninMotion","2007(PumpItUpPro)","2014(PumpItInfinity)","5","Yes","Yes","Yes","Yes"
"StepManiaX","StepRevolution","2017(StepManiaX)","N/A(ongoingupdates)","3(Beginner)5(Easy,Hard,andWild)6(Dual)10(FullandTeam)","Yes","No","Yes","NoUsesQRCode"
