"Name","Author","Firstpublicrelease","Lateststableversion","Cost","Softwarelicense","Frameworkused","Writtenin"
"AIMP","AIMPDevTeam","August8,2006","Windows:5.00,build2338(October21,2021;4monthsago(2021-10-21))[±]Android:3.20,build1158(October23,2021;4monthsago(2021-10-23))[±]","Nocost","Proprietary","BASSaudiolibrary(decoder)","Delphi"
"Amarok","MarkKretschmann","June1,2003","2.9.71(January31,2021;13monthsago(2021-01-31))[±]","Nocost","GPL-2.0-or-later","viaPhonon:GStreamer,xine,MPlayer,VLC,DirectShow,QuickTime","C++"
"Aqualung","TomSzilagyietal.","January1,2006","1.1(29August2020;18monthsago(29August2020))[±]","Nocost","GPL-2.0-or-later","","C"
"aTunes","AlexArandaetal.","January1,2006","3.1.2(June22,2014;7yearsago(2014-06-22))[±]","Nocost","GPL-2.0-or-later","","Java"
"Audacious","AudaciousDevelopmentTeam","October30,2005","4.1(February1,2021;13monthsago(2021-02-01))[±]","Nocost","BSD-2-Clause","XMMSbased","C,C++(GTK)"
"Banshee","AaronBockover","February17,2005","2.6.2(February18,2014;8yearsago(2014-02-18))[±]","Nocost","MIT","GStreamer","C#"
"Clementine","ClementineTeam","February22,2010","1.3.1(April19,2016;5yearsago(2016-04-19))[±]","Nocost","GPL-3.0-or-later","GStreamer","C++(Qt)"
"cmus","TimoHirvonen","January18,2005","2.9.1(January22,2021;13monthsago(2021-01-22))[±]","Nocost","GPL-2.0-or-later","","C"
"Cog","VincentSpader","May1,2006","0.07(December24,2007;14yearsago(2007-12-24))[±]","Nocost","GPL-2.0-only","","Objective-C"
"Exaile","AdamOlsen","May24,2006","4.1.0(February14,2021;12monthsago(2021-02-14))[±]","Nocost","GPL-2.0-or-later","GStreamer","Python(GTK)"
"Ecoute","LoukaDesroziers&JulienSagot","September2008","3.0.8","Nocost(untilversion4)","Proprietary","AVFoundation&QuickTime","Objective-C"
"FlashMP3Player","RealitySoftware","March11,2008","1.00","Nocost","Proprietary","",""
"foobar2000","PeterPawlowski","November29,2002","1.6.10(February14,2022;23daysago(2022-02-14))[±]","Nocost","Proprietary(core),BSD(SDK)","","C++"
"GuayadequeMusicPlayer","JuanRios","March12,2009","0.4.6(June5,2019;20monthsago)","Nocost","GPL-3.0-or-later","GStreamer","C++(wxWidgets,wxSqlite)"
"iTunes","AppleInc.","January9,2001","","Nocost","Proprietary","QuickTime","?"
"JRiverMediaCenter","JRiver,Inc.","February1,1999","28.0.105(January28,2022;40daysago(2022-01-28))[±]","$59.98to$79.98","Proprietary","JRivercode","C++"
"JuK","ScottWheeler","February1,2003","3.11(February4,2014;8yearsago(2014-02-04))[±]","Nocost","GPL-2.0-or-later","","C++"
"MediaMonkeyStandard","VentisMediaInc.","August25,2003","5.0.2.2531(December22,2021;2monthsago(2021-12-22))[±]","Nocost","Proprietary","","Delphi,C"
"MediaMonkeyGold","VentisMediaInc.","August25,2003","5.0.2.2531(December22,2021;2monthsago(2021-12-22))[±]","$24.95USD","Proprietary","","Delphi,C"
"MediaMonkeyLifetime","VentisMediaInc.","August25,2003","5.0.2.2531(December22,2021;2monthsago(2021-12-22))[±]","$49.95USD","Proprietary","",""
"GrooveMusic","Microsoft","2012","","Nocost","Proprietary","",""
"Mpxplay","Mpxplay","January1,1998","3.14(October24,2021;4monthsago(2021-10-24))[±]","Nocost","Proprietary","","C"
"MusiconConsole","DamianPietras","January1,2002","2.5.1(April24,2016;5yearsago(2016-04-24))[±]","Nocost","GPL-2.0-or-later","","C"
"MusicPlayerDaemon","WarrenDukes","May1,2003","0.21.22(April2,2020;23monthsago(2020-04-02))[±]","Nocost","GPL-2.0-or-later","","C"
"MusicBee","StevenMayall","December4,2008","3.4.7805(May17,2021;9monthsago(2021-05-17))[±]","Nocost","Proprietary","BASSaudiolibrary","VisualBasic.NET"
"musikCube","CaseyLangen","January1,2005","0.92.1(May26,2020;21monthsago(2020-05-26))[±]","Nocost","BSD-3-Clause","",""
"Napster","WilliamChristopherGorog","October1,2003","4.6.3.4(August31,2010;11yearsago(2010-08-31))[±]","Subscription","Proprietary","",""
"QuodLibet","QuodLibetTeam","November8,2004","4.3.0(22February2020;2yearsago(2020-02-22))[±]","Nocost","GPL-2.0-or-later","GStreamer","Python(GTK)PyGTK"
"Rdio","RdioInc","August3,2010","MicrosoftWindows:1.12.0.0(2013)WP8+:4.0.5.0(28October2013;8yearsago(2013-10-28))iOS:3.0.3(27September2014;7yearsago(2014-09-27))","Subscription","Proprietary","",""
"Rhapsody","RealNetworks","January1,2003","14.0(16October2006)[±]","Subscription","Proprietary","",""
"Rhythmbox","ColinWalters","April1,2004","3.4.4(January4,2020;2yearsago(2020-01-04))[±]","Nocost","GPL-2.0-or-later","GStreamer","C"
"SayonaraPlayer","MichaelLugmair(until2020underthepseudonymLucioCarreras)","2011","1.5.1-stable5/29August2019","Nocost","GPL-3.0-or-later","GStreamer","C++"
"Songbird","POTIInc.","February8,2006","2.2.0,Build2453(February4,2013;9yearsago(2013-02-04))[±]","Nocost","GPL","GStreamer",""
"SonicVisualiser","CentreforDigitalMusicatQueenMary,UniversityofLondon","May10,2007","3.1.1(August14,2018)","Nocost","GPL-2.0-or-later","",""
"Sonique","MediaScience","November1,1998","1.96(March2002)","Nocost","Proprietary","",""
"Spotify","SpotifyLTD","October7,2008","Android8.6.88.1104/December16,2021;2monthsago(2021-12-16)AndroidWear8.6.88.1104/December16,2021;2monthsago(2021-12-16)iOS8.6.84/December1,2021;3monthsago(2021-12-01)Windows1.1.80.699/March5,2022;4daysago(2022-03-05)macOS1.1.74.631/December11,2021;2monthsago(2021-12-11)Linux1.1.72.439/November12,2021;3monthsago(2021-11-12)","Android","8.6.88.1104/December16,2021;2monthsago(2021-12-16)","AndroidWear","8.6.88.1104/December16,2021;2monthsago(2021-12-16)","iOS","8.6.84/December1,2021;3monthsago(2021-12-01)","Windows","1.1.80.699/March5,2022;4daysago(2022-03-05)","macOS","1.1.74.631/December11,2021;2monthsago(2021-12-11)","Linux","1.1.72.439/November12,2021;3monthsago(2021-11-12)","Subscription","Proprietary","",""
"Android","8.6.88.1104/December16,2021;2monthsago(2021-12-16)"
"AndroidWear","8.6.88.1104/December16,2021;2monthsago(2021-12-16)"
"iOS","8.6.84/December1,2021;3monthsago(2021-12-01)"
"Windows","1.1.80.699/March5,2022;4daysago(2022-03-05)"
"macOS","1.1.74.631/December11,2021;2monthsago(2021-12-11)"
"Linux","1.1.72.439/November12,2021;3monthsago(2021-11-12)"
"StyleJukebox","DigitalGeekLTD","July1,2009","2.2.1(October8,2016;5yearsago(2016-10-08))[±]","Nocost","Proprietary","","C#"
"Winamp","Nullsoft","April21,1997","5.666.3516(December12,2013;8yearsago(2013-12-12))[±]","Nocost","Proprietary","Wasabi","C/C++"
"XMMS","XMMSTeam","November1,1997","1.2.11(November16,2007;14yearsago(2007-11-16))[±]","Nocost","GPL-2.0-or-later","original","C"
"XMPlay","Un4seenDevelopments","1998","3.8(December23,2013)","Nocost","Proprietary","BASSaudiolibrary",""
"Name","Author","Firstpublicrelease","Stableversion","Cost","Softwarelicense","Frameworkused","Writtenin"
