"Client","IMSP","ACAP","RSS0.91Feeds","RSS1.0Feeds","RSS2.0Feeds","ATOMFeeds","iCalendar","MAPI/RPC","CalDAV","CardDAV"
"Alpine","?","?","?","?","?","?","?","?","?","?"
"AppleMail","?","?","?","?","?","?","Yes","?","Yes","Yes"
"Becky!InternetMail","?","?","Yes","Yes","Yes","Yes","?","?","?","?"
"Citadel","?","?","?","?","?","?","?","?","?","?"
"ClawsMail","?","?","No","Yes","Yes","Yes","Yes","?","?","?"
"Courier","No","No","No","No","No","No","No","?","?","?"
"Elm","?","?","?","?","?","?","?","?","?","?"
"eMClient","No","No","Yes","Yes","Yes","No","Yes","No","Yes","Yes"
"EmailTray","No","No","No","No","No","No","No","No","?","?"
"Eudora","No","Yes","No","No","No","No","No","?","?","?"
"Evolution","No","No","No","No","No","No","Yes","Yes","Yes","Yes"
"Gnus","?","?","Yes","Yes","Yes","No","?","?","?","?"
"GroupWise","?","No","?","?","?","?","Yes","?","?","?"
"Hiri","No","No","No","No","No","No","No","No","No","No"
"i.Scribe/InScribe","No","No","No","No","No","No","No","Yes","?","?"
"IBMLotusNotes","No","No","Yes","Yes","Yes","Yes","Yes","?","?","?"
"KMail","?","?","Yes","Yes","Yes","Yes","Yes","?","Yes","Yes"
"Mailpile","?","?","?","?","?","?","?","?","?","?"
"MicrosoftEntourage","?","?","?","?","?","?","Yes","?","?","?"
"MicrosoftOfficeOutlook","?","?","Yes","Yes","Yes","Yes","Yes","Yes","No","No"
"MozillaMail&Newsgroups","?","?","?","?","?","?","?","?","?","?"
"MozillaThunderbird","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Mulberry","Yes","Yes","No","No","No","No","Yes","?","Yes","?"
"Mutt","?","?","No","No","No","No","No","?","?","?"
"NetscapeMessenger","?","?","?","?","?","?","?","?","?","?"
"NetscapeMessenger9","?","?","?","?","?","?","?","?","?","?"
"nmh/MH","?","?","?","?","?","?","?","?","?","?"
"OperaMail","?","?","Yes","Yes","Yes","Yes","No","?","No","No"
"OutlookExpress","?","?","No","No","No","No","No","?","No","No"
"PegasusMail","?","?","Yes","Yes","Yes","?","?","?","?","?"
"Pine","No","No","No","No","No","No","No","?","?","?"
"Pocomail","No","No","Yes","Yes","Yes","No","No","?","?","?"
"SeaMonkeyMail&Newsgroups","No","No","Yes","Yes","Yes","Yes","Yes","?","?","?"
"SquirrelMail","?","?","Yes","Yes","Yes","Yes","Yes","Yes","?","?"
"Sylpheed","No","No","No","No","No","No","No","No","?","?"
"TheBat!","No","No","Yes","Yes","Yes","Yes","No","Yes","?","Yes"
"Trojitá","No","No","No","No","No","No","No","No","?","?"
"Turnpike","?","?","?","?","?","?","?","?","?","?"
"WindowsLiveMail","?","?","Yes","Yes","Yes","Yes","No","?","?","?"
"WindowsMail","?","?","?","?","?","?","?","?","?","?"
"YAM","No","No","No","No","No","No","No","?","?","?"
"Zimbra","?","?","Yes","Yes","Yes","Yes","Yes","?","?","?"
"Client","IMSP","ACAP","RSS0.91Feeds","RSS1.0Feeds","RSS2.0Feeds","ATOMFeeds","iCalendar","MAPI/RPC","CalDAV","CardDAV"
