"IDE","Developer","Lateststablerelease","Platform","License"
"AptanaStudiowithintegratedRadRailsplugin(Eclipse)","Aptana,Inc.","3.5.0/December27,2013","Windows,Linux,macOS,FreeBSD,JVM,Solaris","GPL,proprietary"
"EclipseDLTKRubyPlugin","EclipseFoundation","5.0.0/June6,2013","x86","EPL"
"eric","DetlevOffenbach","6.1.4/April9,2016","Cross-platform","GPLv3""orlater"""
"KomodoIDE/Edit","ActiveState","9.0.1/April19,2015","Cross-platform","Proprietary"
"NetBeans","ThomasEnebo(JRubyco-lead)","12.6(29November2021)[±]","Cross-platform","ApacheLicense"
"RubyMine(IntelliJIDEA)","JetBrains","2018.3.5(build183.5912.16)/Feb27,2019","Windows,Linux,macOS,FreeBSD,OpenBSD,Solaris","Proprietary"
"SlickEdit","SlickEdit","October2016","Windows,Linux,macOS,AIX,Solaris,HP-UX","Proprietary"
