"","","","MSHTML","EdgeHTML","Gecko","WebKit","KHTML","Presto"
"css-values-3","kHz","No","No","No","No","Kilohertz","Yes","Yes"
"css-values-3","dpi","No","Dotsperinch","12","1.9.1","No","4.1","2.5"
"css-values-3","dpcm","12","1.9.1","No","4.1","2.5","No","Dotspercentimetre"
"css-values-3","dppx","12","No","Dotsperpixel-unit","16.0","No","?","No"
"earlierdraftofcss-line-grid-1","gd","No","Cellsinthelayout-grid","No","No","No","No","No"
"unitbeingconsideredforcss-template-3","fr","No","Remainingspaceinaseriesoflengthvalues","12","No","No","No","No"
"css-values-3","rem","thefontsizeoftherootelement","12","9.0","1.9.2","Yes","No","2.10.229"
"css-values-3","vw","theviewport'swidth","9.0","19.0","12","28.0","No","No"
"css-values-3","vh","19.0","28.0","No","No","theviewport'sheight","9.0","12"
"css-values-3","vmin","19.0","28.0","No","No","equaltothesmallerof‘vw’or‘vh’.","No","12"
"css-values-3","vmax","No","19.0","28.0","No","No","equaltothelargerof‘vw’or‘vh’.","12"
"css-values-3","ch","thewidthofthe""0""(ZERO,U+0030)glyphfoundinthefontforthefontsizeusedtorender.","No","12","1.9.1","No","No","No"
"FilterEffects","FilterEffects","FilterEffects","FilterEffects","FilterEffects","FilterEffects","FilterEffects","FilterEffects","FilterEffects"
"filter-effects"
"filter-effects","grayscale()","","No","13","35.0","18.0","No","No"
"filter-effects","sepia()","No","13","35.0","18.0","No","No",""
"filter-effects","saturate()","No","13","35.0","18.0","No","No",""
"filter-effects","hue-rotate()","No","13","35.0","18.0","No","No",""
"filter-effects","invert()","No","13","35.0","18.0","No","No",""
"filter-effects","opacity()","No","13","35.0","18.0","No","No",""
"filter-effects","brightness()","No","13","35.0","18.0","No","No",""
"filter-effects","contrast()","No","13","35.0","18.0","No","No",""
"filter-effects","blur()","No","13","35.0","18.0","No","No",""
"filter-effects","drop-shadow()","No","13","35.0","18.0","No","No",""
"Variables","Variables","Variables","Variables","Variables","Variables","Variables","Variables","filter-effects","Variables"
"css-variables-1"
"css-variables-1","--*","definevariable","No","No","31.0","Experimental","No","No"
"css-variables-1","var(--*)","No","No","31.0","Experimental","No","No","usevariable"
"","","","MSHTML","EdgeHTML","Gecko","WebKit","KHTML","Presto"
