"Names","Underlyingtheory(symbolic,connectionist,orhybrid)","Achievements","Estimatedrequirements","Non-laboratoryusages","Activitystatus(activeordead+RSSnews)","Yearofcreation","Relatedpublications","License(ifapplies,forexampleGPL)"
"4CAPS","hybrid","?","?","?","?","?","?",""
"ACT-R","hybrid","?","?","?","active","?","Anderson,2007",""
"ASMO","hybrid","Manyroboticsystems","?","IBMinternet-of-thingssystem","active","2009","Novianto,JohnstonandWilliams2010",""
"CHREST","symbolic","?","?","?","active","1992","?",""
"CLARION","hybrid","Manypsychologicaltheoriesderivedfromit","?","?","active","1994","Sun,2002,2016",""
"Copycat","?","?","?","?","?","?","?",""
"Deeplearning4j","hybrid","onlinelearning,anomalydetection,imagerecognition","?","?","active","JoshPatterson&AdamGibson(2017)","Apache2.0",""
"DUAL","hybrid","?","?","?","?","?","?",""
"EPAM","?","?","?","?","?","1959","?",""
"EPIC","?","?","?","?","?","?","?",""
"GLAIR","symbolic","?","?","?","active","?","BonaandShapiro,2009","?",""
"HierarchicalTemporalMemory","connectionist","onlinelearning,anomalydetection","?","anomalydetection","active","2009","Hawkinsetal(multiple)","AGPL"
"LIDA","symbolic","?","?","?","?","?","?",""
"MAMID","?","?","?","?","?","?","Hudlicka,2002;2003","?",""
"Mibearchitecture","?","?","?","?","?","1998","?",""
"OpenCog","hybrid","chatbot,gameavatar","?","miscsubsystemsincommercial,financial,medical","active","2001","Goertzeletal(multiple)","AGPL"
"Parallelterracedscan","?","?","?","?","?","?","?",""
"ProceduralReasoningSystem","?","?","?","?","?","?","?",""
"R-CAST","?","?","?","?","?","?","?",""
"Soar","symbolic","?","?","yes","active","1983","Laird(2012)",""
"Sigma","Hybrid","RayKurzweilAwardsatAGI2011and2012","?","notyet","active","2009","Rosenbloom,Demski,Ustun(2016)","BSD2clause"
"SOSIEL","Symbolic","",".NetCore","policyanalysis","active","2018","Sotnik(2018)","opensource"
"TinyCog","symbolic","?","?","?","active","2015","BergmannandFenton,2015","GPLV3"
