"","Authorize.NetAIM","Authorize.NetSIM","BarclaycardCPI","BarclaycardMPI","HSBCAPI","HSBCCPI","PayPalStandard"
"ApacheOFBiz","Yes","No","No","No","No","No","Yes"
"Batavi","No","No","No","No","No","No","No"
"BigCommerce","Yes","Yes","No","No","No","No","Yes"
"DrupalCommerce","Yes","No","No","No","No","No","Yes"
"KonaKart","Yes","Yes","No","No","No","No","Yes"
"Magento","Yes","3rdparty","Yes","Yes","Yes","Yes","Yes"
"nopCommerce","Yes","Yes","No","No","No","No","Yes"
"osCommerce","Yes","Yes","No","No","No","No","Yes"
"pimcore","No","No","No","No","No","No","No"
"PrestaShop","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Shopify","Yes","Yes","No","Yes","No","No","Yes"
"WooCommerce","Yes","Yes","No","No","No","No","Yes"
"ZenCart","Yes","Yes","No","No","No","No","Yes"
"","Authorize.NetAIM","Authorize.NetSIM","BarclaycardCPI","BarclaycardMPI","HSBCAPI","HSBCCPI","PayPalStandard"
