"","","MSHTML","EdgeHTML","Gecko","WebKit","Blink","KHTML","Presto"
"GIF87a","Interlacing","3.0","Yes","1.0","85","Yes","Yes","1.0"
"GIF89a","Binarytransparency","3.0","Yes","1.0","85","Yes","Yes","1.0"
"GIF89a","Animation","3.0","Yes","1.0","85","Yes","Yes","1.0"
