"","Point","Multipoint","Line","Polyline","MultiPolyline","Polygon","Multipolygon"
"GeoJSON","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"PersonalGeodatabase","Yes","No","Yes","No","No","Yes","No"
"Shapefile","Yes","Yes","Yes","Yes","Yes","Yes","Yes(asPolygonwithmultipleouterringsorasMultiPatch)"
