"CardSlot","CF","CF","CFast","SM","MMC","MMC","MemoryStick","MemoryStick","MemoryStick","MemoryStick","SDSC","SDSC","SDSC","SDHC","SDHC","SDHC","SDXC","SDXC","xD","xD","xD","XQD"
"CardSlot","I","II","","","MMC","RS-MMC,MMCmobile","Std","PRO","PRODuo","Micro","SDSC","miniSD","microSD","SDHC","miniSDHC","microSDHC","SDXC","microSDXC","Std","M","H",""
"ExpressCard","E","E","","","E","","E","E","E","","E","E","E","","","","","","E","E","E","EM"
"PCIExpressMiniCard","","","","","","","","","","","","","","","","","","","","","","EM"
"mSATA","","","XM","","","","","","","","","","","","","","","","","","",""
"PCCard","EM","EM","","E","E","","E","E","","","E","","","","","","","","","","",""
"PCMCIA","EM","EM","","E","E","","E","E","","","E","","","","","","","","","","",""
"CFI","+","+","","E","E","","E","E","E","","E","","","","","","","","E","E","E",""
"CFII","","+","","E","E","","E","E","","","E","","","","","","","","E","E","E",""
"CFast","","","+","","","","","","","","","","","","","","","","","","",""
"SM","","","","+","","","","","","","","","","","","","","","X","X","X",""
"xD","","","","","","","","","","","","","E","","","","","","+","+","+",""
"XQD","","","","","","","","","","","","","","","","","","","","","","+"
"MMC","","","","","+","M","","","","","D","","","","","","","","","","",""
"MS","","","","","X","","+","+","M","M","X","X","E","","","","","","","","",""
"SDSC","","","","","D","M","","","","","+","EM","EM","","","","","","","","",""
"miniSD","","","","","","","","","","","","+","EM","","","","","","","","",""
"microSD","","","","","","","","","","","","","+","","","","","","","","",""
"SDHC","","","","","","","","","","","D","EM","EM","+","EM","EM","","","","","",""
"miniSDHC","","","","","","","","","","","","D","EM","","+","EM","","","","","",""
"microSDHC","","","","","","","","","","","","","D","","","+","","","","","",""
"SDXC","","uscb","","","","","","","","","D","EM","EM","D","EM","EM","+","EM","","","",""
"microSDXC","","","","","","","","","","","","","D","","","D","","+","","","",""
"IDEPATA","EM","EM","","","","","","","","","E","","","","","","","","","","",""
"SerialATA","E","E","EM","","","","","","","","","","","","","","","","","","",""
"PCIExpress","","","","","","","","","","","","","","","","","","","","","","EM"
"USB","X","X","","X","X","","X","X","E","E","E","","E","","","","","","X","X","X","X"
"Floppy","","","","E","E","E+M","E","E","","","","","","","","","","","","","",""
"NintendoDSSlot-1","","","","","","","","","","","","","E","","","","","","","","",""
"NintendoDSSlot-2","","","","","","","","","","","E","E","E","","","","","","","","",""
